class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,0,27,26,0.0000,0.0000,0.0000,0.0000,0.1538,Yellow Warbler (3)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,0,3,16,0.0000,0.0000,0.0000,0.0000,0.2500,Fox Sparrow (Sooty) (6)
33,Red-throated Loon (Breeding),Red-throated Loon,Loons,12,0,7,12,0.0000,0.0000,0.0000,0.0000,0.2500,Northern Shoveler (Breeding male) (1)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.0000,Dark-eyed Junco (Slate-colored) (3)
527,Lazuli Bunting (Female/juvenile),Lazuli Bunting,Perching Birds,22,0,20,22,0.0000,0.0000,0.0000,0.0000,0.2727,Snow Bunting (Nonbreeding) (3)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,0,33,36,0.0000,0.0000,0.0000,0.0000,0.2222,Blue-headed Vireo (7)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,0,6,19,0.0000,0.0000,0.0000,0.0000,0.3684,American Crow (5)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,0,13,21,0.0000,0.0000,0.0000,0.0000,0.0952,"Anna's Hummingbird (Female, immature) (3)"
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,0,2,20,0.0000,0.0000,0.0000,0.0000,0.1500,American Black Duck (2)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,0,22,25,0.0000,0.0000,0.0000,0.0000,0.2000,Herring Gull (Immature) (4)
5,Snow Goose (White morph),Snow Goose,"Ducks, Geese, and Swans",26,0,11,26,0.0000,0.0000,0.0000,0.0000,0.3077,Ross's Goose (6)
133,White-tailed Kite,White-tailed Kite,"Hawks, Kites, Eagles, and Allies",13,0,39,13,0.0000,0.0000,0.0000,0.0000,0.2308,Forster's Tern (2)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,0,3,30,0.0000,0.0000,0.0000,0.0000,0.3333,Lesser Scaup (Female/Eclipse male) (8)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,0,13,35,0.0000,0.0000,0.0000,0.0000,0.0857,Osprey (3)
