order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Storks,1,56,0.2143,0.5000,0.2143,0.3000,0.4464
"Hawks, Kites, Eagles, and Allies",29,1260,0.2532,0.2446,0.2396,0.2370,0.5000
"Gulls, Terns, and Allies",26,1038,0.3102,0.2869,0.2963,0.2795,0.6426
Swifts and Hummingbirds,21,909,0.3146,0.3244,0.3011,0.3029,0.6260
Caracaras and Falcons,7,346,0.3179,0.3003,0.2987,0.2957,0.5405
Cuckoos,3,113,0.3186,0.3989,0.3301,0.3547,0.5841
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.3292,0.2588,0.2832,0.2640,0.6143
Skuas and Alcids,4,91,0.3516,0.2721,0.3366,0.2985,0.5604
Parrots,1,28,0.3571,0.7692,0.3571,0.4878,0.6429
Perching Birds,265,12539,0.3606,0.3569,0.3380,0.3367,0.6156
Pigeons and Doves,7,359,0.3983,0.3979,0.4019,0.3929,0.5794
"Pelicans, Herons, Ibises, and Allies",21,983,0.4028,0.4053,0.4043,0.3969,0.7019
Loons,6,226,0.4115,0.3910,0.3328,0.3480,0.6460
Woodpeckers,16,843,0.4318,0.3975,0.4218,0.4042,0.7367
Kingfishers and Allies,1,60,0.4333,0.5532,0.4333,0.4860,0.6500
"Ducks, Geese, and Swans",70,2420,0.4426,0.4244,0.3919,0.3866,0.6674
Grebes,9,375,0.4587,0.4930,0.4579,0.4651,0.7787
Cranes and Rails,6,200,0.5050,0.3967,0.4032,0.3880,0.7000
Owls,9,426,0.5141,0.5483,0.5140,0.5148,0.7746
"Plovers, Sandpipers, and Allies",32,1573,0.5245,0.5134,0.5208,0.5063,0.7819
Nightjars,1,39,0.5385,0.2877,0.5385,0.3750,0.6410
"Grouse, Quail, and Allies",10,342,0.6433,0.5946,0.5794,0.5819,0.8246
