species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Cassin's Vireo,1,36,0.0000,0.0000,0.0000,0.0000,0.2222
Northwestern Crow,1,19,0.0000,0.0000,0.0000,0.0000,0.3684
Black Tern,1,35,0.0000,0.0000,0.0000,0.0000,0.0857
White-tailed Kite,1,13,0.0000,0.0000,0.0000,0.0000,0.2308
California Gull,2,66,0.0303,0.0625,0.0244,0.0351,0.3485
Bell's Vireo,1,29,0.0345,0.0556,0.0345,0.0426,0.1034
Pacific Wren,1,21,0.0476,0.1250,0.0476,0.0690,0.1429
Plumbeous Vireo,1,41,0.0488,0.0769,0.0488,0.0597,0.3415
Neotropic Cormorant,1,38,0.0526,0.1538,0.0526,0.0784,0.3421
Oak Titmouse,1,37,0.0541,0.0800,0.0541,0.0645,0.2973
Cave Swallow,1,34,0.0588,0.0870,0.0588,0.0702,0.2647
Tennessee Warbler,1,60,0.0667,0.0571,0.0667,0.0615,0.3000
Barrow's Goldeneye,2,60,0.0667,0.8000,0.0629,0.1135,0.4833
Greater Scaup,2,73,0.0685,0.1389,0.0581,0.0820,0.3288
White-winged Scoter,2,57,0.0702,0.2167,0.0704,0.1006,0.3158
Cackling Goose,1,14,0.0714,0.2000,0.0714,0.1053,0.5714
Louisiana Waterthrush,1,42,0.0714,0.1154,0.0714,0.0882,0.4524
Bank Swallow,1,27,0.0741,0.5000,0.0741,0.1290,0.2593
Snow Goose,2,54,0.0741,0.1250,0.0714,0.0909,0.3889
Chihuahuan Raven,1,27,0.0741,0.0909,0.0741,0.0816,0.3704
Black Rosy-Finch,1,26,0.0769,0.1333,0.0769,0.0976,0.2692
Juniper Titmouse,1,25,0.0800,0.0909,0.0800,0.0851,0.2000
Mississippi Kite,1,50,0.0800,0.1026,0.0800,0.0899,0.3000
Canyon Towhee,1,46,0.0870,0.1081,0.0870,0.0964,0.2826
Curve-billed Thrasher,1,46,0.0870,0.2105,0.0870,0.1231,0.2826
Boreal Chickadee,1,42,0.0952,1.0000,0.0952,0.1739,0.3571
Bay-breasted Warbler,2,62,0.0968,0.1855,0.0930,0.1238,0.3710
Vesper Sparrow,1,60,0.1000,0.1071,0.1000,0.1034,0.4833
Western Wood-Pewee,1,49,0.1020,0.1042,0.1020,0.1031,0.4082
Abert's Towhee,1,29,0.1034,0.1250,0.1034,0.1132,0.2069
Mourning Warbler,1,52,0.1154,0.4615,0.1154,0.1846,0.2500
Florida Scrub-Jay,1,26,0.1154,0.1765,0.1154,0.1395,0.6538
Great-tailed Grackle,1,60,0.1167,0.1628,0.1167,0.1359,0.3500
Clay-colored Sparrow,1,60,0.1167,0.0875,0.1167,0.1000,0.4000
Brown-capped Rosy-Finch,1,34,0.1176,0.2857,0.1176,0.1667,0.5588
Brandt's Cormorant,1,33,0.1212,0.1667,0.1212,0.1404,0.2424
Ash-throated Flycatcher,1,41,0.1220,0.1250,0.1220,0.1235,0.4878
Swainson's Hawk,3,93,0.1290,0.1545,0.1237,0.1359,0.4409
Peregrine Falcon,2,77,0.1299,0.2014,0.1245,0.1517,0.3377
Fish Crow,1,30,0.1333,0.1081,0.1333,0.1194,0.4667
