run,top1,macroF1,F1@tail<30,n_tail,F1@head,recall@hard,n_hard,errSameSp%
vit_b_16_in21k_448,90.03,88.3,77.9,113,90.96,38.73,20,17.4
ensemble,90.0,88.24,77.69,113,90.93,39.01,20,17.6
bioclip_224_noerase,87.88,85.44,71.35,113,89.05,31.49,20,13.9
bioclip_224,87.72,85.09,69.84,113,88.99,29.49,20,14.3
partq_frozen,86.98,85.17,74.78,113,87.83,37.51,20,13.3
bioclip_224_cmo,86.71,83.44,65.84,113,87.94,20.51,20,14.0
vit_b_16_in21k_224_noerase,86.19,84.17,73.09,113,87.0,30.93,20,14.5
vit_b_16_in21k_224,85.86,83.91,72.48,113,86.84,33.28,20,14.1
convnext_tiny_in22k_224_noerase,85.68,83.31,70.51,113,86.58,29.42,20,12.9
convnext_tiny_in22k_224,85.55,83.23,71.0,113,86.35,29.87,20,12.8
convnext_tiny_in22k_224_cmo,85.24,83.05,71.12,113,86.1,29.26,20,13.2
vit_b_16_in21k_224_cmo,85.19,83.18,71.61,113,86.13,29.21,20,14.4
vit_b_16_in21k_224_lora16,85.06,82.88,71.3,113,85.84,29.59,20,12.6
vit_small_in21k_224,84.16,81.98,69.05,113,85.29,32.16,20,12.5
swin_tiny_in22k_224,83.78,81.28,68.13,113,84.64,26.84,20,11.4
efficientnetv2_s_224,83.47,81.01,67.86,113,84.37,25.86,20,11.9
resnet50_448,83.18,80.74,67.41,113,84.15,29.14,20,11.2
partq_ft_k24,81.68,79.29,66.74,113,82.5,26.8,20,9.7
convnext_tiny_224,81.49,78.86,65.06,113,82.39,26.61,20,9.8
inception_v3_299,80.93,78.8,67.76,113,81.63,31.49,20,8.3
resnet50_224_ep100_cutmix,80.48,77.87,63.87,113,81.45,24.11,20,9.8
resnet50_224_ep100,80.25,77.64,64.3,113,81.05,22.37,20,9.6
resnext50_32x4d_224,79.69,77.34,65.08,113,80.48,26.81,20,9.3
resnet101_224,79.56,76.97,63.57,113,80.4,24.05,20,9.7
resnet50_224_adamw,79.37,76.52,62.0,113,80.23,22.34,20,9.2
vit_b_16_224,79.19,76.83,64.3,113,80.04,22.65,20,8.2
resnet50_224_cmo25,78.73,76.41,64.5,113,79.45,25.8,20,9.5
resnet50_224_noerase,78.69,76.19,63.18,113,79.51,24.41,20,8.9
resnet50_224,78.61,75.86,62.04,113,79.39,22.7,20,8.8
resnet50_224_rot15,78.5,76.06,63.29,113,79.32,25.43,20,8.9
resnet50_224_noerase_rot15,78.43,76.01,63.45,113,79.22,26.5,20,8.7
resnet50_224_cmo50,78.25,76.04,64.71,113,78.94,28.28,20,9.0
partq_ft,78.18,75.66,62.73,113,78.96,22.12,20,8.4
resnet50_224_cmo50_rot15,77.94,75.53,63.33,113,78.64,24.88,20,9.1
resnet50_224_hue10,77.92,75.26,61.91,113,78.68,23.4,20,8.6
densenet121_224,77.7,75.29,62.99,113,78.43,26.08,20,8.0
resnet50_224_cmo75,77.36,75.1,63.31,113,78.11,25.87,20,8.8
efficientnet_b0_224,76.98,74.49,61.69,113,77.76,23.16,20,7.8
vgg16_bn_224,75.09,72.5,59.31,113,75.87,22.52,20,7.9
partq_imagenet,75.05,72.49,58.86,113,75.97,20.66,20,7.0
googlenet_224,72.21,69.6,56.52,113,72.95,21.68,20,6.5
mobilenet_v3_large_224,68.59,65.61,51.69,113,69.17,15.74,20,6.4
cnn_scratch_448,63.74,60.08,42.54,113,64.56,11.34,20,5.1
cnn_scratch_224,60.72,57.22,40.53,113,61.48,10.55,20,4.5
alexnet_224,38.29,35.71,24.23,113,38.65,6.24,20,3.1
