true_class,pred_class,count,same_species,same_order
Boreal Chickadee,Chestnut-backed Chickadee,34,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),27,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",27,False,True
Hairy Woodpecker,Downy Woodpecker,26,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),25,False,True
Tundra Swan,Trumpeter Swan,24,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),21,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,20,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),20,False,True
Chihuahuan Raven,Common Raven,18,False,True
Black-capped Chickadee,Carolina Chickadee,18,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),18,False,True
Chimney Swift,Vaux's Swift,17,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,17,False,True
Harlequin Duck (Female/juvenile),White-winged Scoter (Female/juvenile),17,False,True
Northwestern Crow,American Crow,17,False,True
Boat-tailed Grackle,Great-tailed Grackle,17,False,True
Western Wood-Pewee,Eastern Wood-Pewee,17,False,True
Mourning Warbler,MacGillivray's Warbler,16,False,True
Western Screech-Owl,Eastern Screech-Owl,16,False,True
Pacific Wren,Winter Wren,16,False,True
Eastern Meadowlark,Western Meadowlark,16,False,True
MacGillivray's Warbler,Mourning Warbler,15,False,True
Bank Swallow,Northern Rough-winged Swallow,15,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),15,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),14,False,True
Fish Crow,American Crow,13,False,True
American Crow,Fish Crow,13,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),13,False,True
Great-tailed Grackle,Boat-tailed Grackle,13,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",12,False,True
Greater Yellowlegs,Lesser Yellowlegs,12,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),11,False,True
Hooded Oriole (Female/Immature male),Orchard Oriole (Female/Juvenile),11,False,True
Black Guillemot (Breeding),Pigeon Guillemot (Breeding),11,False,True
Cassin's Vireo,Blue-headed Vireo,11,False,True
Swainson's Hawk (Light morph ),Swainson's Hawk (Dark morph ),11,True,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",11,False,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),11,True,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),11,True,True
Western Gull (Immature),Herring Gull (Immature),10,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),10,True,True
Common Tern,Forster's Tern,10,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),10,False,True
Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow (Sooty),10,True,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",10,False,True
Hoary Redpoll,Common Redpoll,9,False,True
Golden Eagle (Immature),Golden Eagle (Adult),9,True,True
European Starling (Nonbreeding Adult),European Starling (Breeding Adult),9,True,True
Eastern Screech-Owl,Western Screech-Owl,9,False,True
Carolina Chickadee,Black-capped Chickadee,9,False,True
Neotropic Cormorant,Double-crested Cormorant (Immature),9,False,True
Common Raven,American Crow,9,False,True
White-faced Ibis,Glossy Ibis,9,False,True
Juniper Titmouse,Oak Titmouse,9,False,True
Downy Woodpecker,Hairy Woodpecker,8,False,True
Common Raven,Chihuahuan Raven,8,False,True
Snow Goose (White morph),Ross's Goose,8,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),8,False,True
Western Sandpiper,Semipalmated Sandpiper,8,False,True
