class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.7778,Dark-eyed Junco (Slate-colored) (7)
359,Boreal Chickadee,Boreal Chickadee,Perching Birds,42,0,0,42,0.0000,0.0000,0.0000,0.0000,0.8810,Chestnut-backed Chickadee (34)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,0,1,19,0.0000,0.0000,0.0000,0.0000,0.9474,American Crow (17)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,0,0,30,0.0000,0.0000,0.0000,0.0000,0.9333,Lesser Scaup (Female/Eclipse male) (27)
230,Harlequin Duck (Female/juvenile),Harlequin Duck,"Ducks, Geese, and Swans",22,0,0,22,0.0000,0.0000,0.0000,0.0000,0.5909,White-winged Scoter (Female/juvenile) (17)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,0,1,25,0.0000,0.0000,0.0000,0.0000,0.9200,Common Goldeneye (Female/Eclipse male) (20)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,1,1,27,0.5000,0.0357,0.0667,0.0357,1.0000,Trumpeter Swan (24)
351,Bank Swallow,Bank Swallow,Perching Birds,27,2,2,25,0.5000,0.0741,0.1290,0.0741,0.8889,Northern Rough-winged Swallow (15)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,3,10,24,0.2308,0.1111,0.1500,0.1111,0.9630,Common Raven (18)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,4,13,22,0.2353,0.1538,0.1860,0.1538,0.7692,Herring Gull (Immature) (10)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,6,9,19,0.4000,0.2400,0.3000,0.2400,0.7600,Herring Gull (Immature) (6)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,5,4,16,0.5556,0.2381,0.3333,0.2381,1.0000,"Black-chinned Hummingbird (Female, immature) (6)"
377,Pacific Wren,Pacific Wren,Perching Birds,21,5,1,16,0.8333,0.2381,0.3704,0.2381,1.0000,Winter Wren (16)
344,Fish Crow,Fish Crow,Perching Birds,30,12,22,18,0.3529,0.4000,0.3750,0.4000,1.0000,American Crow (13)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,10,2,31,0.8333,0.2439,0.3774,0.2439,1.0000,"Rufous Hummingbird (Female, immature) (27)"
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,7,4,17,0.6364,0.2917,0.4000,0.2917,0.8750,Swainson's Hawk (Light morph ) (4)
26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,"Ducks, Geese, and Swans",35,9,0,26,1.0000,0.2571,0.4091,0.2571,1.0000,Common Goldeneye (Breeding male) (21)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,14,12,24,0.5385,0.3684,0.4375,0.3684,0.9737,Double-crested Cormorant (Immature) (9)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,17,25,14,0.4048,0.5484,0.4658,0.5484,0.9355,Pacific-slope Flycatcher (8)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,16,22,14,0.4211,0.5333,0.4706,0.5333,0.9333,Swainson's Hawk (Light morph ) (7)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,5,0,11,1.0000,0.3125,0.4762,0.3125,0.9375,Fox Sparrow (Sooty) (10)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,11,7,16,0.6111,0.4074,0.4889,0.4074,1.0000,Common Loon (Nonbreeding/juvenile) (11)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,12,8,17,0.6000,0.4138,0.4898,0.4138,0.8966,"Calliope Hummingbird (Female, immature) (12)"
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,7,1,13,0.8750,0.3500,0.5000,0.3500,0.9500,Blue-winged Teal (Female/juvenile) (8)
186,Chimney Swift,Chimney Swift,Swifts and Hummingbirds,33,14,9,19,0.6087,0.4242,0.5000,0.4242,0.9394,Vaux's Swift (17)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,14,15,12,0.4828,0.5385,0.5091,0.5385,1.0000,Hooded Oriole (Female/Immature male) (6)
71,Rufous Hummingbird (Adult Male),Rufous Hummingbird,Swifts and Hummingbirds,50,24,20,26,0.5455,0.4800,0.5106,0.4800,0.9800,Allen's Hummingbird (Adult Male) (25)
535,Hooded Oriole (Female/Immature male),Hooded Oriole,Perching Birds,35,16,11,19,0.5926,0.4571,0.5161,0.4571,0.9714,Orchard Oriole (Female/Juvenile) (11)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,31,30,28,0.5082,0.5254,0.5167,0.5254,0.8644,"Ruby-throated Hummingbird (Female, immature) (11)"
262,Broad-winged Hawk (Immature),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",29,13,8,16,0.6190,0.4483,0.5200,0.4483,0.9655,Red-shouldered Hawk (Immature) (7)
501,American Crow,American Crow,Perching Birds,57,36,43,21,0.4557,0.6316,0.5294,0.6316,1.0000,Fish Crow (13)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,16,14,14,0.5333,0.5333,0.5333,0.5333,0.9667,Rough-legged Hawk (Dark morph) (5)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,8,2,12,0.8000,0.4000,0.5333,0.4000,1.0000,Pigeon Guillemot (Breeding) (11)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,18,21,10,0.4615,0.6429,0.5373,0.6429,0.9643,Chimney Swift (7)
18,Greater Scaup (Breeding male),Greater Scaup,"Ducks, Geese, and Swans",43,20,8,23,0.7143,0.4651,0.5634,0.4651,0.8837,Lesser Scaup (Breeding male) (14)
232,White-winged Scoter (Female/juvenile),White-winged Scoter,"Ducks, Geese, and Swans",30,20,21,10,0.4878,0.6667,0.5634,0.6667,0.9667,White-winged Scoter (Male) (4)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,12,6,12,0.6667,0.5000,0.5714,0.5000,1.0000,Double-crested Cormorant (Immature) (8)
281,"Rufous Hummingbird (Female, immature)",Rufous Hummingbird,Swifts and Hummingbirds,37,26,28,11,0.4815,0.7027,0.5714,0.7027,0.9189,"Calliope Hummingbird (Female, immature) (7)"
346,Common Raven,Common Raven,Perching Birds,57,34,27,23,0.5574,0.5965,0.5763,0.5965,0.9825,American Crow (9)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,13,9,10,0.5909,0.5652,0.5778,0.5652,0.8696,Ring-billed Gull (Adult) (3)
5,Snow Goose (White morph),Snow Goose,"Ducks, Geese, and Swans",26,14,8,12,0.6364,0.5385,0.5833,0.5385,0.9615,Ross's Goose (8)
