order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.7195,0.7281,0.6941,0.6947,0.9714
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7666,0.7477,0.7212,0.7246,0.9853
Loons,6,226,0.7876,0.8388,0.7284,0.7686,0.9646
"Gulls, Terns, and Allies",26,1038,0.7909,0.7668,0.7647,0.7614,0.9682
Skuas and Alcids,4,91,0.7912,0.7645,0.7462,0.7317,0.9890
"Hawks, Kites, Eagles, and Allies",29,1260,0.7944,0.7766,0.7744,0.7697,0.9683
"Ducks, Geese, and Swans",70,2420,0.8463,0.8137,0.8173,0.8020,0.9798
Caracaras and Falcons,7,346,0.8757,0.8838,0.8586,0.8705,0.9740
Woodpeckers,16,843,0.8778,0.8796,0.8755,0.8732,0.9976
Grebes,9,375,0.8960,0.9036,0.8851,0.8923,0.9867
Perching Birds,265,12539,0.8971,0.8813,0.8751,0.8740,0.9865
Owls,9,426,0.9014,0.9058,0.8892,0.8961,0.9953
Cranes and Rails,6,200,0.9150,0.8935,0.8622,0.8696,0.9650
"Pelicans, Herons, Ibises, and Allies",21,983,0.9288,0.9319,0.9178,0.9227,0.9929
"Plovers, Sandpipers, and Allies",32,1573,0.9301,0.9328,0.9225,0.9229,0.9955
Pigeons and Doves,7,359,0.9387,0.9450,0.9359,0.9392,0.9833
Cuckoos,3,113,0.9558,0.9481,0.9546,0.9512,1.0000
"Grouse, Quail, and Allies",10,342,0.9561,0.9464,0.9361,0.9383,0.9883
Storks,1,56,0.9643,0.9310,0.9643,0.9474,1.0000
Nightjars,1,39,0.9744,1.0000,0.9744,0.9870,0.9744
Kingfishers and Allies,1,60,1.0000,0.9836,1.0000,0.9917,1.0000
Parrots,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
