species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Boreal Chickadee,1,42,0.0000,0.0000,0.0000,0.0000,0.8810
Northwestern Crow,1,19,0.0000,0.0000,0.0000,0.0000,0.9474
Tundra Swan,1,28,0.0357,0.5000,0.0357,0.0667,1.0000
Bank Swallow,1,27,0.0741,0.5000,0.0741,0.1290,0.8889
Chihuahuan Raven,1,27,0.1111,0.2308,0.1111,0.1500,0.9630
Barrow's Goldeneye,2,60,0.1500,0.5000,0.1286,0.2045,0.9667
Pacific Wren,1,21,0.2381,0.8333,0.2381,0.3704,1.0000
Greater Scaup,2,73,0.2740,0.3571,0.2326,0.2817,0.9041
Neotropic Cormorant,1,38,0.3684,0.5385,0.3684,0.4375,0.9737
Fish Crow,1,30,0.4000,0.3529,0.4000,0.3750,1.0000
Chimney Swift,1,33,0.4242,0.6087,0.4242,0.5000,0.9394
California Gull,2,66,0.4697,0.5205,0.4249,0.4625,0.8939
Hairy Woodpecker,1,60,0.5000,0.7500,0.5000,0.6000,1.0000
Allen's Hummingbird,2,101,0.5149,0.7255,0.4720,0.5168,1.0000
Broad-winged Hawk,2,55,0.5273,0.6172,0.5318,0.5677,0.9636
Western Screech-Owl,1,34,0.5294,0.6667,0.5294,0.5902,1.0000
Black Guillemot,2,32,0.5312,0.8091,0.5750,0.6580,1.0000
Swainson's Hawk,3,93,0.5484,0.5801,0.5143,0.5235,0.9355
Cordilleran Flycatcher,1,31,0.5484,0.4048,0.5484,0.4658,0.9355
Western Wood-Pewee,1,49,0.5510,0.6923,0.5510,0.6136,0.9796
Mourning Warbler,1,52,0.5577,0.6444,0.5577,0.5979,0.9231
Pacific-slope Flycatcher,1,59,0.5593,0.7333,0.5593,0.6346,0.9831
Juniper Titmouse,1,25,0.5600,0.7778,0.5600,0.6512,1.0000
Mew Gull,1,23,0.5652,0.5909,0.5652,0.5778,0.8696
Boat-tailed Grackle,1,60,0.5667,0.6939,0.5667,0.6239,0.9333
Pacific Loon,2,47,0.5745,0.7761,0.6037,0.6769,0.9787
Rufous Hummingbird,2,87,0.5747,0.5135,0.5914,0.5410,0.9540
Eastern Meadowlark,1,40,0.5750,0.7931,0.5750,0.6667,1.0000
Western Gull,2,59,0.5763,0.4926,0.5315,0.5040,0.8983
Great Cormorant,2,64,0.5781,0.6905,0.5625,0.6190,1.0000
Cassin's Vireo,1,36,0.5833,0.7000,0.5833,0.6364,1.0000
Common Raven,1,57,0.5965,0.5574,0.5965,0.5763,0.9825
Hoary Redpoll,1,29,0.6207,0.7826,0.6207,0.6923,1.0000
MacGillivray's Warbler,1,46,0.6304,0.6170,0.6304,0.6237,1.0000
American Crow,1,57,0.6316,0.4557,0.6316,0.5294,1.0000
Vaux's Swift,1,28,0.6429,0.4615,0.6429,0.5373,0.9643
Black-capped Chickadee,1,60,0.6500,0.7800,0.6500,0.7091,0.9500
Harlequin Duck,2,65,0.6615,0.4886,0.5000,0.4943,0.8615
Broad-tailed Hummingbird,2,73,0.6712,0.7744,0.6274,0.6907,0.9589
Costa's Hummingbird,2,58,0.6724,0.7137,0.5785,0.6140,1.0000
Cave Swallow,1,34,0.6765,0.6389,0.6765,0.6571,0.8824
Common Tern,1,60,0.6833,0.8542,0.6833,0.7593,0.9667
Red-naped Sapsucker,1,54,0.6852,0.8222,0.6852,0.7475,1.0000
Snow Goose,2,54,0.6852,0.8182,0.6799,0.7426,0.9815
Black-chinned Hummingbird,2,109,0.6881,0.7222,0.7027,0.7119,0.9174
Brandt's Cormorant,1,33,0.6970,0.7667,0.6970,0.7302,0.9697
White-faced Ibis,1,34,0.7059,0.9231,0.7059,0.8000,1.0000
Sharp-shinned Hawk,2,116,0.7069,0.7163,0.7069,0.7093,0.9828
Cackling Goose,1,14,0.7143,0.7692,0.7143,0.7407,1.0000
Mississippi Kite,1,50,0.7200,0.9000,0.7200,0.8000,0.9000
Western Sandpiper,1,51,0.7255,0.8409,0.7255,0.7789,0.9804
Red Crossbill,2,59,0.7288,0.8181,0.7541,0.7691,0.9492
Cliff Swallow,1,30,0.7333,0.8462,0.7333,0.7857,0.9000
Brown-capped Rosy-Finch,1,34,0.7353,0.8621,0.7353,0.7937,1.0000
Golden Eagle,2,72,0.7361,0.6932,0.7167,0.6942,1.0000
Scaled Quail,1,19,0.7368,1.0000,0.7368,0.8485,1.0000
White-winged Scoter,2,57,0.7368,0.6106,0.7407,0.6677,0.9825
Red-tailed Hawk,3,150,0.7400,0.7600,0.7056,0.7309,0.9267
Hooded Oriole,2,78,0.7436,0.7736,0.7169,0.7408,0.9872
