true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,44,False,True
Boreal Chickadee,Chestnut-backed Chickadee,37,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",31,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,29,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),29,False,True
Tundra Swan,Trumpeter Swan,24,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),24,False,True
Hairy Woodpecker,Downy Woodpecker,24,False,True
Chihuahuan Raven,Common Raven,23,False,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),23,True,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",22,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),22,False,True
MacGillivray's Warbler,Mourning Warbler,21,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),21,False,True
Chimney Swift,Vaux's Swift,20,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),20,False,True
Fish Crow,American Crow,19,False,True
Pacific Wren,Winter Wren,19,False,True
Cordilleran Flycatcher,Pacific-slope Flycatcher,18,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),18,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),18,False,True
Northwestern Crow,American Crow,18,False,True
Bank Swallow,Northern Rough-winged Swallow,17,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),17,False,True
Eastern Meadowlark,Western Meadowlark,17,False,True
Boat-tailed Grackle,Great-tailed Grackle,17,False,True
Neotropic Cormorant,Double-crested Cormorant (Immature),16,False,True
Harlequin Duck (Female/juvenile),White-winged Scoter (Female/juvenile),16,False,True
Common Tern,Forster's Tern,15,False,True
Cassin's Vireo,Blue-headed Vireo,15,False,True
Common Redpoll,Hoary Redpoll,14,False,True
Western Screech-Owl,Eastern Screech-Owl,14,False,True
Western Wood-Pewee,Eastern Wood-Pewee,14,False,True
Greater Yellowlegs,Lesser Yellowlegs,13,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),13,False,True
Canyon Towhee,California Towhee,13,False,True
Ladder-backed Woodpecker,Nuttall's Woodpecker,12,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),12,False,True
Western Gull (Immature),Herring Gull (Immature),12,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",12,False,True
Least Flycatcher,Pacific-slope Flycatcher,12,False,True
Mourning Warbler,MacGillivray's Warbler,11,False,True
California Gull (Adult),Ring-billed Gull (Adult),11,False,True
Golden Eagle (Immature),Golden Eagle (Adult),11,True,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",11,False,True
Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow (Sooty),11,True,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),11,True,True
Great Black-backed Gull (Adult),Western Gull (Adult),11,False,True
Great Cormorant (Adult),Double-crested Cormorant (Adult),11,False,True
Cinnamon Teal (Female/juvenile),Green-winged Teal (Female/juvenile),10,False,True
Laughing Gull (Nonbreeding/Immature),Laughing Gull (Breeding),10,True,True
Great-tailed Grackle,Boat-tailed Grackle,10,False,True
Juniper Titmouse,Oak Titmouse,10,False,True
Swainson's Hawk (Light morph ),Swainson's Hawk (Dark morph ),9,True,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),9,True,True
Eastern Screech-Owl,Western Screech-Owl,9,False,True
European Starling (Breeding Adult),European Starling (Nonbreeding Adult),9,True,True
Snow Goose (White morph),Ross's Goose,9,False,True
Brandt's Cormorant,Pelagic Cormorant,9,False,True
Black-crested Titmouse,Tufted Titmouse,9,False,True
