class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.7778,Dark-eyed Junco (Slate-colored) (8)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,0,1,27,0.0000,0.0000,0.0000,0.0000,0.9630,Common Raven (23)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,0,1,29,0.0000,0.0000,0.0000,0.0000,0.8276,"Calliope Hummingbird (Female, immature) (22)"
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,0,0,21,0.0000,0.0000,0.0000,0.0000,1.0000,"Black-chinned Hummingbird (Female, immature) (9)"
351,Bank Swallow,Bank Swallow,Perching Birds,27,0,0,27,0.0000,0.0000,0.0000,0.0000,0.7037,Northern Rough-winged Swallow (17)
359,Boreal Chickadee,Boreal Chickadee,Perching Birds,42,0,0,42,0.0000,0.0000,0.0000,0.0000,0.8095,Chestnut-backed Chickadee (37)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,0,0,19,0.0000,0.0000,0.0000,0.0000,0.9474,American Crow (18)
230,Harlequin Duck (Female/juvenile),Harlequin Duck,"Ducks, Geese, and Swans",22,0,0,22,0.0000,0.0000,0.0000,0.0000,0.0455,White-winged Scoter (Female/juvenile) (16)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,0,0,26,0.0000,0.0000,0.0000,0.0000,0.7692,Herring Gull (Immature) (12)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,0,0,30,0.0000,0.0000,0.0000,0.0000,0.8000,Lesser Scaup (Female/Eclipse male) (24)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,0,0,25,0.0000,0.0000,0.0000,0.0000,0.6400,Common Goldeneye (Female/Eclipse male) (21)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,1,2,27,0.3333,0.0357,0.0645,0.0357,1.0000,Trumpeter Swan (24)
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,1,0,19,1.0000,0.0500,0.0952,0.0500,0.9000,Green-winged Teal (Female/juvenile) (10)
377,Pacific Wren,Pacific Wren,Perching Birds,21,2,3,19,0.4000,0.0952,0.1538,0.0952,1.0000,Winter Wren (19)
26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,"Ducks, Geese, and Swans",35,4,0,31,1.0000,0.1143,0.2051,0.1143,1.0000,Common Goldeneye (Breeding male) (29)
344,Fish Crow,Fish Crow,Perching Birds,30,5,10,25,0.3333,0.1667,0.2222,0.1667,0.9667,American Crow (19)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,6,3,35,0.6667,0.1463,0.2400,0.1463,1.0000,"Rufous Hummingbird (Female, immature) (31)"
