order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6854,0.6299,0.6471,0.6220,0.9846
Loons,6,226,0.7301,0.8126,0.6397,0.6815,0.9646
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7396,0.7400,0.6906,0.6887,0.9828
"Gulls, Terns, and Allies",26,1038,0.7746,0.7439,0.7484,0.7381,0.9653
"Hawks, Kites, Eagles, and Allies",29,1260,0.7817,0.7678,0.7606,0.7562,0.9683
Skuas and Alcids,4,91,0.7912,0.6578,0.7247,0.6806,0.9890
"Ducks, Geese, and Swans",70,2420,0.8264,0.7956,0.7870,0.7706,0.9719
Woodpeckers,16,843,0.8600,0.8721,0.8548,0.8526,0.9976
Caracaras and Falcons,7,346,0.8671,0.8798,0.8466,0.8615,0.9711
Perching Birds,265,12539,0.8903,0.8740,0.8665,0.8642,0.9868
Grebes,9,375,0.8960,0.9076,0.8875,0.8950,0.9920
Cranes and Rails,6,200,0.9050,0.8800,0.8384,0.8514,0.9550
Owls,9,426,0.9131,0.9110,0.9028,0.9059,0.9906
"Plovers, Sandpipers, and Allies",32,1573,0.9231,0.9260,0.9155,0.9144,0.9936
Pigeons and Doves,7,359,0.9331,0.9507,0.9307,0.9398,0.9833
"Pelicans, Herons, Ibises, and Allies",21,983,0.9349,0.9323,0.9254,0.9274,0.9939
"Grouse, Quail, and Allies",10,342,0.9386,0.9411,0.9096,0.9197,0.9883
Storks,1,56,0.9643,0.9474,0.9643,0.9558,1.0000
Cuckoos,3,113,0.9646,0.9440,0.9650,0.9541,1.0000
Nightjars,1,39,0.9744,0.9744,0.9744,0.9744,0.9744
Kingfishers and Allies,1,60,0.9833,0.9833,0.9833,0.9833,1.0000
Parrots,1,28,1.0000,0.9655,1.0000,0.9825,1.0000
