species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0000,0.0000,0.0000,0.0000,0.9630
Northwestern Crow,1,19,0.0000,0.0000,0.0000,0.0000,0.9474
Boreal Chickadee,1,42,0.0000,0.0000,0.0000,0.0000,0.8095
Bank Swallow,1,27,0.0000,0.0000,0.0000,0.0000,0.7037
Tundra Swan,1,28,0.0357,0.3333,0.0357,0.0645,1.0000
Barrow's Goldeneye,2,60,0.0667,0.5000,0.0571,0.1026,0.8500
Pacific Wren,1,21,0.0952,0.4000,0.0952,0.1538,1.0000
Fish Crow,1,30,0.1667,0.3333,0.1667,0.2222,0.9667
Black-capped Chickadee,1,60,0.2167,0.7647,0.2167,0.3377,0.9667
Neotropic Cormorant,1,38,0.2368,0.6000,0.2368,0.3396,1.0000
Cordilleran Flycatcher,1,31,0.2581,0.4444,0.2581,0.3265,0.9677
Greater Scaup,2,73,0.2740,0.3333,0.2326,0.2740,0.8493
Broad-tailed Hummingbird,2,73,0.3562,0.4815,0.2955,0.3662,0.9178
California Gull,2,66,0.3636,0.5978,0.3551,0.4451,0.9091
Chimney Swift,1,33,0.3636,0.5000,0.3636,0.4211,0.9697
Western Gull,2,59,0.3898,0.3026,0.3485,0.3239,0.8983
Great Cormorant,2,64,0.4062,0.7386,0.4083,0.5198,0.9844
Cassin's Vireo,1,36,0.4167,0.6818,0.4167,0.5172,1.0000
Red-naped Sapsucker,1,54,0.4259,0.8519,0.4259,0.5679,1.0000
Allen's Hummingbird,2,101,0.4653,0.6536,0.4148,0.4506,1.0000
Pacific Loon,2,47,0.4681,0.7433,0.5111,0.5903,0.9574
Broad-winged Hawk,2,55,0.5091,0.5905,0.5186,0.5224,0.9455
Juniper Titmouse,1,25,0.5200,0.7647,0.5200,0.6190,1.0000
MacGillivray's Warbler,1,46,0.5217,0.6857,0.5217,0.5926,1.0000
Mew Gull,1,23,0.5217,0.4286,0.5217,0.4706,0.7826
Eastern Meadowlark,1,40,0.5250,0.8400,0.5250,0.6462,1.0000
Hairy Woodpecker,1,60,0.5333,0.7619,0.5333,0.6275,1.0000
Swainson's Hawk,3,93,0.5376,0.6061,0.5004,0.5348,0.9032
Boat-tailed Grackle,1,60,0.5500,0.7500,0.5500,0.6346,0.9500
Western Wood-Pewee,1,49,0.5510,0.7297,0.5510,0.6279,0.9388
Costa's Hummingbird,2,58,0.5690,0.4342,0.4459,0.4400,1.0000
Common Redpoll,1,40,0.5750,0.9200,0.5750,0.7077,0.9750
Black-crested Titmouse,1,33,0.5758,0.9048,0.5758,0.7037,1.0000
Western Screech-Owl,1,34,0.5882,0.6667,0.5882,0.6250,1.0000
Black Guillemot,2,32,0.5938,0.6524,0.6083,0.6220,1.0000
Rufous Hummingbird,2,87,0.5977,0.4886,0.6149,0.5281,0.9770
Vaux's Swift,1,28,0.6071,0.4474,0.6071,0.5152,1.0000
Mourning Warbler,1,52,0.6154,0.5424,0.6154,0.5766,0.9038
Scaled Quail,1,19,0.6316,1.0000,0.6316,0.7742,1.0000
White-winged Scoter,2,57,0.6491,0.7059,0.6537,0.6704,0.9825
Least Flycatcher,1,60,0.6500,0.7800,0.6500,0.7091,0.9833
Florida Scrub-Jay,1,26,0.6538,0.8500,0.6538,0.7391,1.0000
Harlequin Duck,2,65,0.6615,0.5000,0.5000,0.5000,0.6769
Common Tern,1,60,0.6667,0.9091,0.6667,0.7692,1.0000
Brandt's Cormorant,1,33,0.6667,0.7586,0.6667,0.7097,1.0000
Cliff Swallow,1,30,0.6667,1.0000,0.6667,0.8000,0.9333
Red-throated Loon,2,59,0.6780,0.9286,0.5496,0.6545,0.9322
Golden Eagle,2,72,0.6944,0.7306,0.6762,0.6838,1.0000
Canyon Towhee,1,46,0.6957,0.8889,0.6957,0.7805,0.9783
Snow Goose,2,54,0.7037,0.8182,0.6978,0.7532,0.9815
Brown-capped Rosy-Finch,1,34,0.7059,0.8889,0.7059,0.7869,1.0000
Sharp-shinned Hawk,2,116,0.7069,0.7146,0.7069,0.7048,0.9828
Red-shouldered Hawk,2,76,0.7105,0.6961,0.7105,0.7031,0.9605
Black Tern,1,35,0.7143,0.9615,0.7143,0.8197,0.9429
Mottled Duck,1,29,0.7241,0.8400,0.7241,0.7778,0.9655
Great Black-backed Gull,2,73,0.7260,0.7083,0.7355,0.7168,0.9452
Plumbeous Vireo,1,41,0.7317,0.8333,0.7317,0.7792,1.0000
Cinnamon Teal,2,75,0.7333,0.9821,0.5159,0.5341,0.9733
Cooper's Hawk,2,117,0.7350,0.6657,0.7320,0.6932,0.9829
White-faced Ibis,1,34,0.7353,0.8621,0.7353,0.7937,1.0000
American Crow,1,57,0.7368,0.4565,0.7368,0.5638,1.0000
Mississippi Kite,1,50,0.7400,0.9024,0.7400,0.8132,0.9000
White-throated Sparrow,2,104,0.7404,0.7919,0.7079,0.7101,1.0000
Western Sandpiper,1,51,0.7451,0.9048,0.7451,0.8172,1.0000
Blue-winged Teal,2,59,0.7458,0.7659,0.5763,0.6131,0.9831
Cape May Warbler,1,60,0.7500,0.9783,0.7500,0.8491,0.9667
Black-chinned Hummingbird,2,109,0.7523,0.6717,0.7651,0.7150,0.9725
Peregrine Falcon,2,77,0.7532,0.8039,0.7304,0.7632,0.9610
Hooded Oriole,2,78,0.7564,0.8038,0.7365,0.7675,0.9872
Golden-fronted Woodpecker,1,33,0.7576,0.9259,0.7576,0.8333,1.0000
Ladder-backed Woodpecker,1,50,0.7600,0.9500,0.7600,0.8444,1.0000
Greater Yellowlegs,1,59,0.7627,0.9000,0.7627,0.8257,0.9831
Red Crossbill,2,59,0.7627,0.7894,0.7835,0.7808,0.9492
Cave Swallow,1,34,0.7647,0.6842,0.7647,0.7222,0.8235
Glaucous-winged Gull,2,60,0.7667,0.8227,0.7679,0.7921,0.9500
Great-tailed Grackle,1,60,0.7667,0.6765,0.7667,0.7188,1.0000
Canada Goose,1,31,0.7742,0.8276,0.7742,0.8000,0.9355
Red-tailed Hawk,3,150,0.7800,0.7238,0.7500,0.7335,0.9733
Black Scoter,2,41,0.7805,0.8684,0.7919,0.8279,0.9756
Ross's Goose,1,23,0.7826,0.5806,0.7826,0.6667,1.0000
Prairie Falcon,1,42,0.7857,0.8462,0.7857,0.8148,0.9524
Cackling Goose,1,14,0.7857,0.7857,0.7857,0.7857,1.0000
Cassin's Finch,2,62,0.7903,0.9269,0.7599,0.8316,1.0000
Bay-breasted Warbler,2,62,0.7903,0.8396,0.7800,0.8022,0.9355
Eastern Wood-Pewee,1,49,0.7959,0.6842,0.7959,0.7358,0.9796
Calliope Hummingbird,2,89,0.7978,0.7443,0.8001,0.7605,0.9775
Eastern Screech-Owl,1,50,0.8000,0.6897,0.8000,0.7407,1.0000
Lesser Yellowlegs,1,60,0.8000,0.7619,0.8000,0.7805,0.9833
Lark Bunting,2,51,0.8039,0.9792,0.8331,0.8972,0.9804
Sanderling,2,68,0.8088,0.9364,0.6740,0.7308,1.0000
American Black Duck,1,37,0.8108,0.8571,0.8108,0.8333,1.0000
Rusty Blackbird,1,48,0.8125,0.9070,0.8125,0.8571,0.9167
Brewer's Blackbird,2,91,0.8132,0.8789,0.8116,0.8435,0.9780
Pacific-slope Flycatcher,1,59,0.8136,0.6076,0.8136,0.6957,0.9831
Long-tailed Duck,3,65,0.8154,0.8621,0.7896,0.8187,0.9692
Northern Pintail,2,66,0.8182,0.7962,0.8036,0.7990,0.9848
Black-tailed Gnatcatcher,1,22,0.8182,0.7500,0.8182,0.7826,1.0000
Harris's Sparrow,2,61,0.8197,0.8099,0.8077,0.8011,0.9836
Hutton's Vireo,1,39,0.8205,0.8889,0.8205,0.8533,1.0000
Ruby-throated Hummingbird,2,114,0.8246,0.7367,0.8287,0.7798,1.0000
Common Raven,1,57,0.8246,0.5465,0.8246,0.6573,0.9825
Northern Harrier,2,120,0.8250,0.9274,0.8250,0.8684,0.9500
White-winged Crossbill,2,52,0.8269,0.9205,0.8313,0.8736,0.9615
Yellow-rumped Warbler,4,214,0.8271,0.7932,0.8150,0.7994,0.9953
Bell's Vireo,1,29,0.8276,0.8889,0.8276,0.8571,0.9655
Common Ground-Dove,1,35,0.8286,0.9355,0.8286,0.8788,0.9714
Herring Gull,2,101,0.8317,0.6651,0.8276,0.7351,0.9901
Western Grebe,1,42,0.8333,0.9459,0.8333,0.8861,1.0000
Gray Jay,1,54,0.8333,0.9375,0.8333,0.8824,0.9259
Violet-green Swallow,1,37,0.8378,0.9688,0.8378,0.8986,0.9730
Anna's Hummingbird,2,106,0.8396,0.6893,0.8383,0.7557,1.0000
Fox Sparrow,3,119,0.8403,0.8797,0.6849,0.6869,1.0000
