class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.7778,Dark-eyed Junco (Slate-colored) (8)
359,Boreal Chickadee,Boreal Chickadee,Perching Birds,42,0,0,42,0.0000,0.0000,0.0000,0.0000,0.9762,Chestnut-backed Chickadee (36)
230,Harlequin Duck (Female/juvenile),Harlequin Duck,"Ducks, Geese, and Swans",22,0,0,22,0.0000,0.0000,0.0000,0.0000,0.8182,White-winged Scoter (Female/juvenile) (14)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,0,0,30,0.0000,0.0000,0.0000,0.0000,0.9667,Lesser Scaup (Female/Eclipse male) (23)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,0,0,25,0.0000,0.0000,0.0000,0.0000,0.9200,Common Goldeneye (Female/Eclipse male) (21)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,3,10,24,0.2308,0.1111,0.1500,0.1111,1.0000,Common Raven (21)
377,Pacific Wren,Pacific Wren,Perching Birds,21,3,4,18,0.4286,0.1429,0.2143,0.1429,1.0000,Winter Wren (18)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,3,4,16,0.4286,0.1579,0.2308,0.1579,0.9474,American Crow (13)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,6,12,20,0.3333,0.2308,0.2727,0.2308,0.7692,Herring Gull (Immature) (10)
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,5,4,15,0.5556,0.2500,0.3448,0.2500,0.9500,Blue-winged Teal (Female/juvenile) (6)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,7,5,21,0.5833,0.2500,0.3500,0.2500,1.0000,Trumpeter Swan (19)
344,Fish Crow,Fish Crow,Perching Birds,30,12,22,18,0.3529,0.4000,0.3750,0.4000,1.0000,American Crow (12)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,9,13,16,0.4091,0.3600,0.3830,0.3600,0.7600,Herring Gull (Immature) (5)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,7,7,14,0.5000,0.3333,0.4000,0.3333,1.0000,"Anna's Hummingbird (Female, immature) (6)"
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,11,3,30,0.7857,0.2683,0.4000,0.2683,1.0000,"Rufous Hummingbird (Female, immature) (26)"
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,8,4,16,0.6667,0.3333,0.4444,0.3333,0.8750,Swainson's Hawk (Light morph ) (5)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,12,12,17,0.5000,0.4138,0.4528,0.4138,0.8621,"Calliope Hummingbird (Female, immature) (12)"
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,10,10,14,0.5000,0.4167,0.4545,0.4167,1.0000,Double-crested Cormorant (Immature) (9)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,15,21,15,0.4167,0.5000,0.4545,0.5000,0.8667,Swainson's Hawk (Light morph ) (7)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,5,0,11,1.0000,0.3125,0.4762,0.3125,0.9375,Fox Sparrow (Sooty) (9)
186,Chimney Swift,Chimney Swift,Swifts and Hummingbirds,33,13,8,20,0.6190,0.3939,0.4815,0.3939,0.9697,Vaux's Swift (17)
71,Rufous Hummingbird (Adult Male),Rufous Hummingbird,Swifts and Hummingbirds,50,23,22,27,0.5111,0.4600,0.4842,0.4600,0.9800,Allen's Hummingbird (Adult Male) (24)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,18,25,13,0.4186,0.5806,0.4865,0.5806,0.9677,Pacific-slope Flycatcher (7)
501,American Crow,American Crow,Perching Birds,57,30,35,27,0.4615,0.5263,0.4918,0.5263,0.9474,Common Raven (12)
18,Greater Scaup (Breeding male),Greater Scaup,"Ducks, Geese, and Swans",43,18,9,25,0.6667,0.4186,0.5143,0.4186,0.8372,Lesser Scaup (Breeding male) (16)
232,White-winged Scoter (Female/juvenile),White-winged Scoter,"Ducks, Geese, and Swans",30,17,19,13,0.4722,0.5667,0.5152,0.5667,1.0000,Surf Scoter (Female/immature) (6)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,8,3,12,0.7273,0.4000,0.5161,0.4000,1.0000,Pigeon Guillemot (Breeding) (11)
210,Herring Gull (Immature),Herring Gull,"Gulls, Terns, and Allies",44,24,20,20,0.5455,0.5455,0.5455,0.5455,0.9545,California Gull (Immature) (9)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,32,26,27,0.5517,0.5424,0.5470,0.5424,0.8644,"Ruby-throated Hummingbird (Female, immature) (12)"
351,Bank Swallow,Bank Swallow,Perching Birds,27,11,2,16,0.8462,0.4074,0.5500,0.4074,0.9259,Northern Rough-winged Swallow (9)
414,Mourning Warbler,Mourning Warbler,Perching Birds,52,29,23,23,0.5577,0.5577,0.5577,0.5577,0.9231,MacGillivray's Warbler (12)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,12,4,15,0.7500,0.4444,0.5581,0.4444,1.0000,Common Loon (Nonbreeding/juvenile) (11)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,14,9,12,0.6087,0.5385,0.5714,0.5385,1.0000,Hooded Oriole (Female/Immature male) (8)
281,"Rufous Hummingbird (Female, immature)",Rufous Hummingbird,Swifts and Hummingbirds,37,26,28,11,0.4815,0.7027,0.5714,0.7027,0.9459,"Calliope Hummingbird (Female, immature) (5)"
346,Common Raven,Common Raven,Perching Birds,57,38,35,19,0.5205,0.6667,0.5846,0.6667,0.9649,American Crow (8)
267,Purple Gallinule (Immature),Purple Gallinule,Cranes and Rails,11,5,1,6,0.8333,0.4545,0.5882,0.4545,0.8182,Purple Gallinule (Adult) (3)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,13,8,10,0.6190,0.5652,0.5909,0.5652,0.8696,Ring-billed Gull (Adult) (4)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,21,11,17,0.6562,0.5526,0.6000,0.5526,0.9474,Double-crested Cormorant (Immature) (5)
177,Western Screech-Owl,Western Screech-Owl,Owls,34,21,15,13,0.5833,0.6176,0.6000,0.6176,1.0000,Eastern Screech-Owl (13)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,21,21,7,0.5000,0.7500,0.6000,0.7500,1.0000,Chimney Swift (5)
413,MacGillivray's Warbler,MacGillivray's Warbler,Perching Birds,46,25,12,21,0.6757,0.5435,0.6024,0.5435,1.0000,Mourning Warbler (20)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,18,11,12,0.6207,0.6000,0.6102,0.6000,0.9667,Rough-legged Hawk (Dark morph) (3)
26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,"Ducks, Geese, and Swans",35,16,1,19,0.9412,0.4571,0.6154,0.4571,1.0000,Common Goldeneye (Breeding male) (16)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,20,9,16,0.6897,0.5556,0.6154,0.5556,1.0000,Blue-headed Vireo (12)
470,Pacific-slope Flycatcher,Pacific-slope Flycatcher,Perching Birds,59,32,13,27,0.7111,0.5424,0.6154,0.5424,0.9661,Cordilleran Flycatcher (20)
535,Hooded Oriole (Female/Immature male),Hooded Oriole,Perching Birds,35,21,12,14,0.6364,0.6000,0.6176,0.6000,0.9714,Orchard Oriole (Female/Juvenile) (7)
453,Eastern Meadowlark,Eastern Meadowlark,Perching Birds,40,23,11,17,0.6765,0.5750,0.6216,0.5750,1.0000,Western Meadowlark (16)
52,Broad-winged Hawk (Adult),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",26,16,8,10,0.6667,0.6154,0.6400,0.6154,0.9231,Swainson's Hawk (Dark morph ) (3)
5,Snow Goose (White morph),Snow Goose,"Ducks, Geese, and Swans",26,16,8,10,0.6667,0.6154,0.6400,0.6154,0.9615,Ross's Goose (8)
41,Great Cormorant (Adult),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",40,24,11,16,0.6857,0.6000,0.6400,0.6000,1.0000,Double-crested Cormorant (Adult) (5)
235,Common Goldeneye (Female/Eclipse male),Common Goldeneye,"Ducks, Geese, and Swans",33,26,22,7,0.5417,0.7879,0.6420,0.7879,0.9697,Redhead (Breeding male) (2)
61,Sanderling (Breeding),Sanderling,"Plovers, Sandpipers, and Allies",19,9,0,10,1.0000,0.4737,0.6429,0.4737,1.0000,Sanderling (Nonbreeding/juvenile) (5)
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,12,3,10,0.8000,0.5455,0.6486,0.5455,0.9545,Western Gull (Immature) (4)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,33,20,15,0.6226,0.6875,0.6535,0.6875,1.0000,"Broad-tailed Hummingbird (Female, immature) (8)"
50,Cooper's Hawk (Adult),Cooper's Hawk,"Hawks, Kites, Eagles, and Allies",57,37,19,20,0.6607,0.6491,0.6549,0.6491,0.9825,Sharp-shinned Hawk (Adult ) (16)
553,Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler,Perching Birds,44,28,13,16,0.6829,0.6364,0.6588,0.6364,1.0000,Yellow-rumped Warbler (Breeding Audubon's) (11)
136,Swainson's Hawk (Light morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",39,28,18,11,0.6087,0.7179,0.6588,0.7179,1.0000,Swainson's Hawk (Dark morph ) (11)
72,Allen's Hummingbird (Adult Male),Allen's Hummingbird,Swifts and Hummingbirds,60,42,25,18,0.6269,0.7000,0.6614,0.7000,1.0000,Rufous Hummingbird (Adult Male) (18)
457,Boat-tailed Grackle,Boat-tailed Grackle,Perching Birds,60,38,16,22,0.7037,0.6333,0.6667,0.6333,0.9500,Great-tailed Grackle (13)
262,Broad-winged Hawk (Immature),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",29,18,7,11,0.7200,0.6207,0.6667,0.6207,0.9655,Broad-winged Hawk (Adult) (4)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,27,13,14,0.6750,0.6585,0.6667,0.6585,0.9512,Herring Gull (Adult) (5)
465,Hoary Redpoll,Hoary Redpoll,Perching Birds,29,17,5,12,0.7727,0.5862,0.6667,0.5862,0.9655,Common Redpoll (10)
229,Lesser Scaup (Female/Eclipse male),Lesser Scaup,"Ducks, Geese, and Swans",35,33,30,2,0.5238,0.9429,0.6735,0.9429,1.0000,Redhead (Female/Eclipse male) (1)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,30,9,19,0.7692,0.6122,0.6818,0.6122,0.9388,Eastern Wood-Pewee (16)
200,Hairy Woodpecker,Hairy Woodpecker,Woodpeckers,60,36,9,24,0.8000,0.6000,0.6857,0.6000,1.0000,Downy Woodpecker (19)
178,Eastern Screech-Owl,Eastern Screech-Owl,Owls,50,35,17,15,0.6731,0.7000,0.6863,0.7000,1.0000,Western Screech-Owl (14)
99,Trumpeter Swan,Trumpeter Swan,"Ducks, Geese, and Swans",37,31,22,6,0.5849,0.8378,0.6889,0.8378,1.0000,Tundra Swan (3)
277,"Anna's Hummingbird (Female, immature)",Anna's Hummingbird,Swifts and Hummingbirds,52,40,24,12,0.6250,0.7692,0.6897,0.7692,0.9615,"Black-chinned Hummingbird (Female, immature) (9)"
261,Red-shouldered Hawk (Immature),Red-shouldered Hawk,"Hawks, Kites, Eagles, and Allies",38,27,13,11,0.6750,0.7105,0.6923,0.7105,0.9474,Red-shouldered Hawk (Adult ) (4)
356,Black-capped Chickadee,Black-capped Chickadee,Perching Birds,60,36,8,24,0.8182,0.6000,0.6923,0.6000,0.9500,Carolina Chickadee (21)
202,"Black Guillemot (Nonbreeding, juvenile)",Black Guillemot,Skuas and Alcids,12,8,3,4,0.7273,0.6667,0.6957,0.6667,1.0000,Long-tailed Duck (Winter male) (3)
