order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.7206,0.7208,0.7029,0.6996,0.9736
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7887,0.7429,0.7525,0.7435,0.9828
Skuas and Alcids,4,91,0.7912,0.7318,0.7313,0.7123,0.9890
"Gulls, Terns, and Allies",26,1038,0.7929,0.7699,0.7663,0.7635,0.9644
Loons,6,226,0.7965,0.8663,0.7604,0.8012,0.9735
"Hawks, Kites, Eagles, and Allies",29,1260,0.8024,0.7873,0.7846,0.7799,0.9635
"Ducks, Geese, and Swans",70,2420,0.8483,0.8090,0.8200,0.8059,0.9810
Woodpeckers,16,843,0.8778,0.8773,0.8767,0.8733,0.9964
Caracaras and Falcons,7,346,0.8786,0.8993,0.8657,0.8818,0.9740
Grebes,9,375,0.8907,0.8686,0.8764,0.8716,0.9920
Owls,9,426,0.8967,0.9063,0.8884,0.8969,0.9930
Perching Birds,265,12539,0.8980,0.8848,0.8780,0.8776,0.9856
Cranes and Rails,6,200,0.9050,0.8874,0.8305,0.8484,0.9600
Cuckoos,3,113,0.9292,0.9171,0.9266,0.9218,1.0000
"Plovers, Sandpipers, and Allies",32,1573,0.9307,0.9380,0.9240,0.9262,0.9930
"Pelicans, Herons, Ibises, and Allies",21,983,0.9329,0.9413,0.9249,0.9315,0.9939
Pigeons and Doves,7,359,0.9415,0.9463,0.9386,0.9418,0.9805
"Grouse, Quail, and Allies",10,342,0.9532,0.9422,0.9340,0.9377,0.9883
Nightjars,1,39,0.9744,0.9500,0.9744,0.9620,0.9744
Storks,1,56,0.9821,0.9322,0.9821,0.9565,1.0000
Kingfishers and Allies,1,60,1.0000,0.9836,1.0000,0.9917,1.0000
Parrots,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
