species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Boreal Chickadee,1,42,0.0000,0.0000,0.0000,0.0000,0.9762
Chihuahuan Raven,1,27,0.1111,0.2308,0.1111,0.1500,1.0000
Pacific Wren,1,21,0.1429,0.4286,0.1429,0.2143,1.0000
Northwestern Crow,1,19,0.1579,0.4286,0.1579,0.2308,0.9474
Greater Scaup,2,73,0.2466,0.3333,0.2093,0.2571,0.8904
Tundra Swan,1,28,0.2500,0.5833,0.2500,0.3500,1.0000
Barrow's Goldeneye,2,60,0.2667,0.4706,0.2286,0.3077,0.9667
Chimney Swift,1,33,0.3939,0.6190,0.3939,0.4815,0.9697
Fish Crow,1,30,0.4000,0.3529,0.4000,0.3750,1.0000
Bank Swallow,1,27,0.4074,0.8462,0.4074,0.5500,0.9259
Black Guillemot,2,32,0.5000,0.7273,0.5333,0.6059,1.0000
Allen's Hummingbird,2,101,0.5248,0.7063,0.4841,0.5307,1.0000
American Crow,1,57,0.5263,0.4615,0.5263,0.4918,0.9474
Great Cormorant,2,64,0.5312,0.5929,0.5083,0.5473,1.0000
Pacific-slope Flycatcher,1,59,0.5424,0.7111,0.5424,0.6154,0.9661
MacGillivray's Warbler,1,46,0.5435,0.6757,0.5435,0.6024,1.0000
California Gull,2,66,0.5455,0.5420,0.5093,0.5248,0.8788
Swainson's Hawk,3,93,0.5484,0.5640,0.5171,0.5193,0.9247
Neotropic Cormorant,1,38,0.5526,0.6562,0.5526,0.6000,0.9474
Cassin's Vireo,1,36,0.5556,0.6897,0.5556,0.6154,1.0000
Mourning Warbler,1,52,0.5577,0.5577,0.5577,0.5577,0.9231
Rufous Hummingbird,2,87,0.5632,0.4963,0.5814,0.5278,0.9655
Mew Gull,1,23,0.5652,0.6190,0.5652,0.5909,0.8696
Eastern Meadowlark,1,40,0.5750,0.6765,0.5750,0.6216,1.0000
Western Gull,2,59,0.5763,0.5081,0.5396,0.5147,0.8983
Cordilleran Flycatcher,1,31,0.5806,0.4186,0.5806,0.4865,0.9677
Hoary Redpoll,1,29,0.5862,0.7727,0.5862,0.6667,0.9655
Pacific Loon,2,47,0.5957,0.8456,0.6222,0.7115,0.9787
Hairy Woodpecker,1,60,0.6000,0.8000,0.6000,0.6857,1.0000
Black-capped Chickadee,1,60,0.6000,0.8182,0.6000,0.6923,0.9500
Western Wood-Pewee,1,49,0.6122,0.7692,0.6122,0.6818,0.9388
Broad-tailed Hummingbird,2,73,0.6164,0.7083,0.5819,0.6389,0.9452
Western Screech-Owl,1,34,0.6176,0.5833,0.6176,0.6000,1.0000
Broad-winged Hawk,2,55,0.6182,0.6933,0.6180,0.6533,0.9455
Boat-tailed Grackle,1,60,0.6333,0.7037,0.6333,0.6667,0.9500
Juniper Titmouse,1,25,0.6400,0.8000,0.6400,0.7111,1.0000
Red-naped Sapsucker,1,54,0.6481,0.8537,0.6481,0.7368,1.0000
Greater Yellowlegs,1,59,0.6610,0.8864,0.6610,0.7573,0.9831
Harlequin Duck,2,65,0.6615,0.5000,0.5000,0.5000,0.9385
White-winged Scoter,2,57,0.6667,0.6400,0.6722,0.6538,0.9825
Common Raven,1,57,0.6667,0.5205,0.6667,0.5846,0.9649
Black-chinned Hummingbird,2,109,0.6881,0.7333,0.7012,0.7168,0.9174
Bell's Vireo,1,29,0.6897,0.8696,0.6897,0.7692,0.9310
Brandt's Cormorant,1,33,0.6970,0.8214,0.6970,0.7541,0.9697
Eastern Screech-Owl,1,50,0.7000,0.6731,0.7000,0.6863,1.0000
Cackling Goose,1,14,0.7143,0.7692,0.7143,0.7407,1.0000
Common Tern,1,60,0.7167,0.9149,0.7167,0.8037,0.9667
Snow Goose,2,54,0.7222,0.8333,0.7184,0.7710,0.9815
Herring Gull,2,101,0.7228,0.6744,0.7026,0.6880,0.9703
Sharp-shinned Hawk,2,116,0.7241,0.7002,0.7241,0.7118,0.9741
Costa's Hummingbird,2,58,0.7241,0.6667,0.6396,0.6430,1.0000
Cliff Swallow,1,30,0.7333,0.9167,0.7333,0.8148,0.9000
Great-tailed Grackle,1,60,0.7333,0.6984,0.7333,0.7154,1.0000
Cooper's Hawk,2,117,0.7350,0.7073,0.7329,0.7194,0.9744
Brown-capped Rosy-Finch,1,34,0.7353,0.8621,0.7353,0.7937,0.9706
Black Tern,1,35,0.7429,0.8966,0.7429,0.8125,1.0000
Western Sandpiper,1,51,0.7451,0.8261,0.7451,0.7835,1.0000
Red Crossbill,2,59,0.7458,0.8219,0.7741,0.7794,0.9661
Red-necked Grebe,2,60,0.7500,0.7656,0.7514,0.7583,0.9833
Rusty Blackbird,1,48,0.7500,0.9231,0.7500,0.8276,0.9167
Glaucous-winged Gull,2,60,0.7500,0.7929,0.7069,0.7368,0.9667
Vaux's Swift,1,28,0.7500,0.5000,0.7500,0.6000,1.0000
Red-tailed Hawk,3,150,0.7533,0.7722,0.7278,0.7480,0.9200
Golden Eagle,2,72,0.7639,0.7533,0.7405,0.7192,0.9861
Cave Swallow,1,34,0.7647,0.6667,0.7647,0.7123,0.8529
Great Black-backed Gull,2,73,0.7671,0.8375,0.7790,0.8015,0.9726
Florida Scrub-Jay,1,26,0.7692,0.9091,0.7692,0.8333,1.0000
Cinnamon Teal,2,75,0.7733,0.7685,0.6068,0.6587,0.9867
Plumbeous Vireo,1,41,0.7805,0.8421,0.7805,0.8101,1.0000
Cape May Warbler,1,60,0.7833,0.9792,0.7833,0.8704,0.9333
Western Meadowlark,1,60,0.7833,0.7344,0.7833,0.7581,0.9833
American Black Duck,1,37,0.7838,0.9062,0.7838,0.8406,0.9730
Calliope Hummingbird,2,89,0.7865,0.8113,0.7950,0.8011,0.9888
White-winged Crossbill,2,52,0.7885,0.9170,0.7812,0.8429,1.0000
White-faced Ibis,1,34,0.7941,0.9310,0.7941,0.8571,1.0000
Hooded Oriole,2,78,0.7949,0.7949,0.7767,0.7856,0.9872
Hutton's Vireo,1,39,0.7949,0.9394,0.7949,0.8611,1.0000
Mississippi Kite,1,50,0.8000,0.8163,0.8000,0.8081,0.8800
Least Flycatcher,1,60,0.8000,0.7869,0.8000,0.7934,0.9833
Peregrine Falcon,2,77,0.8052,0.8642,0.7949,0.8280,0.9481
Bay-breasted Warbler,2,62,0.8065,0.8387,0.7973,0.8144,0.9194
Canada Goose,1,31,0.8065,0.8929,0.8065,0.8475,0.9355
Prairie Falcon,1,42,0.8095,0.8718,0.8095,0.8395,0.9524
Oak Titmouse,1,37,0.8108,0.7143,0.8108,0.7595,0.9730
Red-shouldered Hawk,2,76,0.8158,0.7643,0.8158,0.7892,0.9605
Orchard Oriole,3,93,0.8172,0.8083,0.7849,0.7959,0.9892
Golden-fronted Woodpecker,1,33,0.8182,0.8438,0.8182,0.8308,0.9697
California Towhee,1,44,0.8182,0.8372,0.8182,0.8276,0.9773
Black-crested Titmouse,1,33,0.8182,0.9310,0.8182,0.8710,1.0000
Ruby-throated Hummingbird,2,114,0.8246,0.7649,0.8278,0.7942,0.9737
Common Redpoll,1,40,0.8250,0.7500,0.8250,0.7857,0.9750
White-throated Sparrow,2,104,0.8269,0.8478,0.8132,0.8257,1.0000
Yellow-rumped Warbler,4,214,0.8271,0.7888,0.8178,0.8001,0.9953
Red-throated Loon,2,59,0.8305,0.9444,0.8005,0.8634,0.9492
Downy Woodpecker,1,60,0.8333,0.7143,0.8333,0.7692,1.0000
Black-legged Kittiwake,2,42,0.8333,0.6595,0.8341,0.7356,0.9762
Gray Jay,1,54,0.8333,0.9574,0.8333,0.8911,0.9074
Western Grebe,1,42,0.8333,0.9459,0.8333,0.8861,1.0000
Brewer's Blackbird,2,91,0.8352,0.8481,0.8516,0.8482,0.9451
Caspian Tern,1,49,0.8367,0.8367,0.8367,0.8367,0.9796
Violet-green Swallow,1,37,0.8378,0.9688,0.8378,0.8986,0.9459
Trumpeter Swan,1,37,0.8378,0.5849,0.8378,0.6889,1.0000
Sanderling,2,68,0.8382,0.9286,0.7266,0.7786,1.0000
Double-crested Cormorant,2,106,0.8396,0.7402,0.8397,0.7833,0.9906
Ladder-backed Woodpecker,1,50,0.8400,0.9130,0.8400,0.8750,1.0000
Black-billed Cuckoo,1,32,0.8438,0.8438,0.8438,0.8438,1.0000
Ring-billed Gull,2,96,0.8438,0.7819,0.8361,0.8078,0.9583
European Starling,3,154,0.8442,0.8361,0.8419,0.8389,0.9805
Bald Eagle,2,103,0.8447,0.8856,0.8271,0.8542,0.9709
Pelagic Cormorant,1,26,0.8462,0.7097,0.8462,0.7719,1.0000
Mexican Jay,1,26,0.8462,0.9167,0.8462,0.8800,1.0000
Hermit Thrush,1,60,0.8500,0.9107,0.8500,0.8793,0.9833
Common Ground-Dove,1,35,0.8571,0.9677,0.8571,0.9091,0.9714
Eastern Wood-Pewee,1,49,0.8571,0.6774,0.8571,0.7568,0.9796
Common Loon,2,120,0.8583,0.8089,0.8583,0.8289,0.9833
Anna's Hummingbird,2,106,0.8585,0.7522,0.8568,0.8002,0.9811
Long-tailed Duck,3,65,0.8615,0.8159,0.8464,0.8277,0.9538
Mottled Duck,1,29,0.8621,0.8065,0.8621,0.8333,0.9655
Carolina Chickadee,1,58,0.8621,0.6944,0.8621,0.7692,0.9828
Blackburnian Warbler,1,51,0.8627,0.9778,0.8627,0.9167,0.9608
Purple Gallinule,2,51,0.8627,0.8810,0.7148,0.7697,0.9608
Common Eider,3,73,0.8630,0.8724,0.8521,0.8517,0.9863
Fox Sparrow,3,119,0.8655,0.8903,0.7321,0.7491,0.9916
Ruddy Duck,3,106,0.8679,0.9101,0.8476,0.8683,0.9906
Royal Tern,1,38,0.8684,0.8250,0.8684,0.8462,1.0000
Canyon Towhee,1,46,0.8696,0.8511,0.8696,0.8602,1.0000
Ross's Goose,1,23,0.8696,0.6452,0.8696,0.7407,1.0000
Crested Caracara,1,54,0.8704,0.9216,0.8704,0.8952,0.9630
Cassin's Finch,2,62,0.8710,0.8864,0.8410,0.8629,0.9677
Western Tanager,2,86,0.8721,0.8928,0.8333,0.8509,0.9884
Lesser Scaup,2,79,0.8734,0.5892,0.8805,0.7004,0.9873
Canvasback,2,72,0.8750,0.9338,0.8561,0.8890,1.0000
Rough-legged Hawk,2,64,0.8750,0.8197,0.8417,0.8261,1.0000
Bronzed Cowbird,1,32,0.8750,0.9032,0.8750,0.8889,0.9062
Verdin,1,32,0.8750,0.9655,0.8750,0.9180,1.0000
Northern Pintail,2,66,0.8788,0.8730,0.8512,0.8598,0.9848
Common Grackle,1,58,0.8793,0.8793,0.8793,0.8793,0.9828
Merlin,1,58,0.8793,0.8793,0.8793,0.8793,0.9828
Spotted Towhee,1,60,0.8833,0.9464,0.8833,0.9138,0.9333
Tennessee Warbler,1,60,0.8833,0.8983,0.8833,0.8908,0.9833
Eastern Phoebe,1,60,0.8833,0.8983,0.8833,0.8908,0.9833
Clay-colored Sparrow,1,60,0.8833,0.9464,0.8833,0.9138,1.0000
Chestnut-sided Warbler,2,95,0.8842,0.8687,0.8667,0.8670,1.0000
Laughing Gull,2,104,0.8846,0.8629,0.8719,0.8641,0.9904
Brewer's Sparrow,1,35,0.8857,0.8158,0.8857,0.8493,1.0000
Chipping Sparrow,2,106,0.8868,0.8958,0.8797,0.8876,0.9811
Eared Grebe,2,80,0.8875,0.8544,0.8866,0.8701,0.9875
Nuttall's Woodpecker,1,45,0.8889,0.7692,0.8889,0.8247,1.0000
Wood Thrush,1,46,0.8913,1.0000,0.8913,0.9425,0.9565
Northern Harrier,2,120,0.8917,0.9385,0.8917,0.9105,0.9833
Gray-crowned Rosy-Finch,1,37,0.8919,0.9167,0.8919,0.9041,1.0000
Gadwall,2,75,0.8933,0.8393,0.8590,0.8489,0.9733
Scaled Quail,1,19,0.8947,1.0000,0.8947,0.9444,1.0000
Pine Warbler,1,48,0.8958,0.8776,0.8958,0.8866,0.9583
Bullock's Oriole,2,87,0.8966,0.9105,0.8832,0.8960,0.9885
Snowy Egret,1,49,0.8980,0.9778,0.8980,0.9362,1.0000
Lesser Yellowlegs,1,60,0.9000,0.7013,0.9000,0.7883,1.0000
Forster's Tern,1,60,0.9000,0.7826,0.9000,0.8372,0.9833
American Woodcock,1,30,0.9000,1.0000,0.9000,0.9474,1.0000
Semipalmated Sandpiper,1,60,0.9000,0.8060,0.9000,0.8504,1.0000
Yellow Warbler,1,60,0.9000,0.9310,0.9000,0.9153,0.9667
Eastern Kingbird,1,60,0.9000,0.9474,0.9000,0.9231,0.9833
Eastern Bluebird,1,60,0.9000,0.9153,0.9000,0.9076,1.0000
American Coot,1,60,0.9000,0.9818,0.9000,0.9391,0.9167
Broad-billed Hummingbird,2,71,0.9014,0.9174,0.8660,0.8894,1.0000
Harris's Sparrow,2,61,0.9016,0.8714,0.9003,0.8856,0.9836
Ring-necked Pheasant,2,61,0.9016,0.8817,0.8609,0.8711,0.9508
Lark Bunting,2,51,0.9020,0.9655,0.9219,0.9426,0.9804
Black Scoter,2,41,0.9024,0.9750,0.9055,0.9389,0.9512
Bridled Titmouse,1,31,0.9032,1.0000,0.9032,0.9492,1.0000
Western Kingbird,1,52,0.9038,0.9400,0.9038,0.9216,0.9615
Common Goldeneye,2,84,0.9048,0.5873,0.8841,0.7056,0.9881
Northern Rough-winged Swallow,1,42,0.9048,0.7308,0.9048,0.8085,0.9762
Lesser Goldfinch,2,95,0.9053,0.8952,0.8912,0.8931,0.9789
Phainopepla,2,53,0.9057,0.9126,0.8881,0.9000,0.9434
Harris's Hawk,1,43,0.9070,0.9070,0.9070,0.9070,1.0000
Winter Wren,1,54,0.9074,0.7206,0.9074,0.8033,1.0000
Black-tailed Gnatcatcher,1,22,0.9091,0.6897,0.9091,0.7843,0.9545
Summer Tanager,3,100,0.9100,0.9468,0.8616,0.8956,0.9900
Northern Saw-whet Owl,1,45,0.9111,0.9762,0.9111,0.9425,0.9556
Lazuli Bunting,2,68,0.9118,0.9389,0.8874,0.9121,1.0000
Northern Gannet,2,80,0.9125,0.8723,0.8750,0.8733,0.9625
Clark's Nutcracker,1,46,0.9130,0.9333,0.9130,0.9231,1.0000
Curve-billed Thrasher,1,46,0.9130,1.0000,0.9130,0.9545,0.9783
Bonaparte's Gull,1,58,0.9138,1.0000,0.9138,0.9550,1.0000
Black-headed Grosbeak,2,106,0.9151,0.9289,0.9062,0.9160,0.9811
Western Bluebird,1,59,0.9153,0.9000,0.9153,0.9076,1.0000
Green-winged Teal,2,71,0.9155,0.8530,0.9000,0.8758,0.9859
Purple Martin,2,71,0.9155,0.9155,0.9159,0.9155,1.0000
Red-bellied Woodpecker,1,60,0.9167,1.0000,0.9167,0.9565,1.0000
Dark-eyed Junco,5,192,0.9167,0.7540,0.7657,0.7587,0.9844
Barred Owl,1,60,0.9167,0.9821,0.9167,0.9483,1.0000
Nashville Warbler,1,60,0.9167,0.8871,0.9167,0.9016,1.0000
Mute Swan,1,60,0.9167,0.9167,0.9167,0.9167,0.9833
Northern Parula,1,60,0.9167,0.9167,0.9167,0.9167,0.9500
Mallard,2,120,0.9167,0.9198,0.9167,0.9177,0.9833
Marsh Wren,1,60,0.9167,0.9483,0.9167,0.9322,1.0000
Blue-gray Gnatcatcher,1,60,0.9167,0.9483,0.9167,0.9322,1.0000
Northern Shrike,1,60,0.9167,0.9167,0.9167,0.9167,0.9833
Mountain Bluebird,1,49,0.9184,0.8824,0.9184,0.9000,0.9388
Cattle Egret,1,49,0.9184,0.9375,0.9184,0.9278,0.9796
Wrentit,1,37,0.9189,0.9444,0.9189,0.9315,0.9730
Pine Grosbeak,2,74,0.9189,0.9184,0.9209,0.9195,0.9865
Indigo Bunting,2,99,0.9192,0.8834,0.9064,0.8946,0.9899
Sandhill Crane,1,25,0.9200,0.9200,0.9200,0.9200,0.9600
Pygmy Nuthatch,1,38,0.9211,0.9722,0.9211,0.9459,0.9737
Whimbrel,1,51,0.9216,0.9592,0.9216,0.9400,0.9804
Blackpoll Warbler,2,103,0.9223,0.9417,0.9300,0.9358,0.9806
