class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.1111,Dark-eyed Junco (Slate-colored) (6)
351,Bank Swallow,Bank Swallow,Perching Birds,27,0,2,27,0.0000,0.0000,0.0000,0.0000,0.1481,Northern Rough-winged Swallow (6)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,0,2,25,0.0000,0.0000,0.0000,0.0000,0.3600,Common Goldeneye (Female/Eclipse male) (13)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,0,17,26,0.0000,0.0000,0.0000,0.0000,0.5000,Herring Gull (Immature) (6)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,0,13,24,0.0000,0.0000,0.0000,0.0000,0.5000,Double-crested Cormorant (Immature) (13)
230,Harlequin Duck (Female/juvenile),Harlequin Duck,"Ducks, Geese, and Swans",22,0,0,22,0.0000,0.0000,0.0000,0.0000,0.4545,Lesser Scaup (Female/Eclipse male) (3)
267,Purple Gallinule (Immature),Purple Gallinule,Cranes and Rails,11,0,3,11,0.0000,0.0000,0.0000,0.0000,0.1818,Common Gallinule (Adult) (3)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,1,5,26,0.1667,0.0370,0.0606,0.0370,0.7037,Common Raven (13)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,1,1,29,0.5000,0.0333,0.0625,0.0333,0.4667,Lesser Scaup (Female/Eclipse male) (15)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,2,21,25,0.0870,0.0741,0.0800,0.0741,0.7037,Common Loon (Nonbreeding/juvenile) (11)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,2,17,18,0.1053,0.1000,0.1026,0.1000,0.7500,Pigeon Guillemot (Breeding) (10)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,1,2,15,0.3333,0.0625,0.1053,0.0625,0.5000,Fox Sparrow (Sooty) (9)
104,Long-tailed Duck (Summer male),Long-tailed Duck,"Ducks, Geese, and Swans",12,1,5,11,0.1667,0.0833,0.1111,0.0833,0.5833,American Wigeon (Breeding male) (3)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,2,10,22,0.1667,0.0833,0.1111,0.0833,0.4583,"Northern Harrier (Female, immature) (3)"
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,3,16,32,0.1579,0.0857,0.1111,0.0857,0.3143,Laughing Gull (Breeding) (3)
344,Fish Crow,Fish Crow,Perching Birds,30,3,19,27,0.1364,0.1000,0.1154,0.1000,0.6667,American Crow (10)
