order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Parrots,1,28,0.3214,0.3000,0.3214,0.3103,0.6429
"Hawks, Kites, Eagles, and Allies",29,1260,0.3944,0.3830,0.3701,0.3689,0.7000
Storks,1,56,0.4107,0.6571,0.4107,0.5055,0.6786
Nightjars,1,39,0.4615,0.3529,0.4615,0.4000,0.6923
Skuas and Alcids,4,91,0.4615,0.3200,0.3839,0.3476,0.8352
Swifts and Hummingbirds,21,909,0.4719,0.4720,0.4520,0.4476,0.8196
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.4816,0.3658,0.4217,0.3860,0.7813
"Gulls, Terns, and Allies",26,1038,0.4990,0.4318,0.4816,0.4496,0.8179
Loons,6,226,0.5310,0.5841,0.4639,0.4953,0.7965
"Pelicans, Herons, Ibises, and Allies",21,983,0.5422,0.5501,0.5294,0.5333,0.8199
Caracaras and Falcons,7,346,0.5549,0.5899,0.5290,0.5542,0.7543
"Ducks, Geese, and Swans",70,2420,0.5921,0.5827,0.5448,0.5445,0.8198
Pigeons and Doves,7,359,0.6184,0.6880,0.6211,0.6477,0.8162
Cranes and Rails,6,200,0.6200,0.5367,0.5038,0.5143,0.7900
Owls,9,426,0.6291,0.6031,0.6273,0.6033,0.8310
Perching Birds,265,12539,0.6416,0.6333,0.6098,0.6120,0.8540
Woodpeckers,16,843,0.6548,0.6263,0.6432,0.6299,0.8980
Cuckoos,3,113,0.6814,0.5800,0.6737,0.6119,0.8407
"Plovers, Sandpipers, and Allies",32,1573,0.6917,0.6981,0.6867,0.6855,0.8951
Grebes,9,375,0.7227,0.7292,0.7268,0.7187,0.9040
Kingfishers and Allies,1,60,0.7333,0.7857,0.7333,0.7586,0.8833
"Grouse, Quail, and Allies",10,342,0.7485,0.6688,0.7159,0.6842,0.8918
