species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Bank Swallow,1,27,0.0000,0.0000,0.0000,0.0000,0.0741
Boreal Chickadee,1,42,0.0238,0.5000,0.0238,0.0455,0.6667
Mississippi Kite,1,50,0.0600,0.1071,0.0600,0.0769,0.2200
Fish Crow,1,30,0.0667,0.1250,0.0667,0.0870,0.6667
Tundra Swan,1,28,0.0714,0.1333,0.0714,0.0930,0.5357
Chihuahuan Raven,1,27,0.0741,0.1250,0.0741,0.0930,0.5926
Black Tern,1,35,0.0857,0.1765,0.0857,0.1154,0.2857
Northwestern Crow,1,19,0.1053,0.2222,0.1053,0.1429,0.7368
Greater Scaup,2,73,0.1233,0.3750,0.1147,0.1574,0.6575
Black Guillemot,2,32,0.1250,0.1654,0.1500,0.1533,0.5625
Barrow's Goldeneye,2,60,0.1333,0.4000,0.1143,0.1778,0.5000
Cassin's Vireo,1,36,0.1389,0.1220,0.1389,0.1299,0.6944
California Gull,2,66,0.1515,0.2346,0.1454,0.1795,0.6061
White-tailed Kite,1,13,0.1538,0.0952,0.1538,0.1176,0.3846
Great Cormorant,2,64,0.1562,0.2240,0.1333,0.1583,0.7344
Neotropic Cormorant,1,38,0.1579,0.2727,0.1579,0.2000,0.5263
Vaux's Swift,1,28,0.1786,0.1316,0.1786,0.1515,0.8571
Broad-winged Hawk,2,55,0.1818,0.2473,0.1784,0.2070,0.5636
Pacific Wren,1,21,0.1905,0.3077,0.1905,0.2353,0.4762
Juniper Titmouse,1,25,0.2000,0.2778,0.2000,0.2326,0.6800
Cave Swallow,1,34,0.2059,0.2917,0.2059,0.2414,0.5588
Chimney Swift,1,33,0.2121,0.2333,0.2121,0.2222,0.8182
Cackling Goose,1,14,0.2143,0.2727,0.2143,0.2400,0.7143
Swainson's Hawk,3,93,0.2151,0.2949,0.1998,0.2320,0.5591
Western Wood-Pewee,1,49,0.2245,0.2821,0.2245,0.2500,0.7551
Pacific Loon,2,47,0.2340,0.3929,0.2750,0.3235,0.5532
MacGillivray's Warbler,1,46,0.2609,0.6316,0.2609,0.3692,0.7609
American Crow,1,57,0.2632,0.1923,0.2632,0.2222,0.5965
Bell's Vireo,1,29,0.2759,0.4444,0.2759,0.3404,0.5172
White-winged Scoter,2,57,0.2807,0.3611,0.2852,0.3180,0.8246
Rough-legged Hawk,2,64,0.2812,0.2597,0.2417,0.2503,0.7344
Black-capped Chickadee,1,60,0.2833,0.4722,0.2833,0.3542,0.8667
Brewer's Blackbird,2,91,0.2857,0.3629,0.2790,0.3133,0.6703
Boat-tailed Grackle,1,60,0.3000,0.3396,0.3000,0.3186,0.6000
Black-crested Titmouse,1,33,0.3030,0.5000,0.3030,0.3774,0.6970
Wood Stork,1,56,0.3036,0.6800,0.3036,0.4198,0.6071
Western Screech-Owl,1,34,0.3235,0.3235,0.3235,0.3235,0.8529
Black Vulture,1,48,0.3333,0.3810,0.3333,0.3556,0.8125
Common Raven,1,57,0.3333,0.1900,0.3333,0.2420,0.7719
Hoary Redpoll,1,29,0.3448,0.5556,0.3448,0.4255,0.8966
Northern Harrier,2,120,0.3500,0.4066,0.3500,0.3550,0.5583
Trumpeter Swan,1,37,0.3514,0.3171,0.3514,0.3333,0.7838
Snow Goose,2,54,0.3519,0.6786,0.3475,0.4595,0.7037
Brown-capped Rosy-Finch,1,34,0.3529,0.4615,0.3529,0.4000,0.8824
Cordilleran Flycatcher,1,31,0.3548,0.2683,0.3548,0.3056,0.8065
Brandt's Cormorant,1,33,0.3636,0.4800,0.3636,0.4138,0.5758
Mourning Warbler,1,52,0.3654,0.6333,0.3654,0.4634,0.5962
Lark Bunting,2,51,0.3725,0.5455,0.3610,0.4343,0.7843
Eastern Screech-Owl,1,50,0.3800,0.3958,0.3800,0.3878,0.8800
Common Tern,1,60,0.3833,0.4600,0.3833,0.4182,0.8833
Least Flycatcher,1,60,0.3833,0.6970,0.3833,0.4946,0.8333
Great-tailed Grackle,1,60,0.3833,0.2738,0.3833,0.3194,0.7833
Cassin's Finch,2,62,0.3871,0.6877,0.3772,0.4858,0.8387
Plumbeous Vireo,1,41,0.3902,0.4211,0.3902,0.4051,0.8537
Tricolored Heron,1,60,0.4000,0.5000,0.4000,0.4444,0.7167
Great Blue Heron,1,60,0.4000,0.5714,0.4000,0.4706,0.6333
Black-legged Kittiwake,2,42,0.4048,0.3474,0.4016,0.3718,0.7857
Violet-green Swallow,1,37,0.4054,0.6522,0.4054,0.5000,0.6486
Red-tailed Hawk,3,150,0.4067,0.3909,0.4000,0.3940,0.7333
Western Gull,2,59,0.4068,0.2597,0.3677,0.3022,0.7966
Calliope Hummingbird,2,89,0.4157,0.5460,0.4263,0.4785,0.8090
Pygmy Nuthatch,1,38,0.4211,0.4706,0.4211,0.4444,0.6316
Great Black-backed Gull,2,73,0.4247,0.5290,0.4398,0.4563,0.8493
Red-naped Sapsucker,1,54,0.4259,0.5610,0.4259,0.4842,0.8333
Cassin's Kingbird,1,35,0.4286,0.4545,0.4286,0.4412,0.8571
Merlin,1,58,0.4310,0.5319,0.4310,0.4762,0.6897
Cliff Swallow,1,30,0.4333,0.4643,0.4333,0.4483,0.6000
Lesser Yellowlegs,1,60,0.4333,0.4127,0.4333,0.4228,0.9000
Red-shouldered Hawk,2,76,0.4342,0.5496,0.4342,0.4672,0.6579
Allen's Hummingbird,2,101,0.4356,0.5533,0.3937,0.4331,0.8020
Hutton's Vireo,1,39,0.4359,0.3778,0.4359,0.4048,0.8974
Purple Martin,2,71,0.4366,0.5309,0.4369,0.4772,0.7324
Rusty Blackbird,1,48,0.4375,0.4286,0.4375,0.4330,0.7083
Sandhill Crane,1,25,0.4400,0.6111,0.4400,0.5116,0.5600
Pacific-slope Flycatcher,1,59,0.4407,0.5098,0.4407,0.4727,0.8136
Golden Eagle,2,72,0.4444,0.4372,0.4381,0.4205,0.7778
Sharp-shinned Hawk,2,116,0.4483,0.5053,0.4483,0.4750,0.8190
Canada Goose,1,31,0.4516,0.5000,0.4516,0.4746,0.7419
Bay-breasted Warbler,2,62,0.4516,0.8291,0.4410,0.5495,0.8387
Broad-tailed Hummingbird,2,73,0.4521,0.5889,0.4338,0.4969,0.8219
Black-tailed Gnatcatcher,1,22,0.4545,0.4545,0.4545,0.4545,0.5909
Peregrine Falcon,2,77,0.4545,0.6299,0.4383,0.5136,0.6753
Greater Yellowlegs,1,59,0.4576,0.4500,0.4576,0.4538,0.9661
Gray-crowned Rosy-Finch,1,37,0.4595,0.5667,0.4595,0.5075,0.8378
Black Rosy-Finch,1,26,0.4615,0.5455,0.4615,0.5000,0.6538
Monk Parakeet,1,28,0.4643,0.6190,0.4643,0.5306,0.7143
Bushtit,1,60,0.4667,0.3684,0.4667,0.4118,0.8333
Brown Pelican,1,34,0.4706,0.6667,0.4706,0.5517,0.7647
Orchard Oriole,3,93,0.4731,0.5613,0.4320,0.4789,0.8280
Royal Tern,1,38,0.4737,0.4737,0.4737,0.4737,0.8158
Black-chinned Hummingbird,2,109,0.4771,0.4566,0.4941,0.4743,0.7706
Mew Gull,1,23,0.4783,0.4074,0.4783,0.4400,0.6522
Abert's Towhee,1,29,0.4828,0.5600,0.4828,0.5185,0.7586
Oak Titmouse,1,37,0.4865,0.3913,0.4865,0.4337,0.8378
Black Scoter,2,41,0.4878,0.5833,0.5084,0.5317,0.7317
Western Sandpiper,1,51,0.4902,0.7143,0.4902,0.5814,0.9020
Ruby-throated Hummingbird,2,114,0.4912,0.4623,0.4963,0.4782,0.8772
Florida Scrub-Jay,1,26,0.5000,0.5652,0.5000,0.5306,0.9231
Barn Owl,1,52,0.5000,0.5000,0.5000,0.5000,0.7115
Downy Woodpecker,1,60,0.5000,0.5357,0.5000,0.5172,0.9167
Hairy Woodpecker,1,60,0.5000,0.4918,0.5000,0.4959,0.9500
Cooper's Hawk,2,117,0.5043,0.4500,0.5048,0.4742,0.8120
Red Crossbill,2,59,0.5085,0.5733,0.5365,0.5495,0.7119
Ring-billed Gull,2,96,0.5104,0.5088,0.5028,0.5044,0.7812
American Dipper,1,31,0.5161,0.4444,0.5161,0.4776,0.8387
Willet,1,60,0.5167,0.6078,0.5167,0.5586,0.6833
Great Egret,1,60,0.5167,0.4627,0.5167,0.4882,0.9167
Anhinga,1,60,0.5167,0.5082,0.5167,0.5124,0.7167
Costa's Hummingbird,2,58,0.5172,0.3831,0.4157,0.3981,0.7586
Northern Pygmy-Owl,1,50,0.5200,0.6190,0.5200,0.5652,0.7600
California Towhee,1,44,0.5227,0.5476,0.5227,0.5349,0.8182
Eastern Meadowlark,1,40,0.5250,0.5833,0.5250,0.5526,0.9250
White-faced Ibis,1,34,0.5294,0.7200,0.5294,0.6102,0.8824
Brant,1,32,0.5312,0.7083,0.5312,0.6071,0.7500
Glaucous-winged Gull,2,60,0.5333,0.4688,0.5455,0.5035,0.8833
Bald Eagle,2,103,0.5340,0.4601,0.5143,0.4856,0.7864
Herring Gull,2,101,0.5347,0.4512,0.5385,0.4909,0.9010
American White Pelican,1,28,0.5357,0.5769,0.5357,0.5556,0.7857
Pelagic Cormorant,1,26,0.5385,0.3111,0.5385,0.3944,0.7692
Common Nighthawk,1,39,0.5385,0.5676,0.5385,0.5526,0.7692
Rufous Hummingbird,2,87,0.5402,0.4533,0.5473,0.4955,0.8966
American Black Duck,1,37,0.5405,0.5714,0.5405,0.5556,0.7297
Pigeon Guillemot,2,59,0.5424,0.4905,0.5035,0.4962,0.8136
Eurasian Collared-Dove,1,59,0.5424,0.5517,0.5424,0.5470,0.8644
Little Blue Heron,2,97,0.5464,0.4432,0.5194,0.4780,0.8041
Cape May Warbler,1,60,0.5500,0.7333,0.5500,0.6286,0.8167
Band-tailed Pigeon,1,40,0.5500,0.6286,0.5500,0.5867,0.8000
Brown-headed Nuthatch,1,38,0.5526,0.5833,0.5526,0.5676,0.8158
Yellow-throated Vireo,1,38,0.5526,0.6176,0.5526,0.5833,0.8684
Crested Caracara,1,54,0.5556,0.6818,0.5556,0.6122,0.6852
Yellow-bellied Sapsucker,1,59,0.5593,0.5000,0.5593,0.5280,0.7797
Black-billed Cuckoo,1,32,0.5625,0.3103,0.5625,0.4000,0.7812
Long-billed Curlew,1,53,0.5660,0.6383,0.5660,0.6000,0.8491
