true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,27,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,23,False,True
Western Wood-Pewee,Eastern Wood-Pewee,23,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",23,False,True
Hairy Woodpecker,Downy Woodpecker,22,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),22,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),21,True,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),19,False,True
Eastern Meadowlark,Western Meadowlark,19,False,True
Greater Yellowlegs,Lesser Yellowlegs,19,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),18,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),18,False,True
Western Screech-Owl,Eastern Screech-Owl,17,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),17,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",15,False,True
Lesser Yellowlegs,Greater Yellowlegs,15,False,True
Chihuahuan Raven,Common Raven,15,False,True
Boreal Chickadee,Chestnut-backed Chickadee,15,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),14,False,True
Cassin's Vireo,Blue-headed Vireo,14,False,True
Chimney Swift,Vaux's Swift,14,False,True
Common Tern,Forster's Tern,14,False,True
Pacific Wren,Winter Wren,14,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),14,False,True
Eastern Screech-Owl,Western Screech-Owl,13,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",13,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,12,False,True
Common Raven,American Crow,12,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),12,False,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),11,True,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),11,True,True
Western Sandpiper,Semipalmated Sandpiper,11,False,True
Fish Crow,American Crow,11,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),11,True,True
American Crow,Fish Crow,11,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",10,False,True
Western Grebe,Clark's Grebe,10,False,True
Plumbeous Vireo,Cassin's Vireo,10,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),10,False,True
Boat-tailed Grackle,Great-tailed Grackle,10,False,True
Mourning Warbler,MacGillivray's Warbler,10,False,True
Mourning Warbler,Nashville Warbler,10,False,True
Northwestern Crow,American Crow,9,False,True
Juniper Titmouse,Oak Titmouse,9,False,True
European Starling (Nonbreeding Adult),European Starling (Breeding Adult),9,True,True
Cave Swallow,Cliff Swallow,9,False,True
Hoary Redpoll,Common Redpoll,9,False,True
Tundra Swan,Trumpeter Swan,9,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),9,False,True
American Crow,Northwestern Crow,9,False,True
Dark-eyed Junco (White-winged),Dark-eyed Junco (Slate-colored),9,True,True
Cassin's Kingbird,Western Kingbird,8,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),8,False,True
Pacific-slope Flycatcher,Least Flycatcher,8,False,True
Red-tailed Hawk (Light morph adult),Red-tailed Hawk (Light morph immature),8,True,True
California Gull (Adult),Ring-billed Gull (Adult),8,False,True
Golden Eagle (Immature),Golden Eagle (Adult),8,True,True
White-faced Ibis,Glossy Ibis,8,False,True
Black-billed Cuckoo,Yellow-billed Cuckoo,8,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",8,False,True
