class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.7778,Dark-eyed Junco (Slate-colored) (9)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,0,10,27,0.0000,0.0000,0.0000,0.0000,0.5926,Common Raven (15)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,1,3,24,0.2500,0.0400,0.0690,0.0400,0.8800,Common Goldeneye (Female/Eclipse male) (19)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,3,12,23,0.2000,0.1154,0.1463,0.1154,0.6923,Herring Gull (Immature) (7)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,3,5,27,0.3750,0.1000,0.1579,0.1000,0.6667,Lesser Scaup (Female/Eclipse male) (18)
351,Bank Swallow,Bank Swallow,Perching Birds,27,3,3,24,0.5000,0.1111,0.1818,0.1111,0.4815,Northern Rough-winged Swallow (7)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,6,15,19,0.2857,0.2400,0.2609,0.2400,0.6800,Ring-billed Gull (Immature) (4)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,9,23,27,0.2812,0.2500,0.2647,0.2500,0.8611,Blue-headed Vireo (14)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,5,11,16,0.3125,0.2381,0.2703,0.2381,0.7143,"Ruby-throated Hummingbird (Female, immature) (4)"
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,6,2,29,0.7500,0.1714,0.2791,0.1714,0.5714,Laughing Gull (Nonbreeding/Immature) (5)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,8,6,33,0.5714,0.1951,0.2909,0.1951,0.8537,"Rufous Hummingbird (Female, immature) (23)"
344,Fish Crow,Fish Crow,Perching Birds,30,10,24,20,0.2941,0.3333,0.3125,0.3333,0.7667,American Crow (11)
