order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Skuas and Alcids,4,91,0.6484,0.6131,0.5874,0.5973,0.9011
Swifts and Hummingbirds,21,909,0.6502,0.6393,0.6284,0.6231,0.9340
"Hawks, Kites, Eagles, and Allies",29,1260,0.6738,0.6725,0.6519,0.6541,0.8921
"Gulls, Terns, and Allies",26,1038,0.6936,0.6692,0.6597,0.6528,0.9162
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7273,0.7054,0.6671,0.6693,0.9214
Loons,6,226,0.7611,0.7547,0.7358,0.7413,0.9159
Caracaras and Falcons,7,346,0.7948,0.8263,0.7776,0.8000,0.9249
"Ducks, Geese, and Swans",70,2420,0.8041,0.7827,0.7695,0.7648,0.9541
Woodpeckers,16,843,0.8197,0.8225,0.8183,0.8131,0.9786
Grebes,9,375,0.8240,0.8431,0.8215,0.8301,0.9493
Perching Birds,265,12539,0.8321,0.8199,0.8072,0.8082,0.9549
Cuckoos,3,113,0.8407,0.8110,0.8343,0.8207,0.9912
Owls,9,426,0.8638,0.8581,0.8502,0.8524,0.9671
Pigeons and Doves,7,359,0.8691,0.9176,0.8701,0.8916,0.9554
Cranes and Rails,6,200,0.8900,0.8331,0.8151,0.8173,0.9550
"Plovers, Sandpipers, and Allies",32,1573,0.8938,0.8865,0.8933,0.8886,0.9816
"Pelicans, Herons, Ibises, and Allies",21,983,0.8952,0.8998,0.8858,0.8901,0.9837
Nightjars,1,39,0.8974,0.8537,0.8974,0.8750,0.9744
Storks,1,56,0.9286,0.8814,0.9286,0.9043,0.9821
Kingfishers and Allies,1,60,0.9333,0.9032,0.9333,0.9180,0.9833
"Grouse, Quail, and Allies",10,342,0.9386,0.9293,0.9200,0.9232,0.9854
Parrots,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
