species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0000,0.0000,0.0000,0.0000,0.5926
Bank Swallow,1,27,0.1111,0.5000,0.1111,0.1818,0.4815
Black Tern,1,35,0.1714,0.7500,0.1714,0.2791,0.5714
Greater Scaup,2,73,0.2466,0.4875,0.2244,0.2995,0.7671
Cassin's Vireo,1,36,0.2500,0.2812,0.2500,0.2647,0.8611
California Gull,2,66,0.3030,0.4021,0.2907,0.3363,0.6970
Bell's Vireo,1,29,0.3103,0.6000,0.3103,0.4091,0.6897
Northwestern Crow,1,19,0.3158,0.3333,0.3158,0.3243,0.8947
Western Wood-Pewee,1,49,0.3265,0.4706,0.3265,0.3855,0.8367
Fish Crow,1,30,0.3333,0.2941,0.3333,0.3125,0.7667
Pacific Wren,1,21,0.3333,0.5000,0.3333,0.4000,0.6190
Cave Swallow,1,34,0.3824,0.5652,0.3824,0.4561,0.8529
Mourning Warbler,1,52,0.4038,0.7778,0.4038,0.5316,0.7500
Black-capped Chickadee,1,60,0.4167,0.7576,0.4167,0.5376,0.9167
Cackling Goose,1,14,0.4286,0.7500,0.4286,0.5455,1.0000
Barrow's Goldeneye,2,60,0.4333,0.5714,0.3771,0.4313,0.9167
Western Screech-Owl,1,34,0.4412,0.5172,0.4412,0.4762,1.0000
Allen's Hummingbird,2,101,0.4455,0.6283,0.4059,0.4700,0.9406
Neotropic Cormorant,1,38,0.4474,0.5000,0.4474,0.4722,0.7895
Eastern Meadowlark,1,40,0.4500,0.7826,0.4500,0.5714,1.0000
Boreal Chickadee,1,42,0.4524,1.0000,0.4524,0.6230,0.7857
American Crow,1,57,0.4561,0.3611,0.4561,0.4031,0.8070
Black Guillemot,2,32,0.4688,0.5159,0.4583,0.4820,0.8125
Broad-winged Hawk,2,55,0.4727,0.6500,0.4741,0.5479,0.8182
Swainson's Hawk,3,93,0.4731,0.4958,0.4575,0.4719,0.8172
Pacific-slope Flycatcher,1,59,0.4746,0.7000,0.4746,0.5657,0.8136
Mew Gull,1,23,0.4783,0.4400,0.4783,0.4583,0.8261
Rough-legged Hawk,2,64,0.4844,0.5470,0.4708,0.5041,0.8906
Great Cormorant,2,64,0.4844,0.5605,0.4542,0.5013,0.7969
Chimney Swift,1,33,0.4848,0.6400,0.4848,0.5517,0.9091
Sharp-shinned Hawk,2,116,0.4914,0.5702,0.4914,0.5245,0.9052
Tundra Swan,1,28,0.5000,0.5385,0.5000,0.5185,0.9643
Western Gull,2,59,0.5085,0.4750,0.4668,0.4645,0.8644
Hairy Woodpecker,1,60,0.5167,0.7750,0.5167,0.6200,0.9833
Red-naped Sapsucker,1,54,0.5185,0.6667,0.5185,0.5833,1.0000
Juniper Titmouse,1,25,0.5200,0.5909,0.5200,0.5532,0.9200
Plumbeous Vireo,1,41,0.5366,0.6667,0.5366,0.5946,0.8537
Hoary Redpoll,1,29,0.5517,0.7619,0.5517,0.6400,0.9655
Mississippi Kite,1,50,0.5600,0.7568,0.5600,0.6437,0.8000
Rusty Blackbird,1,48,0.5625,0.7500,0.5625,0.6429,0.8125
Rufous Hummingbird,2,87,0.5632,0.4706,0.5568,0.5092,0.9425
Glaucous-winged Gull,2,60,0.5667,0.5833,0.5431,0.5624,0.8833
Boat-tailed Grackle,1,60,0.5667,0.6667,0.5667,0.6126,0.8500
Brandt's Cormorant,1,33,0.5758,0.8261,0.5758,0.6786,0.9394
Cordilleran Flycatcher,1,31,0.5806,0.5143,0.5806,0.5455,0.8387
Black-chinned Hummingbird,2,109,0.5872,0.6483,0.6064,0.6233,0.8624
Greater Yellowlegs,1,59,0.5932,0.6604,0.5932,0.6250,1.0000
Trumpeter Swan,1,37,0.5946,0.5238,0.5946,0.5570,0.9730
Common Raven,1,57,0.5965,0.5000,0.5965,0.5440,0.9298
Golden Eagle,2,72,0.5972,0.6500,0.5929,0.6070,0.8889
Common Tern,1,60,0.6000,0.7500,0.6000,0.6667,0.9667
Cliff Swallow,1,30,0.6000,0.4615,0.6000,0.5217,0.7333
Costa's Hummingbird,2,58,0.6034,0.4896,0.5245,0.5010,0.8966
Brewer's Blackbird,2,91,0.6044,0.7034,0.6298,0.6634,0.8681
Snow Goose,2,54,0.6111,0.6875,0.6071,0.6446,0.8519
Red-tailed Hawk,3,150,0.6133,0.6197,0.5833,0.5974,0.8800
Oak Titmouse,1,37,0.6216,0.5476,0.6216,0.5823,0.9459
Western Sandpiper,1,51,0.6275,0.7442,0.6275,0.6809,1.0000
Least Flycatcher,1,60,0.6333,0.6667,0.6333,0.6496,0.8667
Calliope Hummingbird,2,89,0.6404,0.7365,0.6507,0.6898,0.9101
Hooded Oriole,2,78,0.6410,0.7607,0.6159,0.6726,0.9487
Vaux's Swift,1,28,0.6429,0.4286,0.6429,0.5143,0.9643
Pine Warbler,1,48,0.6458,0.7750,0.6458,0.7045,0.8958
Brown-capped Rosy-Finch,1,34,0.6471,0.7857,0.6471,0.7097,0.9412
Cassin's Kingbird,1,35,0.6571,0.6970,0.6571,0.6765,0.9714
Black-legged Kittiwake,2,42,0.6667,0.6473,0.6590,0.6476,0.9762
Golden-fronted Woodpecker,1,33,0.6667,0.8800,0.6667,0.7586,0.9394
Red-shouldered Hawk,2,76,0.6711,0.6316,0.6711,0.6499,0.8947
MacGillivray's Warbler,1,46,0.6739,0.7381,0.6739,0.7045,0.9783
Northern Harrier,2,120,0.6750,0.8122,0.6750,0.7093,0.7667
Black-tailed Gnatcatcher,1,22,0.6818,0.6250,0.6818,0.6522,0.9091
Herring Gull,2,101,0.6832,0.6391,0.6778,0.6578,0.9505
Pelagic Cormorant,1,26,0.6923,0.7200,0.6923,0.7059,0.9231
White-tailed Kite,1,13,0.6923,0.6429,0.6923,0.6667,1.0000
Florida Scrub-Jay,1,26,0.6923,0.7200,0.6923,0.7059,1.0000
Eastern Wood-Pewee,1,49,0.6939,0.4304,0.6939,0.5312,0.9796
Cape May Warbler,1,60,0.7000,0.8750,0.7000,0.7778,0.9000
Great-tailed Grackle,1,60,0.7000,0.6562,0.7000,0.6774,0.9333
Eastern Screech-Owl,1,50,0.7000,0.6364,0.7000,0.6667,1.0000
Lesser Yellowlegs,1,60,0.7000,0.6000,0.7000,0.6462,1.0000
Pacific Loon,2,47,0.7021,0.7667,0.7213,0.7402,0.9149
Pygmy Nuthatch,1,38,0.7105,0.8438,0.7105,0.7714,0.9211
Red Crossbill,2,59,0.7119,0.7371,0.7288,0.7296,0.8644
Peregrine Falcon,2,77,0.7143,0.6757,0.6925,0.6839,0.9091
Brewer's Sparrow,1,35,0.7143,0.7812,0.7143,0.7463,0.9429
Prairie Falcon,1,42,0.7143,0.7692,0.7143,0.7407,0.9286
Western Grebe,1,42,0.7143,0.7895,0.7143,0.7500,0.9762
Hutton's Vireo,1,39,0.7179,0.6829,0.7179,0.7000,0.9487
Black-billed Cuckoo,1,32,0.7188,0.7188,0.7188,0.7188,1.0000
White-winged Scoter,2,57,0.7193,0.7473,0.7167,0.7267,0.9298
Lesser Scaup,2,79,0.7215,0.5177,0.7266,0.5975,0.9494
Merlin,1,58,0.7241,0.8936,0.7241,0.8000,0.8621
