true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,26,False,True
Great-tailed Grackle,Boat-tailed Grackle,21,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,21,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),20,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",20,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),20,False,True
Chihuahuan Raven,Common Raven,17,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),17,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),16,False,True
Chimney Swift,Vaux's Swift,16,False,True
Mourning Warbler,MacGillivray's Warbler,16,False,True
Pacific Wren,Winter Wren,16,False,True
Eastern Meadowlark,Western Meadowlark,15,False,True
Western Wood-Pewee,Eastern Wood-Pewee,15,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,15,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",15,False,True
Western Screech-Owl,Eastern Screech-Owl,14,False,True
Common Tern,Forster's Tern,13,False,True
Cassin's Vireo,Blue-headed Vireo,13,False,True
Eastern Screech-Owl,Western Screech-Owl,13,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",13,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),13,False,True
Downy Woodpecker,Hairy Woodpecker,13,False,True
Northern Harrier (Adult male),"Northern Harrier (Female, immature)",12,True,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),12,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),12,False,True
Lesser Yellowlegs,Greater Yellowlegs,11,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),11,False,True
European Starling (Breeding Adult),European Starling (Nonbreeding Adult),11,True,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",11,False,True
Cave Swallow,Cliff Swallow,11,False,True
Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow (Sooty),10,True,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),10,False,True
Western Sandpiper,Semipalmated Sandpiper,10,False,True
Northwestern Crow,American Crow,10,False,True
Hoary Redpoll,Common Redpoll,10,False,True
Tundra Swan,Trumpeter Swan,10,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),10,True,True
Black-crested Titmouse,Tufted Titmouse,10,False,True
Western Grebe,Clark's Grebe,9,False,True
Boat-tailed Grackle,Great-tailed Grackle,9,False,True
Black Guillemot (Breeding),Pigeon Guillemot (Breeding),9,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),9,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),9,True,True
Swainson's Hawk (Light morph ),Swainson's Hawk (Dark morph ),9,True,True
Red-tailed Hawk (Dark morph),Rough-legged Hawk (Dark morph),9,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),9,False,True
Bank Swallow,Northern Rough-winged Swallow,9,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),9,True,True
Boreal Chickadee,Chestnut-backed Chickadee,9,False,True
Hairy Woodpecker,Downy Woodpecker,9,False,True
Mexican Jay,Western Scrub-Jay,9,False,True
Ladder-backed Woodpecker,Nuttall's Woodpecker,9,False,True
"Anna's Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",8,False,True
Canyon Towhee,California Towhee,8,False,True
American Crow,Fish Crow,8,False,True
American Crow,Common Raven,8,False,True
Glaucous-winged Gull (Adult),Herring Gull (Adult),8,False,True
Fish Crow,American Crow,8,False,True
Snow Goose (White morph),Ross's Goose,8,False,True
