class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,0,8,1.0000,0.1111,0.2000,0.1111,0.8889,Dark-eyed Junco (Slate-colored) (6)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,3,1,22,0.7500,0.1200,0.2069,0.1200,1.0000,Common Goldeneye (Female/Eclipse male) (20)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,2,0,14,1.0000,0.1250,0.2222,0.1250,0.8125,Fox Sparrow (Sooty) (10)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,5,12,22,0.2941,0.1852,0.2273,0.1852,0.8889,Common Raven (17)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,5,12,21,0.2941,0.1923,0.2326,0.1923,0.6923,Herring Gull (Immature) (5)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,7,7,34,0.5000,0.1707,0.2545,0.1707,0.8780,"Rufous Hummingbird (Female, immature) (15)"
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,5,3,25,0.6250,0.1667,0.2632,0.1667,0.6667,Lesser Scaup (Female/Eclipse male) (20)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,5,9,14,0.3571,0.2632,0.3030,0.2632,0.9474,American Crow (10)
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,4,1,16,0.8000,0.2000,0.3200,0.2000,0.8000,Blue-winged Teal (Female/juvenile) (5)
344,Fish Crow,Fish Crow,Perching Birds,30,10,19,20,0.3448,0.3333,0.3390,0.3333,0.8667,American Crow (8)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,7,10,17,0.4118,0.2917,0.3415,0.2917,0.7917,Double-crested Cormorant (Immature) (10)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,5,3,16,0.6250,0.2381,0.3448,0.2381,0.8095,"Black-chinned Hummingbird (Female, immature) (6)"
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,8,13,17,0.3810,0.3200,0.3478,0.3200,0.8000,Ring-billed Gull (Immature) (6)
377,Pacific Wren,Pacific Wren,Perching Birds,21,5,2,16,0.7143,0.2381,0.3571,0.2381,0.7619,Winter Wren (16)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,12,19,24,0.3871,0.3333,0.3582,0.3333,0.8333,Blue-headed Vireo (13)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,13,20,16,0.3939,0.4483,0.4194,0.4483,0.8621,"Calliope Hummingbird (Female, immature) (11)"
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,28,45,31,0.3836,0.4746,0.4242,0.4746,0.8644,"Ruby-throated Hummingbird (Female, immature) (13)"
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,10,8,17,0.5556,0.3704,0.4444,0.3704,0.9259,Common Loon (Nonbreeding/juvenile) (9)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,12,17,12,0.4138,0.5000,0.4528,0.5000,0.9583,Red-tailed Hawk (Dark morph) (4)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,18,30,13,0.3750,0.5806,0.4557,0.5806,0.9677,Pacific-slope Flycatcher (6)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,15,22,13,0.4054,0.5357,0.4615,0.5357,0.8929,Chimney Swift (6)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,17,15,24,0.5312,0.4146,0.4658,0.4146,0.9268,Ring-billed Gull (Adult) (7)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,11,12,13,0.4783,0.4583,0.4681,0.4583,0.7500,Red-tailed Hawk (Light morph immature) (4)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,15,19,15,0.4412,0.5000,0.4688,0.5000,0.8000,Swainson's Hawk (Light morph ) (6)
281,"Rufous Hummingbird (Female, immature)",Rufous Hummingbird,Swifts and Hummingbirds,37,18,19,19,0.4865,0.4865,0.4865,0.4865,0.9459,"Calliope Hummingbird (Female, immature) (7)"
186,Chimney Swift,Chimney Swift,Swifts and Hummingbirds,33,14,10,19,0.5833,0.4242,0.4912,0.4242,0.9394,Vaux's Swift (16)
261,Red-shouldered Hawk (Immature),Red-shouldered Hawk,"Hawks, Kites, Eagles, and Allies",38,20,22,18,0.4762,0.5263,0.5000,0.5263,0.8947,Red-shouldered Hawk (Adult ) (6)
351,Bank Swallow,Bank Swallow,Perching Birds,27,10,2,17,0.8333,0.3704,0.5128,0.3704,0.7778,Northern Rough-winged Swallow (9)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,9,6,11,0.6000,0.4500,0.5143,0.4500,1.0000,Pigeon Guillemot (Breeding) (9)
96,Cackling Goose,Cackling Goose,"Ducks, Geese, and Swans",14,6,3,8,0.6667,0.4286,0.5217,0.4286,1.0000,Canada Goose (8)
501,American Crow,American Crow,Perching Birds,57,30,28,27,0.5172,0.5263,0.5217,0.5263,0.9123,Fish Crow (8)
202,"Black Guillemot (Nonbreeding, juvenile)",Black Guillemot,Skuas and Alcids,12,5,2,7,0.7143,0.4167,0.5263,0.4167,0.8333,"Pigeon Guillemot (Nonbreeding, juvenile) (4)"
275,"Ruby-throated Hummingbird (Female, immature)",Ruby-throated Hummingbird,Swifts and Hummingbirds,60,33,31,27,0.5156,0.5500,0.5323,0.5500,0.9833,"Black-chinned Hummingbird (Female, immature) (20)"
527,Lazuli Bunting (Female/juvenile),Lazuli Bunting,Perching Birds,22,11,8,11,0.5789,0.5000,0.5366,0.5000,0.9091,Indigo Bunting (Female/juvenile) (5)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,16,13,14,0.5517,0.5333,0.5424,0.5333,0.8667,Rough-legged Hawk (Dark morph) (9)
18,Greater Scaup (Breeding male),Greater Scaup,"Ducks, Geese, and Swans",43,18,5,25,0.7826,0.4186,0.5455,0.4186,0.8140,Lesser Scaup (Breeding male) (17)
41,Great Cormorant (Adult),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",40,18,7,22,0.7200,0.4500,0.5538,0.4500,0.8500,Double-crested Cormorant (Immature) (5)
33,Red-throated Loon (Breeding),Red-throated Loon,Loons,12,7,6,5,0.5385,0.5833,0.5600,0.5833,0.9167,Pacific Loon (Nonbreeding/juvenile) (2)
262,Broad-winged Hawk (Immature),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",29,13,4,16,0.7647,0.4483,0.5652,0.4483,0.8966,Red-shouldered Hawk (Immature) (6)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,32,32,16,0.5000,0.6667,0.5714,0.6667,0.9792,"Broad-tailed Hummingbird (Female, immature) (6)"
274,"Broad-billed Hummingbird (Female, immature)",Broad-billed Hummingbird,Swifts and Hummingbirds,22,10,3,12,0.7692,0.4545,0.5714,0.4545,0.9545,Broad-billed Hummingbird (Adult Male) (4)
535,Hooded Oriole (Female/Immature male),Hooded Oriole,Perching Birds,35,17,7,18,0.7083,0.4857,0.5763,0.4857,0.9143,Orchard Oriole (Female/Juvenile) (8)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,26,15,23,0.6341,0.5306,0.5778,0.5306,0.8571,Eastern Wood-Pewee (15)
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,11,5,11,0.6875,0.5000,0.5789,0.5000,0.9545,Herring Gull (Immature) (7)
353,Cave Swallow,Cave Swallow,Perching Birds,34,14,0,20,1.0000,0.4118,0.5833,0.4118,0.8235,Cliff Swallow (11)
266,Peregrine Falcon (Immature),Peregrine Falcon,Caracaras and Falcons,31,17,10,14,0.6296,0.5484,0.5862,0.5484,0.8710,Peregrine Falcon (Adult) (8)
177,Western Screech-Owl,Western Screech-Owl,Owls,34,20,14,14,0.5882,0.5882,0.5882,0.5882,1.0000,Eastern Screech-Owl (14)
356,Black-capped Chickadee,Black-capped Chickadee,Perching Birds,60,30,12,30,0.7143,0.5000,0.5882,0.5000,0.9333,Carolina Chickadee (26)
414,Mourning Warbler,Mourning Warbler,Perching Birds,52,24,4,28,0.8571,0.4615,0.6000,0.4615,0.8462,MacGillivray's Warbler (16)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,21,11,17,0.6562,0.5526,0.6000,0.5526,0.9211,Double-crested Cormorant (Immature) (8)
71,Rufous Hummingbird (Adult Male),Rufous Hummingbird,Swifts and Hummingbirds,50,30,19,20,0.6122,0.6000,0.6061,0.6000,1.0000,Allen's Hummingbird (Adult Male) (16)
136,Swainson's Hawk (Light morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",39,24,16,15,0.6000,0.6154,0.6076,0.6154,1.0000,Swainson's Hawk (Dark morph ) (9)
458,Great-tailed Grackle,Great-tailed Grackle,Perching Birds,60,35,20,25,0.6364,0.5833,0.6087,0.5833,0.9833,Boat-tailed Grackle (21)
470,Pacific-slope Flycatcher,Pacific-slope Flycatcher,Perching Birds,59,31,11,28,0.7381,0.5254,0.6139,0.5254,0.9153,Cordilleran Flycatcher (15)
229,Lesser Scaup (Female/Eclipse male),Lesser Scaup,"Ducks, Geese, and Swans",35,28,28,7,0.5000,0.8000,0.6154,0.8000,0.9714,Redhead (Female/Eclipse male) (2)
210,Herring Gull (Immature),Herring Gull,"Gulls, Terns, and Allies",44,29,21,15,0.5800,0.6591,0.6170,0.6591,0.9318,Western Gull (Immature) (6)
267,Purple Gallinule (Immature),Purple Gallinule,Cranes and Rails,11,5,0,6,1.0000,0.4545,0.6250,0.4545,0.9091,Purple Gallinule (Adult) (4)
457,Boat-tailed Grackle,Boat-tailed Grackle,Perching Birds,60,42,32,18,0.5676,0.7000,0.6269,0.7000,0.9500,Great-tailed Grackle (9)
553,Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler,Perching Birds,44,28,17,16,0.6222,0.6364,0.6292,0.6364,1.0000,Yellow-rumped Warbler (Breeding Audubon's) (10)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,13,5,10,0.7222,0.5652,0.6341,0.5652,0.8696,Ring-billed Gull (Adult) (3)
346,Common Raven,Common Raven,Perching Birds,57,42,33,15,0.5600,0.7368,0.6364,0.7368,0.9298,American Crow (5)
259,Sharp-shinned Hawk (Immature),Sharp-shinned Hawk,"Hawks, Kites, Eagles, and Allies",58,34,14,24,0.7083,0.5862,0.6415,0.5862,0.9828,Cooper's Hawk (Immature) (12)
469,Least Flycatcher,Least Flycatcher,Perching Birds,60,35,13,25,0.7292,0.5833,0.6481,0.5833,0.9500,Cordilleran Flycatcher (8)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,17,9,9,0.6538,0.6538,0.6538,0.6538,0.8846,Baltimore Oriole (Female/Immature male) (3)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,19,4,16,0.8261,0.5429,0.6552,0.5429,0.8571,Laughing Gull (Nonbreeding/Immature) (3)
195,Red-naped Sapsucker,Red-naped Sapsucker,Woodpeckers,54,29,5,25,0.8529,0.5370,0.6591,0.5370,0.9815,Yellow-bellied Sapsucker (21)
528,Indigo Bunting (Female/juvenile),Indigo Bunting,Perching Birds,39,31,24,8,0.5636,0.7949,0.6596,0.7949,0.9744,Blue Grosbeak (Female/juvenile) (2)
48,Northern Harrier (Adult male),Northern Harrier,"Hawks, Kites, Eagles, and Allies",60,31,3,29,0.9118,0.5167,0.6596,0.5167,0.8167,"Northern Harrier (Female, immature) (12)"
533,Brewer's Blackbird (Male),Brewer's Blackbird,Perching Birds,60,33,7,27,0.8250,0.5500,0.6600,0.5500,0.8833,Boat-tailed Grackle (7)
484,Bell's Vireo,Bell's Vireo,Perching Birds,29,15,1,14,0.9375,0.5172,0.6667,0.5172,0.9310,Cassin's Vireo (4)
362,Juniper Titmouse,Juniper Titmouse,Perching Birds,25,14,3,11,0.8235,0.5600,0.6667,0.5600,1.0000,Oak Titmouse (8)
217,Gadwall (Female/Eclipse male),Gadwall,"Ducks, Geese, and Swans",19,13,7,6,0.6500,0.6842,0.6667,0.6842,1.0000,Mottled Duck (1)
19,Lesser Scaup (Breeding male),Lesser Scaup,"Ducks, Geese, and Swans",44,34,24,10,0.5862,0.7727,0.6667,0.7727,0.9545,Ring-necked Duck (Breeding male) (4)
220,Blue-winged Teal (Female/juvenile),Blue-winged Teal,"Ducks, Geese, and Swans",17,13,9,4,0.5909,0.7647,0.6667,0.7647,0.9412,Northern Pintail (Female/Eclipse male) (3)
486,Plumbeous Vireo,Plumbeous Vireo,Perching Birds,41,25,8,16,0.7576,0.6098,0.6757,0.6098,0.9024,Cassin's Vireo (7)
49,Sharp-shinned Hawk (Adult ),Sharp-shinned Hawk,"Hawks, Kites, Eagles, and Allies",58,42,24,16,0.6364,0.7241,0.6774,0.7241,0.9655,Cooper's Hawk (Adult) (11)
52,Broad-winged Hawk (Adult),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",26,19,11,7,0.6333,0.7308,0.6786,0.7308,0.9615,Red-shouldered Hawk (Immature) (3)
465,Hoary Redpoll,Hoary Redpoll,Perching Birds,29,17,4,12,0.8095,0.5862,0.6800,0.5862,1.0000,Common Redpoll (10)
5,Snow Goose (White morph),Snow Goose,"Ducks, Geese, and Swans",26,17,7,9,0.7083,0.6538,0.6800,0.6538,0.9615,Ross's Goose (8)
