order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6590,0.6582,0.6323,0.6319,0.9494
"Hawks, Kites, Eagles, and Allies",29,1260,0.7429,0.7379,0.7250,0.7250,0.9421
Skuas and Alcids,4,91,0.7473,0.6933,0.6694,0.6639,0.9560
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7568,0.7320,0.7048,0.7070,0.9435
"Gulls, Terns, and Allies",26,1038,0.7601,0.7364,0.7286,0.7276,0.9528
Loons,6,226,0.7876,0.7421,0.7361,0.7340,0.9602
Caracaras and Falcons,7,346,0.8468,0.8482,0.8251,0.8351,0.9566
Woodpeckers,16,843,0.8624,0.8684,0.8576,0.8578,0.9881
Grebes,9,375,0.8640,0.8691,0.8536,0.8567,0.9680
"Ducks, Geese, and Swans",70,2420,0.8640,0.8562,0.8345,0.8322,0.9736
Perching Birds,265,12539,0.8679,0.8640,0.8446,0.8465,0.9733
Cuckoos,3,113,0.8938,0.8879,0.8916,0.8896,1.0000
Owls,9,426,0.8944,0.8974,0.8850,0.8906,0.9836
Cranes and Rails,6,200,0.9150,0.8927,0.8496,0.8507,0.9850
"Pelicans, Herons, Ibises, and Allies",21,983,0.9196,0.9227,0.9063,0.9127,0.9878
Pigeons and Doves,7,359,0.9276,0.9396,0.9247,0.9319,0.9833
"Plovers, Sandpipers, and Allies",32,1573,0.9345,0.9339,0.9316,0.9314,0.9905
Nightjars,1,39,0.9487,0.9737,0.9487,0.9610,0.9744
"Grouse, Quail, and Allies",10,342,0.9620,0.9674,0.9451,0.9546,0.9795
Storks,1,56,0.9643,0.9310,0.9643,0.9474,0.9821
Kingfishers and Allies,1,60,0.9667,0.9831,0.9667,0.9748,0.9833
Parrots,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
