species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.1852,0.2941,0.1852,0.2273,0.8889
Pacific Wren,1,21,0.2381,0.7143,0.2381,0.3571,0.7619
Northwestern Crow,1,19,0.2632,0.3571,0.2632,0.3030,0.9474
Greater Scaup,2,73,0.3151,0.7038,0.2926,0.4043,0.7534
Fish Crow,1,30,0.3333,0.3448,0.3333,0.3390,0.8667
Cassin's Vireo,1,36,0.3333,0.3871,0.3333,0.3582,0.8333
Bank Swallow,1,27,0.3704,0.8333,0.3704,0.5128,0.7778
California Gull,2,66,0.3788,0.4561,0.3673,0.4068,0.8788
Great Cormorant,2,64,0.3906,0.5659,0.3708,0.4477,0.8281
Cave Swallow,1,34,0.4118,1.0000,0.4118,0.5833,0.8235
Chimney Swift,1,33,0.4242,0.5833,0.4242,0.4912,0.9394
Cackling Goose,1,14,0.4286,0.6667,0.4286,0.5217,1.0000
Black Guillemot,2,32,0.4375,0.6571,0.4333,0.5203,0.9375
Mourning Warbler,1,52,0.4615,0.8571,0.4615,0.6000,0.8462
Barrow's Goldeneye,2,60,0.4667,0.8750,0.4171,0.5201,1.0000
Black-capped Chickadee,1,60,0.5000,0.7143,0.5000,0.5882,0.9333
Bell's Vireo,1,29,0.5172,0.9375,0.5172,0.6667,0.9310
Pacific-slope Flycatcher,1,59,0.5254,0.7381,0.5254,0.6139,0.9153
American Crow,1,57,0.5263,0.5172,0.5263,0.5217,0.9123
Western Wood-Pewee,1,49,0.5306,0.6341,0.5306,0.5778,0.8571
Allen's Hummingbird,2,101,0.5347,0.6007,0.4770,0.4974,0.9505
Vaux's Swift,1,28,0.5357,0.4054,0.5357,0.4615,0.8929
Red-naped Sapsucker,1,54,0.5370,0.8529,0.5370,0.6591,0.9815
Swainson's Hawk,3,93,0.5376,0.5065,0.5246,0.5148,0.8710
Black Tern,1,35,0.5429,0.8261,0.5429,0.6552,0.8571
Boreal Chickadee,1,42,0.5476,1.0000,0.5476,0.7077,0.8810
Rufous Hummingbird,2,87,0.5517,0.5494,0.5432,0.5463,0.9770
Neotropic Cormorant,1,38,0.5526,0.6562,0.5526,0.6000,0.9211
Western Gull,2,59,0.5593,0.5359,0.5204,0.5221,0.8644
Juniper Titmouse,1,25,0.5600,0.8235,0.5600,0.6667,1.0000
Mew Gull,1,23,0.5652,0.7222,0.5652,0.6341,0.8696
Cordilleran Flycatcher,1,31,0.5806,0.3750,0.5806,0.4557,0.9677
Broad-winged Hawk,2,55,0.5818,0.6990,0.5895,0.6219,0.9273
Least Flycatcher,1,60,0.5833,0.7292,0.5833,0.6481,0.9500
Great-tailed Grackle,1,60,0.5833,0.6364,0.5833,0.6087,0.9833
Hoary Redpoll,1,29,0.5862,0.8095,0.5862,0.6800,1.0000
Western Screech-Owl,1,34,0.5882,0.5882,0.5882,0.5882,1.0000
Pacific Loon,2,47,0.5957,0.7278,0.6352,0.6722,0.9574
Glaucous-winged Gull,2,60,0.6000,0.7470,0.5789,0.6518,0.9667
Rusty Blackbird,1,48,0.6042,0.8286,0.6042,0.6988,0.8958
Brandt's Cormorant,1,33,0.6061,0.8696,0.6061,0.7143,0.8788
Plumbeous Vireo,1,41,0.6098,0.7576,0.6098,0.6757,0.9024
Black-chinned Hummingbird,2,109,0.6239,0.5839,0.6373,0.6082,0.9083
Eastern Meadowlark,1,40,0.6250,0.8333,0.6250,0.7143,1.0000
Brewer's Blackbird,2,91,0.6264,0.8263,0.6621,0.7300,0.9011
Red-shouldered Hawk,2,76,0.6316,0.6165,0.6316,0.6233,0.9211
Black-crested Titmouse,1,33,0.6364,0.8400,0.6364,0.7241,1.0000
Costa's Hummingbird,2,58,0.6379,0.6458,0.5515,0.5489,0.9138
Mississippi Kite,1,50,0.6400,0.8421,0.6400,0.7273,0.9000
Tundra Swan,1,28,0.6429,0.7500,0.6429,0.6923,0.9643
Brown-capped Rosy-Finch,1,34,0.6471,0.8462,0.6471,0.7333,0.9706
Mexican Jay,1,26,0.6538,0.8947,0.6538,0.7556,1.0000
Sharp-shinned Hawk,2,116,0.6552,0.6723,0.6552,0.6595,0.9741
Broad-tailed Hummingbird,2,73,0.6575,0.6457,0.6219,0.6314,0.9041
Black-tailed Gnatcatcher,1,22,0.6818,0.7143,0.6818,0.6977,0.9545
Common Tern,1,60,0.6833,0.8039,0.6833,0.7387,0.9333
Ruby-throated Hummingbird,2,114,0.6842,0.6525,0.6917,0.6715,0.9737
Red-tailed Hawk,3,150,0.7000,0.7072,0.6722,0.6876,0.9200
Boat-tailed Grackle,1,60,0.7000,0.5676,0.7000,0.6269,0.9500
Trumpeter Swan,1,37,0.7027,0.6667,0.7027,0.6842,1.0000
Rough-legged Hawk,2,64,0.7031,0.5736,0.6625,0.6147,0.9844
Western Sandpiper,1,51,0.7059,0.8571,0.7059,0.7742,0.9804
Red Crossbill,2,59,0.7119,0.7927,0.7288,0.7560,0.9322
Hooded Oriole,2,78,0.7179,0.8077,0.6963,0.7416,0.9615
Calliope Hummingbird,2,89,0.7191,0.7071,0.7236,0.7068,0.9663
Snow Goose,2,54,0.7222,0.8125,0.7198,0.7631,0.9630
Bay-breasted Warbler,2,62,0.7258,0.8368,0.7173,0.7648,0.9194
Cooper's Hawk,2,117,0.7265,0.6913,0.7268,0.7086,0.9658
Peregrine Falcon,2,77,0.7273,0.6972,0.6981,0.6952,0.9221
Northern Harrier,2,120,0.7333,0.8166,0.7333,0.7399,0.9000
Cape May Warbler,1,60,0.7333,0.8980,0.7333,0.8073,0.8833
Downy Woodpecker,1,60,0.7333,0.8000,0.7333,0.7652,0.9833
Golden Eagle,2,72,0.7361,0.7464,0.7214,0.7241,0.9306
Common Raven,1,57,0.7368,0.5600,0.7368,0.6364,0.9298
Western Grebe,1,42,0.7381,0.9688,0.7381,0.8378,1.0000
Eastern Screech-Owl,1,50,0.7400,0.6981,0.7400,0.7184,1.0000
Ladder-backed Woodpecker,1,50,0.7400,0.8409,0.7400,0.7872,1.0000
White-winged Scoter,2,57,0.7544,0.8189,0.7519,0.7812,0.9123
Anna's Hummingbird,2,106,0.7547,0.7843,0.7539,0.7674,0.9811
Eastern Wood-Pewee,1,49,0.7551,0.6271,0.7551,0.6852,0.9388
Violet-green Swallow,1,37,0.7568,0.8750,0.7568,0.8116,0.8919
Canyon Towhee,1,46,0.7609,0.7778,0.7609,0.7692,0.9783
Pygmy Nuthatch,1,38,0.7632,0.7436,0.7632,0.7532,0.9474
White-faced Ibis,1,34,0.7647,0.7879,0.7647,0.7761,1.0000
Lesser Yellowlegs,1,60,0.7667,0.7931,0.7667,0.7797,1.0000
Pelagic Cormorant,1,26,0.7692,0.6667,0.7692,0.7143,1.0000
Florida Scrub-Jay,1,26,0.7692,0.8333,0.7692,0.8000,1.0000
Yellow-rumped Warbler,4,214,0.7710,0.7577,0.7613,0.7595,0.9907
Brewer's Sparrow,1,35,0.7714,0.7714,0.7714,0.7714,0.9714
Herring Gull,2,101,0.7723,0.6167,0.7594,0.6797,0.9703
Cinnamon Teal,2,75,0.7733,0.8737,0.5909,0.6421,0.9467
Caspian Tern,1,49,0.7755,0.7755,0.7755,0.7755,1.0000
Merlin,1,58,0.7759,0.8036,0.7759,0.7895,0.9310
