class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,1,9,26,0.1000,0.0370,0.0541,0.0370,0.8148,Common Raven (19)
377,Pacific Wren,Pacific Wren,Perching Birds,21,2,0,19,1.0000,0.0952,0.1739,0.0952,0.8095,Winter Wren (18)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,4,3,26,0.5714,0.1333,0.2162,0.1333,0.7333,Lesser Scaup (Female/Eclipse male) (18)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,5,14,21,0.2632,0.1923,0.2222,0.1923,0.7308,Herring Gull (Immature) (9)
351,Bank Swallow,Bank Swallow,Perching Birds,27,4,1,23,0.8000,0.1481,0.2500,0.1481,0.7407,Northern Rough-winged Swallow (10)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,9,4,32,0.6923,0.2195,0.3333,0.2195,0.8780,"Rufous Hummingbird (Female, immature) (19)"
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,5,4,15,0.5556,0.2500,0.3448,0.2500,0.8000,Blue-winged Teal (Female/juvenile) (6)
344,Fish Crow,Fish Crow,Perching Birds,30,12,27,18,0.3077,0.4000,0.3478,0.4000,0.9333,American Crow (7)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,6,9,13,0.4000,0.3158,0.3529,0.3158,0.9474,American Crow (9)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,9,17,16,0.3462,0.3600,0.3529,0.3600,0.8400,Ring-billed Gull (Immature) (5)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,11,15,25,0.4231,0.3056,0.3548,0.3056,0.8889,Blue-headed Vireo (12)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,2,0,7,1.0000,0.2222,0.3636,0.2222,0.8889,Dark-eyed Junco (Slate-colored) (6)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,6,0,19,1.0000,0.2400,0.3871,0.2400,1.0000,Common Goldeneye (Female/Eclipse male) (18)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,7,5,17,0.5833,0.2917,0.3889,0.2917,0.8750,Double-crested Cormorant (Immature) (10)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,4,0,12,1.0000,0.2500,0.4000,0.2500,0.8750,Fox Sparrow (Sooty) (10)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,14,23,15,0.3784,0.4828,0.4242,0.4828,0.8621,"Calliope Hummingbird (Female, immature) (10)"
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,9,9,15,0.5000,0.3750,0.4286,0.3750,0.7083,Red-tailed Hawk (Light morph immature) (7)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,26,36,33,0.4194,0.4407,0.4298,0.4407,0.8305,"Ruby-throated Hummingbird (Female, immature) (11)"
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,8,8,13,0.5000,0.3810,0.4324,0.3810,0.8571,"Black-chinned Hummingbird (Female, immature) (6)"
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,14,19,16,0.4242,0.4667,0.4444,0.4667,0.9000,Swainson's Hawk (Light morph ) (6)
501,American Crow,American Crow,Perching Birds,57,23,21,34,0.5227,0.4035,0.4554,0.4035,0.8947,Fish Crow (14)
18,Greater Scaup (Breeding male),Greater Scaup,"Ducks, Geese, and Swans",43,17,12,26,0.5862,0.3953,0.4722,0.3953,0.9070,Lesser Scaup (Breeding male) (18)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,13,14,15,0.4815,0.4643,0.4727,0.4643,0.9286,Chimney Swift (12)
353,Cave Swallow,Cave Swallow,Perching Birds,34,14,10,20,0.5833,0.4118,0.4828,0.4118,0.8529,Cliff Swallow (8)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,21,34,10,0.3818,0.6774,0.4884,0.6774,0.9677,Pacific-slope Flycatcher (4)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,11,7,16,0.6111,0.4074,0.4889,0.4074,0.9259,Common Loon (Nonbreeding/juvenile) (8)
281,"Rufous Hummingbird (Female, immature)",Rufous Hummingbird,Swifts and Hummingbirds,37,21,25,16,0.4565,0.5676,0.5060,0.5676,0.9730,"Calliope Hummingbird (Female, immature) (8)"
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,10,6,13,0.6250,0.4348,0.5128,0.4348,0.8696,Herring Gull (Adult) (4)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,18,11,23,0.6207,0.4390,0.5143,0.4390,0.9024,Ring-billed Gull (Adult) (7)
261,Red-shouldered Hawk (Immature),Red-shouldered Hawk,"Hawks, Kites, Eagles, and Allies",38,23,27,15,0.4600,0.6053,0.5227,0.6053,0.9211,Red-shouldered Hawk (Adult ) (6)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,13,8,15,0.6190,0.4643,0.5306,0.4643,1.0000,Trumpeter Swan (15)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,25,20,24,0.5556,0.5102,0.5319,0.5102,0.8776,Eastern Wood-Pewee (18)
414,Mourning Warbler,Mourning Warbler,Perching Birds,52,23,11,29,0.6765,0.4423,0.5349,0.4423,0.7308,MacGillivray's Warbler (16)
210,Herring Gull (Immature),Herring Gull,"Gulls, Terns, and Allies",44,24,21,20,0.5333,0.5455,0.5393,0.5455,0.9318,California Gull (Immature) (8)
262,Broad-winged Hawk (Immature),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",29,13,6,16,0.6842,0.4483,0.5417,0.4483,0.8276,Red-shouldered Hawk (Immature) (6)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,17,15,13,0.5312,0.5667,0.5484,0.5667,1.0000,Rough-legged Hawk (Dark morph) (5)
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,10,4,12,0.7143,0.4545,0.5556,0.4545,0.9545,Western Gull (Immature) (6)
275,"Ruby-throated Hummingbird (Female, immature)",Ruby-throated Hummingbird,Swifts and Hummingbirds,60,32,23,28,0.5818,0.5333,0.5565,0.5333,0.9667,"Black-chinned Hummingbird (Female, immature) (17)"
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,31,32,17,0.4921,0.6458,0.5586,0.6458,1.0000,"Broad-tailed Hummingbird (Female, immature) (10)"
41,Great Cormorant (Adult),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",40,21,14,19,0.6000,0.5250,0.5600,0.5250,0.8500,Double-crested Cormorant (Adult) (8)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,14,12,10,0.5385,0.5833,0.5600,0.5833,0.9167,Red-tailed Hawk (Dark morph) (5)
202,"Black Guillemot (Nonbreeding, juvenile)",Black Guillemot,Skuas and Alcids,12,7,6,5,0.5385,0.5833,0.5600,0.5833,0.8333,"Pigeon Guillemot (Nonbreeding, juvenile) (2)"
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,18,20,8,0.4737,0.6923,0.5625,0.6923,1.0000,Yellow Warbler (2)
362,Juniper Titmouse,Juniper Titmouse,Perching Birds,25,11,3,14,0.7857,0.4400,0.5641,0.4400,0.9600,Oak Titmouse (10)
458,Great-tailed Grackle,Great-tailed Grackle,Perching Birds,60,33,24,27,0.5789,0.5500,0.5641,0.5500,0.9500,Boat-tailed Grackle (23)
177,Western Screech-Owl,Western Screech-Owl,Owls,34,18,11,16,0.6207,0.5294,0.5714,0.5294,1.0000,Eastern Screech-Owl (14)
535,Hooded Oriole (Female/Immature male),Hooded Oriole,Perching Birds,35,18,10,17,0.6429,0.5143,0.5714,0.5143,0.9714,Orchard Oriole (Female/Juvenile) (10)
553,Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler,Perching Birds,44,28,24,16,0.5385,0.6364,0.5833,0.6364,0.9773,Yellow-rumped Warbler (Breeding Audubon's) (11)
19,Lesser Scaup (Breeding male),Lesser Scaup,"Ducks, Geese, and Swans",44,31,29,13,0.5167,0.7045,0.5962,0.7045,1.0000,Greater Scaup (Breeding male) (11)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,21,10,17,0.6774,0.5526,0.6087,0.5526,0.9211,Double-crested Cormorant (Immature) (7)
346,Common Raven,Common Raven,Perching Birds,57,43,41,14,0.5119,0.7544,0.6099,0.7544,0.9649,Fish Crow (4)
