order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6711,0.6616,0.6569,0.6511,0.9527
"Hawks, Kites, Eagles, and Allies",29,1260,0.7444,0.7386,0.7283,0.7262,0.9460
Skuas and Alcids,4,91,0.7582,0.7079,0.7028,0.7033,0.9560
"Gulls, Terns, and Allies",26,1038,0.7601,0.7390,0.7299,0.7293,0.9605
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7715,0.7343,0.7253,0.7149,0.9582
Loons,6,226,0.8053,0.8126,0.7618,0.7806,0.9646
Caracaras and Falcons,7,346,0.8295,0.8481,0.8125,0.8293,0.9451
Woodpeckers,16,843,0.8375,0.8441,0.8342,0.8322,0.9929
Grebes,9,375,0.8560,0.8870,0.8523,0.8642,0.9840
"Ducks, Geese, and Swans",70,2420,0.8587,0.8543,0.8294,0.8300,0.9769
Perching Birds,265,12539,0.8646,0.8605,0.8411,0.8427,0.9742
Cuckoos,3,113,0.8850,0.8536,0.8779,0.8637,0.9912
Owls,9,426,0.8897,0.8856,0.8797,0.8813,0.9789
Cranes and Rails,6,200,0.9050,0.8849,0.8365,0.8475,0.9800
"Pelicans, Herons, Ibises, and Allies",21,983,0.9145,0.9132,0.9084,0.9096,0.9868
Pigeons and Doves,7,359,0.9248,0.9415,0.9217,0.9308,0.9777
"Plovers, Sandpipers, and Allies",32,1573,0.9326,0.9342,0.9280,0.9287,0.9917
Nightjars,1,39,0.9487,0.9737,0.9487,0.9610,0.9487
"Grouse, Quail, and Allies",10,342,0.9561,0.9545,0.9395,0.9457,0.9825
Storks,1,56,0.9643,0.8852,0.9643,0.9231,0.9821
Kingfishers and Allies,1,60,0.9833,0.9833,0.9833,0.9833,0.9833
Parrots,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
