species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0370,0.1000,0.0370,0.0541,0.8148
Pacific Wren,1,21,0.0952,1.0000,0.0952,0.1739,0.8095
Bank Swallow,1,27,0.1481,0.8000,0.1481,0.2500,0.7407
Greater Scaup,2,73,0.2877,0.5788,0.2643,0.3442,0.8356
Cassin's Vireo,1,36,0.3056,0.4231,0.3056,0.3548,0.8889
Northwestern Crow,1,19,0.3158,0.4000,0.3158,0.3529,0.9474
Barrow's Goldeneye,2,60,0.4000,1.0000,0.3771,0.5332,1.0000
Fish Crow,1,30,0.4000,0.3077,0.4000,0.3478,0.9333
American Crow,1,57,0.4035,0.5227,0.4035,0.4554,0.8947
California Gull,2,66,0.4091,0.4834,0.3995,0.4336,0.8788
Cave Swallow,1,34,0.4118,0.5833,0.4118,0.4828,0.8529
Mew Gull,1,23,0.4348,0.6250,0.4348,0.5128,0.8696
Great Cormorant,2,64,0.4375,0.5917,0.4083,0.4744,0.8594
Juniper Titmouse,1,25,0.4400,0.7857,0.4400,0.5641,0.9600
Mourning Warbler,1,52,0.4423,0.6765,0.4423,0.5349,0.7308
Vaux's Swift,1,28,0.4643,0.4815,0.4643,0.4727,0.9286
Tundra Swan,1,28,0.4643,0.6190,0.4643,0.5306,1.0000
Allen's Hummingbird,2,101,0.4851,0.7033,0.4431,0.5115,0.9505
Pacific-slope Flycatcher,1,59,0.4915,0.8056,0.4915,0.6105,0.9492
Western Wood-Pewee,1,49,0.5102,0.5556,0.5102,0.5319,0.8776
Swainson's Hawk,3,93,0.5161,0.5218,0.4942,0.5047,0.8710
Western Screech-Owl,1,34,0.5294,0.6207,0.5294,0.5714,1.0000
Black-capped Chickadee,1,60,0.5333,0.7442,0.5333,0.6214,0.9333
Red-naped Sapsucker,1,54,0.5370,0.7838,0.5370,0.6374,1.0000
Western Gull,2,59,0.5424,0.5286,0.5052,0.5141,0.8814
Broad-winged Hawk,2,55,0.5455,0.6821,0.5511,0.6042,0.8909
Great-tailed Grackle,1,60,0.5500,0.5789,0.5500,0.5641,0.9500
Hoary Redpoll,1,29,0.5517,0.7619,0.5517,0.6400,0.9655
Neotropic Cormorant,1,38,0.5526,0.6774,0.5526,0.6087,0.9211
Brown-capped Rosy-Finch,1,34,0.5588,0.7308,0.5588,0.6333,1.0000
Hairy Woodpecker,1,60,0.5667,0.7083,0.5667,0.6296,1.0000
Cackling Goose,1,14,0.5714,1.0000,0.5714,0.7273,1.0000
Boreal Chickadee,1,42,0.5714,1.0000,0.5714,0.7273,0.8810
Least Flycatcher,1,60,0.5833,0.7447,0.5833,0.6542,0.8500
Brewer's Blackbird,2,91,0.6044,0.7798,0.6220,0.6893,0.8901
Black-crested Titmouse,1,33,0.6061,0.8333,0.6061,0.7018,1.0000
Rufous Hummingbird,2,87,0.6092,0.5301,0.6038,0.5637,0.9885
Black-chinned Hummingbird,2,109,0.6147,0.5824,0.6303,0.6054,0.8991
Mexican Jay,1,26,0.6154,0.8421,0.6154,0.7111,1.0000
Pacific Loon,2,47,0.6170,0.7556,0.6537,0.6944,0.9574
Bell's Vireo,1,29,0.6207,0.8182,0.6207,0.7059,0.8621
Eastern Meadowlark,1,40,0.6250,0.8333,0.6250,0.7143,1.0000
Western Sandpiper,1,51,0.6275,0.8649,0.6275,0.7273,0.9804
Brandt's Cormorant,1,33,0.6364,0.9130,0.6364,0.7500,0.9697
Sharp-shinned Hawk,2,116,0.6379,0.6606,0.6379,0.6490,0.9741
Costa's Hummingbird,2,58,0.6379,0.6528,0.5824,0.6135,0.9310
Herring Gull,2,101,0.6436,0.5870,0.6324,0.6085,0.9703
Ruby-throated Hummingbird,2,114,0.6491,0.6727,0.6556,0.6636,0.9561
Black Guillemot,2,32,0.6562,0.6026,0.6417,0.6215,0.9375
Black Tern,1,35,0.6571,0.7931,0.6571,0.7188,0.9143
Plumbeous Vireo,1,41,0.6585,0.6923,0.6585,0.6750,0.9512
Red Crossbill,2,59,0.6610,0.8291,0.6847,0.7414,0.9153
Common Tern,1,60,0.6667,0.8511,0.6667,0.7477,0.9500
Chimney Swift,1,33,0.6667,0.5946,0.6667,0.6286,1.0000
Rusty Blackbird,1,48,0.6667,0.9143,0.6667,0.7711,0.8542
Red-shouldered Hawk,2,76,0.6711,0.6189,0.6711,0.6397,0.9474
Eastern Wood-Pewee,1,49,0.6735,0.5789,0.6735,0.6226,0.9592
Cordilleran Flycatcher,1,31,0.6774,0.3818,0.6774,0.4884,0.9677
Mississippi Kite,1,50,0.6800,0.7727,0.6800,0.7234,0.9000
Glaucous-winged Gull,2,60,0.6833,0.7650,0.6352,0.6857,0.9833
Broad-tailed Hummingbird,2,73,0.6849,0.6078,0.6505,0.6259,0.9041
Ross's Goose,1,23,0.6957,0.6667,0.6957,0.6809,1.0000
Boat-tailed Grackle,1,60,0.7000,0.5676,0.7000,0.6269,0.9333
Violet-green Swallow,1,37,0.7027,0.8387,0.7027,0.7647,0.8919
Northern Harrier,2,120,0.7167,0.8766,0.7167,0.7415,0.8833
Black-billed Cuckoo,1,32,0.7188,0.7931,0.7188,0.7541,1.0000
Calliope Hummingbird,2,89,0.7191,0.6802,0.7254,0.6970,0.9775
Red-tailed Hawk,3,150,0.7200,0.7254,0.6944,0.7035,0.9600
Golden Eagle,2,72,0.7222,0.7014,0.7095,0.6956,0.9028
Cooper's Hawk,2,117,0.7265,0.6539,0.7268,0.6884,0.9829
Peregrine Falcon,2,77,0.7273,0.7130,0.7086,0.7103,0.9221
Hooded Oriole,2,78,0.7308,0.7970,0.7106,0.7500,0.9872
Florida Scrub-Jay,1,26,0.7308,0.8636,0.7308,0.7917,1.0000
Downy Woodpecker,1,60,0.7333,0.6197,0.7333,0.6718,0.9833
Cliff Swallow,1,30,0.7333,0.6471,0.7333,0.6875,0.9000
MacGillivray's Warbler,1,46,0.7391,0.6800,0.7391,0.7083,1.0000
Cassin's Finch,2,62,0.7419,0.9375,0.7127,0.8071,0.9677
Brewer's Sparrow,1,35,0.7429,0.7647,0.7429,0.7536,0.9429
Cassin's Kingbird,1,35,0.7429,0.8667,0.7429,0.8000,1.0000
