true_class,pred_class,count,same_species,same_order
Red-naped Sapsucker,Yellow-bellied Sapsucker,23,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),23,False,True
Great-tailed Grackle,Boat-tailed Grackle,22,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",21,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),21,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),20,False,True
Black-capped Chickadee,Carolina Chickadee,19,False,True
Chimney Swift,Vaux's Swift,18,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,18,False,True
Western Wood-Pewee,Eastern Wood-Pewee,18,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),16,False,True
Mourning Warbler,MacGillivray's Warbler,16,False,True
Chihuahuan Raven,Common Raven,16,False,True
Pacific Wren,Winter Wren,15,False,True
Cassin's Vireo,Blue-headed Vireo,15,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),15,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),15,False,True
Eastern Meadowlark,Western Meadowlark,14,False,True
Lesser Yellowlegs,Greater Yellowlegs,14,False,True
Western Screech-Owl,Eastern Screech-Owl,14,False,True
Hairy Woodpecker,Downy Woodpecker,14,False,True
Eastern Screech-Owl,Western Screech-Owl,13,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),13,True,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),13,True,True
Common Tern,Forster's Tern,13,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),13,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),13,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",12,False,True
Northern Harrier (Adult male),"Northern Harrier (Female, immature)",12,True,True
Boat-tailed Grackle,Great-tailed Grackle,12,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),12,False,True
American Crow,Fish Crow,12,False,True
Western Sandpiper,Semipalmated Sandpiper,12,False,True
Bank Swallow,Northern Rough-winged Swallow,12,False,True
Downy Woodpecker,Hairy Woodpecker,12,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",11,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),11,True,True
Red-tailed Hawk (Dark morph),Rough-legged Hawk (Dark morph),11,False,True
Carolina Chickadee,Black-capped Chickadee,10,False,True
Boreal Chickadee,Chestnut-backed Chickadee,10,False,True
Cave Swallow,Cliff Swallow,10,False,True
Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow (Sooty),10,True,True
"Anna's Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",10,False,True
Tundra Swan,Trumpeter Swan,10,False,True
European Starling (Breeding Adult),European Starling (Nonbreeding Adult),10,True,True
Golden Eagle (Immature),Golden Eagle (Adult),9,True,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),9,False,True
Eastern Wood-Pewee,Western Wood-Pewee,9,False,True
Swainson's Hawk (Light morph ),Swainson's Hawk (Dark morph ),8,True,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",8,False,True
"Allen's Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",8,False,True
Least Flycatcher,Cordilleran Flycatcher,8,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),8,False,True
American Crow,Common Raven,8,False,True
Mexican Jay,Western Scrub-Jay,8,False,True
Laughing Gull (Nonbreeding/Immature),Laughing Gull (Breeding),8,True,True
Western Grebe,Clark's Grebe,8,False,True
Hermit Thrush,Swainson's Thrush,8,False,True
Common Raven,American Crow,8,False,True
Juniper Titmouse,Oak Titmouse,8,False,True
