class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,1,1,24,0.5000,0.0400,0.0741,0.0400,0.9600,Common Goldeneye (Female/Eclipse male) (23)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,3,6,24,0.3333,0.1111,0.1667,0.1111,0.8889,Common Raven (16)
351,Bank Swallow,Bank Swallow,Perching Birds,27,3,1,24,0.7500,0.1111,0.1935,0.1111,0.7037,Northern Rough-winged Swallow (12)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,0,8,1.0000,0.1111,0.2000,0.1111,0.8889,Dark-eyed Junco (Slate-colored) (5)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,4,3,26,0.5714,0.1333,0.2162,0.1333,0.7333,Lesser Scaup (Female/Eclipse male) (20)
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,3,0,17,1.0000,0.1500,0.2609,0.1500,0.8500,Blue-winged Teal (Female/juvenile) (4)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,8,17,28,0.3200,0.2222,0.2623,0.2222,0.8889,Blue-headed Vireo (15)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,6,11,20,0.3529,0.2308,0.2791,0.2308,0.7308,Herring Gull (Immature) (7)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,3,1,13,0.7500,0.1875,0.3000,0.1875,0.8750,Fox Sparrow (Sooty) (10)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,10,6,31,0.6250,0.2439,0.3509,0.2439,0.8780,"Rufous Hummingbird (Female, immature) (12)"
377,Pacific Wren,Pacific Wren,Perching Birds,21,5,2,16,0.7143,0.2381,0.3571,0.2381,0.8571,Winter Wren (15)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,7,12,12,0.3684,0.3684,0.3684,0.3684,1.0000,American Crow (7)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,7,5,17,0.5833,0.2917,0.3889,0.2917,0.8333,Double-crested Cormorant (Immature) (12)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,10,13,15,0.4348,0.4000,0.4167,0.4000,0.8000,Ring-billed Gull (Immature) (5)
344,Fish Crow,Fish Crow,Perching Birds,30,14,23,16,0.3784,0.4667,0.4179,0.4667,0.9000,American Crow (7)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,11,10,19,0.5238,0.3667,0.4314,0.3667,0.9333,Rough-legged Hawk (Dark morph) (11)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,11,10,19,0.5238,0.3667,0.4314,0.3667,0.7667,Swainson's Hawk (Light morph ) (7)
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,8,7,14,0.5333,0.3636,0.4324,0.3636,0.9545,Herring Gull (Immature) (7)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,15,25,13,0.3750,0.5357,0.4412,0.5357,0.9643,Chimney Swift (7)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,12,13,17,0.4800,0.4138,0.4444,0.4138,0.8621,"Calliope Hummingbird (Female, immature) (11)"
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,29,41,30,0.4143,0.4915,0.4496,0.4915,0.8644,"Ruby-throated Hummingbird (Female, immature) (8)"
353,Cave Swallow,Cave Swallow,Perching Birds,34,12,7,22,0.6316,0.3529,0.4528,0.3529,0.7941,Cliff Swallow (10)
186,Chimney Swift,Chimney Swift,Swifts and Hummingbirds,33,13,11,20,0.5417,0.3939,0.4561,0.3939,1.0000,Vaux's Swift (18)
501,American Crow,American Crow,Perching Birds,57,26,27,31,0.4906,0.4561,0.4727,0.4561,0.8947,Fish Crow (12)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,11,11,13,0.5000,0.4583,0.4783,0.4583,0.7500,Swainson's Hawk (Light morph ) (3)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,13,17,11,0.4333,0.5417,0.4815,0.5417,0.9583,Red-tailed Hawk (Dark morph) (4)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,20,32,11,0.3846,0.6452,0.4819,0.6452,0.9677,Least Flycatcher (3)
220,Blue-winged Teal (Female/juvenile),Blue-winged Teal,"Ducks, Geese, and Swans",17,7,5,10,0.5833,0.4118,0.4828,0.4118,0.9412,Northern Shoveler (Female/Eclipse male) (2)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,9,7,12,0.5625,0.4286,0.4865,0.4286,0.9048,"Black-chinned Hummingbird (Female, immature) (5)"
262,Broad-winged Hawk (Immature),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",29,13,9,16,0.5909,0.4483,0.5098,0.4483,0.8966,Red-shouldered Hawk (Immature) (5)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,23,17,26,0.5750,0.4694,0.5169,0.4694,0.8367,Eastern Wood-Pewee (18)
18,Greater Scaup (Breeding male),Greater Scaup,"Ducks, Geese, and Swans",43,19,9,24,0.6786,0.4419,0.5352,0.4419,0.8605,Lesser Scaup (Breeding male) (16)
261,Red-shouldered Hawk (Immature),Red-shouldered Hawk,"Hawks, Kites, Eagles, and Allies",38,23,24,15,0.4894,0.6053,0.5412,0.6053,0.9474,Red-shouldered Hawk (Adult ) (5)
202,"Black Guillemot (Nonbreeding, juvenile)",Black Guillemot,Skuas and Alcids,12,6,4,6,0.6000,0.5000,0.5455,0.5000,0.7500,"Pigeon Guillemot (Nonbreeding, juvenile) (3)"
535,Hooded Oriole (Female/Immature male),Hooded Oriole,Perching Birds,35,15,5,20,0.7500,0.4286,0.5455,0.4286,0.9714,Orchard Oriole (Female/Juvenile) (8)
274,"Broad-billed Hummingbird (Female, immature)",Broad-billed Hummingbird,Swifts and Hummingbirds,22,11,7,11,0.6111,0.5000,0.5500,0.5000,0.9091,Broad-billed Hummingbird (Adult Male) (4)
281,"Rufous Hummingbird (Female, immature)",Rufous Hummingbird,Swifts and Hummingbirds,37,19,13,18,0.5938,0.5135,0.5507,0.5135,0.9189,"Calliope Hummingbird (Female, immature) (6)"
177,Western Screech-Owl,Western Screech-Owl,Owls,34,18,13,16,0.5806,0.5294,0.5538,0.5294,1.0000,Eastern Screech-Owl (14)
457,Boat-tailed Grackle,Boat-tailed Grackle,Perching Birds,60,36,34,24,0.5143,0.6000,0.5538,0.6000,0.9500,Great-tailed Grackle (12)
275,"Ruby-throated Hummingbird (Female, immature)",Ruby-throated Hummingbird,Swifts and Hummingbirds,60,32,22,28,0.5926,0.5333,0.5614,0.5333,0.9833,"Black-chinned Hummingbird (Female, immature) (21)"
230,Harlequin Duck (Female/juvenile),Harlequin Duck,"Ducks, Geese, and Swans",22,9,1,13,0.9000,0.4091,0.5625,0.4091,0.8182,White-winged Scoter (Female/juvenile) (7)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,9,3,11,0.7500,0.4500,0.5625,0.4500,0.9000,Pigeon Guillemot (Breeding) (7)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,22,15,19,0.5946,0.5366,0.5641,0.5366,0.9024,Ring-billed Gull (Adult) (8)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,13,6,14,0.6842,0.4815,0.5652,0.4815,0.8519,Common Loon (Nonbreeding/juvenile) (8)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,20,12,18,0.6250,0.5263,0.5714,0.5263,0.8947,Double-crested Cormorant (Immature) (7)
