order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6656,0.6628,0.6451,0.6437,0.9560
"Hawks, Kites, Eagles, and Allies",29,1260,0.7405,0.7347,0.7235,0.7216,0.9444
Skuas and Alcids,4,91,0.7582,0.7152,0.6727,0.6808,0.9341
"Gulls, Terns, and Allies",26,1038,0.7707,0.7485,0.7412,0.7412,0.9518
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7887,0.7573,0.7438,0.7358,0.9459
Loons,6,226,0.8274,0.8349,0.7817,0.8027,0.9602
Caracaras and Falcons,7,346,0.8353,0.8528,0.8229,0.8364,0.9566
"Ducks, Geese, and Swans",70,2420,0.8525,0.8437,0.8187,0.8156,0.9727
Woodpeckers,16,843,0.8541,0.8555,0.8513,0.8475,0.9893
Perching Birds,265,12539,0.8691,0.8627,0.8467,0.8471,0.9745
Grebes,9,375,0.8827,0.8906,0.8759,0.8799,0.9760
Owls,9,426,0.8991,0.8797,0.8870,0.8829,0.9906
Cranes and Rails,6,200,0.9150,0.8957,0.8705,0.8737,0.9800
"Pelicans, Herons, Ibises, and Allies",21,983,0.9288,0.9220,0.9159,0.9175,0.9888
Cuckoos,3,113,0.9292,0.9117,0.9300,0.9205,1.0000
"Plovers, Sandpipers, and Allies",32,1573,0.9307,0.9357,0.9241,0.9265,0.9898
Pigeons and Doves,7,359,0.9331,0.9509,0.9343,0.9415,0.9694
Storks,1,56,0.9464,0.9464,0.9464,0.9464,0.9821
"Grouse, Quail, and Allies",10,342,0.9591,0.9685,0.9421,0.9534,0.9854
Nightjars,1,39,0.9744,0.9268,0.9744,0.9500,0.9744
Kingfishers and Allies,1,60,0.9833,0.9672,0.9833,0.9752,0.9833
Parrots,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
