species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.1111,0.3333,0.1111,0.1667,0.8889
Bank Swallow,1,27,0.1111,0.7500,0.1111,0.1935,0.7037
Cassin's Vireo,1,36,0.2222,0.3200,0.2222,0.2623,0.8889
Pacific Wren,1,21,0.2381,0.7143,0.2381,0.3571,0.8571
Greater Scaup,2,73,0.3151,0.6250,0.2876,0.3757,0.8082
Cave Swallow,1,34,0.3529,0.6316,0.3529,0.4528,0.7941
Northwestern Crow,1,19,0.3684,0.3684,0.3684,0.3684,1.0000
Chimney Swift,1,33,0.3939,0.5417,0.3939,0.4561,1.0000
Barrow's Goldeneye,2,60,0.4167,0.7300,0.3629,0.4370,0.9667
Great Cormorant,2,64,0.4219,0.6917,0.3958,0.5021,0.8281
Mourning Warbler,1,52,0.4423,0.8846,0.4423,0.5897,0.8077
American Crow,1,57,0.4561,0.4906,0.4561,0.4727,0.8947
Fish Crow,1,30,0.4667,0.3784,0.4667,0.4179,0.9000
Black Guillemot,2,32,0.4688,0.6750,0.4750,0.5540,0.8438
Western Wood-Pewee,1,49,0.4694,0.5750,0.4694,0.5169,0.8367
Red-naped Sapsucker,1,54,0.4815,0.8667,0.4815,0.6190,1.0000
California Gull,2,66,0.4848,0.5147,0.4683,0.4904,0.8636
Boreal Chickadee,1,42,0.5000,1.0000,0.5000,0.6667,0.9048
Cackling Goose,1,14,0.5000,1.0000,0.5000,0.6667,0.9286
Swainson's Hawk,3,93,0.5161,0.5527,0.4972,0.5199,0.8495
Neotropic Cormorant,1,38,0.5263,0.6250,0.5263,0.5714,0.8947
Western Screech-Owl,1,34,0.5294,0.5806,0.5294,0.5538,1.0000
Vaux's Swift,1,28,0.5357,0.3750,0.5357,0.4412,0.9643
Allen's Hummingbird,2,101,0.5446,0.6875,0.4970,0.5504,0.9406
Glaucous-winged Gull,2,60,0.5500,0.6343,0.5108,0.5634,0.9833
Great-tailed Grackle,1,60,0.5500,0.6471,0.5500,0.5946,0.9500
Pacific-slope Flycatcher,1,59,0.5593,0.8462,0.5593,0.6735,0.9153
Juniper Titmouse,1,25,0.5600,0.8235,0.5600,0.6667,1.0000
Black Tern,1,35,0.5714,0.8000,0.5714,0.6667,0.8857
Western Gull,2,59,0.5763,0.6140,0.5396,0.5703,0.8814
Broad-winged Hawk,2,55,0.5818,0.5923,0.5895,0.5825,0.9273
