true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,27,False,True
Hairy Woodpecker,Downy Woodpecker,24,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),21,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),19,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),18,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),18,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,17,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",17,False,True
Mourning Warbler,MacGillivray's Warbler,16,False,True
Pacific Wren,Winter Wren,16,False,True
Greater Yellowlegs,Lesser Yellowlegs,16,False,True
Eastern Meadowlark,Western Meadowlark,16,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),16,True,True
Common Raven,American Crow,15,False,True
Western Sandpiper,Semipalmated Sandpiper,15,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),15,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),15,True,True
Western Screech-Owl,Eastern Screech-Owl,14,False,True
Boreal Chickadee,Chestnut-backed Chickadee,14,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),14,False,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),14,True,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",13,False,True
Chimney Swift,Vaux's Swift,13,False,True
Lesser Yellowlegs,Greater Yellowlegs,13,False,True
Great-tailed Grackle,Boat-tailed Grackle,13,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",13,False,True
Cave Swallow,Cliff Swallow,13,False,True
Chihuahuan Raven,Common Raven,13,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),13,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),12,True,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),12,False,True
Eastern Screech-Owl,Western Screech-Owl,12,False,True
Western Wood-Pewee,Eastern Wood-Pewee,12,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),12,False,True
Hoary Redpoll,Common Redpoll,12,False,True
Common Tern,Forster's Tern,11,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),11,False,True
Cassin's Vireo,Blue-headed Vireo,11,False,True
Eastern Wood-Pewee,Western Wood-Pewee,11,False,True
Neotropic Cormorant,Double-crested Cormorant (Immature),11,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",11,False,True
Hooded Oriole (Female/Immature male),Orchard Oriole (Female/Juvenile),11,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",10,False,True
"Anna's Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",10,False,True
Pigeon Guillemot (Breeding),Black Guillemot (Breeding),10,False,True
Northwestern Crow,American Crow,10,False,True
Least Flycatcher,Cordilleran Flycatcher,9,False,True
Western Grebe,Clark's Grebe,9,False,True
Northern Flicker (Yellow-shafted),Northern Flicker (Red-shafted),9,True,True
Hermit Thrush,Swainson's Thrush,9,False,True
American Crow,Fish Crow,9,False,True
Yellow-bellied Sapsucker,Red-naped Sapsucker,9,False,True
Common Loon (Breeding),Common Loon (Nonbreeding/juvenile),8,True,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),8,False,True
Cassin's Kingbird,Western Kingbird,8,False,True
Boat-tailed Grackle,Great-tailed Grackle,8,False,True
White-faced Ibis,Glossy Ibis,8,False,True
Fish Crow,American Crow,8,False,True
Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow (Sooty),8,True,True
Black-crested Titmouse,Tufted Titmouse,8,False,True
