class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,1,14,26,0.0667,0.0370,0.0476,0.0370,0.7407,Common Raven (13)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,4,25,21,0.1379,0.1600,0.1481,0.1600,0.5200,Ring-billed Gull (Immature) (5)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,3,16,18,0.1579,0.1429,0.1500,0.1429,0.6667,"Ruby-throated Hummingbird (Female, immature) (6)"
351,Bank Swallow,Bank Swallow,Perching Birds,27,3,4,24,0.4286,0.1111,0.1765,0.1111,0.3333,Violet-green Swallow (3)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,4,5,31,0.4444,0.1143,0.1818,0.1143,0.4571,Forster's Tern (4)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,4,12,22,0.2500,0.1538,0.1905,0.1538,0.5000,Herring Gull (Immature) (7)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,5,5,25,0.5000,0.1667,0.2500,0.1667,0.6333,Lesser Scaup (Female/Eclipse male) (19)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,4,1,21,0.8000,0.1600,0.2667,0.1600,0.7600,Common Goldeneye (Female/Eclipse male) (11)
377,Pacific Wren,Pacific Wren,Perching Birds,21,5,10,16,0.3333,0.2381,0.2778,0.2381,0.5714,Winter Wren (16)
353,Cave Swallow,Cave Swallow,Perching Birds,34,8,14,26,0.3636,0.2353,0.2857,0.2353,0.7647,Cliff Swallow (13)
217,Gadwall (Female/Eclipse male),Gadwall,"Ducks, Geese, and Swans",19,5,10,14,0.3333,0.2632,0.2941,0.2632,0.8947,Mallard (Female/Eclipse male) (5)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,5,9,14,0.3571,0.2632,0.3030,0.2632,0.7895,American Crow (10)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,10,26,19,0.2778,0.3448,0.3077,0.3448,0.8621,"Calliope Hummingbird (Female, immature) (13)"
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,6,9,18,0.4000,0.2500,0.3077,0.2500,0.5833,Red-tailed Hawk (Light morph immature) (5)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,10,18,26,0.3571,0.2778,0.3125,0.2778,0.8333,Blue-headed Vireo (11)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,12,32,19,0.2727,0.3871,0.3200,0.3871,0.8065,Pacific-slope Flycatcher (7)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,10,13,28,0.4348,0.2632,0.3279,0.2632,0.7105,Double-crested Cormorant (Immature) (11)
