order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Skuas and Alcids,4,91,0.5604,0.5144,0.5140,0.5082,0.8681
"Hawks, Kites, Eagles, and Allies",29,1260,0.5929,0.6076,0.5770,0.5854,0.8437
Swifts and Hummingbirds,21,909,0.6029,0.5929,0.5805,0.5794,0.9142
"Gulls, Terns, and Allies",26,1038,0.6541,0.6236,0.6242,0.6155,0.8911
Loons,6,226,0.6726,0.7179,0.6388,0.6694,0.8894
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6732,0.6424,0.6196,0.6147,0.8796
Caracaras and Falcons,7,346,0.6994,0.7495,0.6742,0.7090,0.8555
Parrots,1,28,0.7857,1.0000,0.7857,0.8800,0.8929
"Ducks, Geese, and Swans",70,2420,0.7888,0.7786,0.7581,0.7565,0.9306
Woodpeckers,16,843,0.7924,0.7884,0.7902,0.7853,0.9573
Grebes,9,375,0.7947,0.8074,0.7882,0.7966,0.9467
Nightjars,1,39,0.7949,0.8611,0.7949,0.8267,0.8718
Perching Birds,265,12539,0.7976,0.7857,0.7725,0.7726,0.9368
Cuckoos,3,113,0.8142,0.7797,0.8024,0.7877,0.9646
Owls,9,426,0.8239,0.8257,0.8160,0.8191,0.9413
Pigeons and Doves,7,359,0.8245,0.8605,0.8254,0.8409,0.9248
Storks,1,56,0.8393,0.8545,0.8393,0.8468,0.9464
"Pelicans, Herons, Ibises, and Allies",21,983,0.8444,0.8467,0.8341,0.8358,0.9512
Cranes and Rails,6,200,0.8600,0.8512,0.7893,0.8119,0.9200
"Plovers, Sandpipers, and Allies",32,1573,0.8697,0.8671,0.8683,0.8645,0.9720
"Grouse, Quail, and Allies",10,342,0.8977,0.9191,0.8796,0.8935,0.9649
Kingfishers and Allies,1,60,0.9000,0.9310,0.9000,0.9153,0.9500
