species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0370,0.0667,0.0370,0.0476,0.7407
Bank Swallow,1,27,0.1111,0.4286,0.1111,0.1765,0.3333
Black Tern,1,35,0.1143,0.4444,0.1143,0.1818,0.4571
Cave Swallow,1,34,0.2353,0.3636,0.2353,0.2857,0.7647
Pacific Wren,1,21,0.2381,0.3333,0.2381,0.2778,0.5714
California Gull,2,66,0.2424,0.2690,0.2263,0.2431,0.6667
Northwestern Crow,1,19,0.2632,0.3571,0.2632,0.3030,0.7895
Neotropic Cormorant,1,38,0.2632,0.4348,0.2632,0.3279,0.7105
Cassin's Vireo,1,36,0.2778,0.3571,0.2778,0.3125,0.8333
Greater Scaup,2,73,0.3151,0.5833,0.2926,0.3821,0.7123
Mississippi Kite,1,50,0.3400,0.6800,0.3400,0.4533,0.6200
Black Guillemot,2,32,0.3438,0.4250,0.3417,0.3750,0.8125
Mourning Warbler,1,52,0.3462,0.8182,0.3462,0.4865,0.5962
Cordilleran Flycatcher,1,31,0.3871,0.2727,0.3871,0.3200,0.8065
Juniper Titmouse,1,25,0.4000,0.5000,0.4000,0.4444,0.8800
Common Raven,1,57,0.4035,0.3538,0.4035,0.3770,0.8421
Great Cormorant,2,64,0.4062,0.5441,0.3750,0.4369,0.7500
Western Wood-Pewee,1,49,0.4082,0.4348,0.4082,0.4211,0.8163
Broad-winged Hawk,2,55,0.4182,0.5269,0.4164,0.4641,0.7818
Tundra Swan,1,28,0.4286,0.4286,0.4286,0.4286,0.8929
Swainson's Hawk,3,93,0.4301,0.4177,0.4021,0.4030,0.7527
Black-capped Chickadee,1,60,0.4333,0.7647,0.4333,0.5532,0.8833
Fish Crow,1,30,0.4333,0.3611,0.4333,0.3939,0.7333
American Crow,1,57,0.4386,0.3205,0.4386,0.3704,0.8070
Hoary Redpoll,1,29,0.4483,0.6190,0.4483,0.5200,0.8966
Sharp-shinned Hawk,2,116,0.4483,0.4719,0.4483,0.4593,0.8879
Barrow's Goldeneye,2,60,0.4500,0.8600,0.4086,0.5167,0.8500
Great-tailed Grackle,1,60,0.4500,0.5400,0.4500,0.4909,0.8000
Chimney Swift,1,33,0.4545,0.5769,0.4545,0.5085,0.9091
Allen's Hummingbird,2,101,0.4653,0.6699,0.4380,0.5159,0.9208
Boat-tailed Grackle,1,60,0.4667,0.4667,0.4667,0.4667,0.7167
Boreal Chickadee,1,42,0.4762,1.0000,0.4762,0.6452,0.7857
Mew Gull,1,23,0.4783,0.5238,0.4783,0.5000,0.8261
Bell's Vireo,1,29,0.4828,0.6087,0.4828,0.5385,0.8276
Brandt's Cormorant,1,33,0.4848,0.7273,0.4848,0.5818,0.7273
Western Screech-Owl,1,34,0.5000,0.5312,0.5000,0.5152,0.9118
Hairy Woodpecker,1,60,0.5000,0.6977,0.5000,0.5825,0.9500
Peregrine Falcon,2,77,0.5065,0.5600,0.4870,0.5209,0.7662
Western Gull,2,59,0.5085,0.4861,0.4709,0.4720,0.7458
Eastern Meadowlark,1,40,0.5250,0.7000,0.5250,0.6000,0.9500
Northern Harrier,2,120,0.5250,0.6452,0.5250,0.5594,0.6750
Cliff Swallow,1,30,0.5333,0.3636,0.5333,0.4324,0.7333
Glaucous-winged Gull,2,60,0.5333,0.6196,0.4976,0.5495,0.8833
Red-naped Sapsucker,1,54,0.5370,0.6444,0.5370,0.5859,0.9444
Rusty Blackbird,1,48,0.5417,0.6667,0.5417,0.5977,0.8333
Rough-legged Hawk,2,64,0.5469,0.5645,0.5292,0.5443,0.8906
Broad-tailed Hummingbird,2,73,0.5479,0.5235,0.5133,0.5153,0.9315
Brewer's Blackbird,2,91,0.5495,0.6399,0.5648,0.5933,0.7802
Calliope Hummingbird,2,89,0.5506,0.6626,0.5638,0.6068,0.8764
Costa's Hummingbird,2,58,0.5517,0.4414,0.4633,0.4516,0.8448
Golden Eagle,2,72,0.5556,0.5348,0.5619,0.5480,0.8472
Black-chinned Hummingbird,2,109,0.5596,0.5592,0.5795,0.5690,0.8624
Rufous Hummingbird,2,87,0.5632,0.4957,0.5638,0.5242,0.9655
Least Flycatcher,1,60,0.5667,0.6415,0.5667,0.6018,0.8333
Western Sandpiper,1,51,0.5686,0.7436,0.5686,0.6444,0.9608
Brewer's Sparrow,1,35,0.5714,0.5405,0.5714,0.5556,0.8571
Vaux's Swift,1,28,0.5714,0.3636,0.5714,0.4444,0.8929
Snow Goose,2,54,0.5741,0.6567,0.5701,0.6103,0.8519
Black-crested Titmouse,1,33,0.5758,0.6333,0.5758,0.6032,0.9394
Brown-capped Rosy-Finch,1,34,0.5882,0.7407,0.5882,0.6557,0.9412
Cooper's Hawk,2,117,0.5897,0.4931,0.5899,0.5372,0.8803
Black-tailed Gnatcatcher,1,22,0.5909,0.3514,0.5909,0.4407,0.9545
Eastern Wood-Pewee,1,49,0.5918,0.4915,0.5918,0.5370,0.9184
Red-tailed Hawk,3,150,0.5933,0.5970,0.5722,0.5821,0.8400
Black-billed Cuckoo,1,32,0.5938,0.6786,0.5938,0.6333,0.9688
Oak Titmouse,1,37,0.5946,0.5641,0.5946,0.5789,0.8649
Pacific Loon,2,47,0.5957,0.6719,0.6287,0.6459,0.8723
Cassin's Kingbird,1,35,0.6000,0.6774,0.6000,0.6364,0.8857
Common Tern,1,60,0.6000,0.7200,0.6000,0.6545,0.9333
Red-shouldered Hawk,2,76,0.6053,0.6968,0.6053,0.6409,0.8289
Lark Bunting,2,51,0.6078,0.8423,0.6340,0.7208,0.9020
Red Crossbill,2,59,0.6102,0.8241,0.6300,0.6923,0.7966
White-tailed Kite,1,13,0.6154,0.6667,0.6154,0.6400,0.8462
Merlin,1,58,0.6207,0.7500,0.6207,0.6792,0.7931
Violet-green Swallow,1,37,0.6216,0.8846,0.6216,0.7302,0.7838
Clay-colored Sparrow,1,60,0.6333,0.7037,0.6333,0.6667,0.9500
Purple Martin,2,71,0.6338,0.7750,0.6345,0.6974,0.8873
Pacific-slope Flycatcher,1,59,0.6441,0.6552,0.6441,0.6496,0.8644
Trumpeter Swan,1,37,0.6486,0.6154,0.6486,0.6316,0.9730
Black Scoter,2,41,0.6585,0.8182,0.6782,0.7118,0.8049
Greater Yellowlegs,1,59,0.6610,0.6610,0.6610,0.6610,0.9661
Herring Gull,2,101,0.6634,0.5338,0.6629,0.5911,0.9604
Gadwall,2,75,0.6667,0.5685,0.5334,0.5488,0.9200
Prairie Falcon,1,42,0.6667,0.7568,0.6667,0.7089,0.8571
Hutton's Vireo,1,39,0.6667,0.6341,0.6667,0.6500,0.9487
Hooded Oriole,2,78,0.6667,0.7335,0.6419,0.6791,0.9487
Anna's Hummingbird,2,106,0.6698,0.6415,0.6656,0.6525,0.9245
Common Loon,2,120,0.6750,0.7892,0.6750,0.7206,0.9167
Canada Goose,1,31,0.6774,0.7778,0.6774,0.7241,0.8065
Cassin's Finch,2,62,0.6774,0.8364,0.6371,0.7187,0.9194
Pigeon Guillemot,2,59,0.6780,0.6039,0.6863,0.6414,0.8983
Yellow-bellied Sapsucker,1,59,0.6780,0.6557,0.6780,0.6667,0.9153
Plumbeous Vireo,1,41,0.6829,0.5957,0.6829,0.6364,0.8780
Ash-throated Flycatcher,1,41,0.6829,0.8235,0.6829,0.7467,0.9512
Cape May Warbler,1,60,0.6833,0.8913,0.6833,0.7736,0.8667
Lesser Yellowlegs,1,60,0.6833,0.5775,0.6833,0.6260,0.9500
White-winged Scoter,2,57,0.6842,0.7407,0.6759,0.6858,0.8596
Great Black-backed Gull,2,73,0.6849,0.7351,0.6852,0.7093,0.9452
Pine Warbler,1,48,0.6875,0.7500,0.6875,0.7174,0.8750
Black-legged Kittiwake,2,42,0.6905,0.5990,0.6854,0.6334,0.8810
Western Grebe,1,42,0.6905,0.7632,0.6905,0.7250,0.9762
Black Rosy-Finch,1,26,0.6923,0.7500,0.6923,0.7200,0.9231
Pelagic Cormorant,1,26,0.6923,0.5806,0.6923,0.6316,1.0000
Ruby-throated Hummingbird,2,114,0.6930,0.6782,0.6981,0.6869,0.9474
Golden-fronted Woodpecker,1,33,0.6970,0.8846,0.6970,0.7797,0.9091
Lesser Goldfinch,2,95,0.7053,0.7478,0.6653,0.6987,0.9053
Pygmy Nuthatch,1,38,0.7105,0.7105,0.7105,0.7105,0.9211
Cackling Goose,1,14,0.7143,0.6250,0.7143,0.6667,0.9286
Northern Rough-winged Swallow,1,42,0.7143,0.6522,0.7143,0.6818,0.8095
Tennessee Warbler,1,60,0.7167,0.6056,0.7167,0.6565,0.8667
Verdin,1,32,0.7188,0.9200,0.7188,0.8070,0.8750
Eastern Screech-Owl,1,50,0.7200,0.6429,0.7200,0.6792,1.0000
Orchard Oriole,3,93,0.7204,0.6670,0.6795,0.6547,0.9247
Mottled Duck,1,29,0.7241,0.7778,0.7241,0.7500,0.9310
Common Redpoll,1,40,0.7250,0.6591,0.7250,0.6905,0.9500
Red-throated Loon,2,59,0.7288,0.6925,0.6126,0.6418,0.8475
Ring-billed Gull,2,96,0.7292,0.5608,0.7167,0.6290,0.9062
Gray-crowned Rosy-Finch,1,37,0.7297,0.6750,0.7297,0.7013,0.9730
Wrentit,1,37,0.7297,0.7941,0.7297,0.7606,0.8919
Scissor-tailed Flycatcher,1,37,0.7297,1.0000,0.7297,0.8438,0.9189
Mexican Jay,1,26,0.7308,0.7308,0.7308,0.7308,1.0000
Bushtit,1,60,0.7333,0.6471,0.7333,0.6875,0.8833
Warbling Vireo,1,60,0.7333,0.9167,0.7333,0.8148,0.9333
Lesser Scaup,2,79,0.7342,0.5521,0.7380,0.6299,0.8861
Cattle Egret,1,49,0.7347,0.8372,0.7347,0.7826,0.9388
White-faced Ibis,1,34,0.7353,0.9259,0.7353,0.8197,0.9412
Yellow-rumped Warbler,4,214,0.7383,0.7053,0.7262,0.7146,0.9813
Ross's Goose,1,23,0.7391,0.6538,0.7391,0.6939,0.9565
Blue Grosbeak,2,100,0.7400,0.7614,0.7233,0.7419,0.9500
Bay-breasted Warbler,2,62,0.7419,0.8393,0.7325,0.7685,0.8710
Reddish Egret,2,75,0.7467,0.8415,0.6961,0.7458,0.9333
Willet,1,60,0.7500,0.8333,0.7500,0.7895,0.9167
Laughing Gull,2,104,0.7500,0.7103,0.7454,0.7265,0.9615
Hermit Thrush,1,60,0.7500,0.8182,0.7500,0.7826,0.9500
Barn Owl,1,52,0.7500,0.8298,0.7500,0.7879,0.8846
Surf Scoter,2,61,0.7541,0.7437,0.7168,0.7289,0.9180
Phainopepla,2,53,0.7547,0.7451,0.7603,0.7514,0.9057
Black Oystercatcher,1,49,0.7551,0.9737,0.7551,0.8506,0.9388
American Black Duck,1,37,0.7568,0.7568,0.7568,0.7568,0.8649
Horned Grebe,2,95,0.7579,0.8098,0.7607,0.7843,0.9789
Bonaparte's Gull,1,58,0.7586,0.8000,0.7586,0.7788,0.9483
Abert's Towhee,1,29,0.7586,0.7097,0.7586,0.7333,0.9655
Crested Caracara,1,54,0.7593,0.8913,0.7593,0.8200,0.8333
Gray Jay,1,54,0.7593,0.8542,0.7593,0.8039,0.8889
Sandhill Crane,1,25,0.7600,0.9500,0.7600,0.8444,0.8000
Wood Thrush,1,46,0.7609,0.9722,0.7609,0.8537,0.8913
