class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.8889,Dark-eyed Junco (Slate-colored) (6)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,3,16,23,0.1579,0.1154,0.1333,0.1154,0.6923,Herring Gull (Immature) (6)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,3,11,24,0.2143,0.1111,0.1463,0.1111,0.7407,Common Raven (15)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,3,12,18,0.2000,0.1429,0.1667,0.1429,0.7143,"Ruby-throated Hummingbird (Female, immature) (5)"
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,3,3,27,0.5000,0.1000,0.1667,0.1000,0.6667,Lesser Scaup (Female/Eclipse male) (18)
351,Bank Swallow,Bank Swallow,Perching Birds,27,3,3,24,0.5000,0.1111,0.1818,0.1111,0.3704,Northern Rough-winged Swallow (6)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,4,11,20,0.2667,0.1667,0.2051,0.1667,0.7917,Double-crested Cormorant (Immature) (11)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,3,1,22,0.7500,0.1200,0.2069,0.1200,0.8000,Common Goldeneye (Female/Eclipse male) (13)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,14,35,45,0.2857,0.2373,0.2593,0.2373,0.7458,"Ruby-throated Hummingbird (Female, immature) (17)"
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,6,13,18,0.3158,0.2500,0.2791,0.2500,0.6250,Red-tailed Hawk (Light morph immature) (6)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,7,16,18,0.3043,0.2800,0.2917,0.2800,0.6000,Herring Gull (Immature) (6)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,3,1,13,0.7500,0.1875,0.3000,0.1875,0.9375,Fox Sparrow (Sooty) (11)
501,American Crow,American Crow,Perching Birds,57,19,48,38,0.2836,0.3333,0.3065,0.3333,0.8070,Common Raven (13)
344,Fish Crow,Fish Crow,Perching Birds,30,9,19,21,0.3214,0.3000,0.3103,0.3000,0.8333,American Crow (9)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,10,13,31,0.4348,0.2439,0.3125,0.2439,0.8049,Ring-billed Gull (Adult) (10)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,8,8,27,0.5000,0.2286,0.3137,0.2286,0.6286,Forster's Tern (4)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,10,7,31,0.5882,0.2439,0.3448,0.2439,0.8780,"Rufous Hummingbird (Female, immature) (16)"
377,Pacific Wren,Pacific Wren,Perching Birds,21,6,7,15,0.4615,0.2857,0.3529,0.2857,0.6667,Winter Wren (14)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,18,33,31,0.3529,0.3673,0.3600,0.3673,0.7755,Eastern Wood-Pewee (19)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,6,7,14,0.4615,0.3000,0.3636,0.3000,0.8000,Pigeon Guillemot (Breeding) (10)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,10,22,13,0.3125,0.4348,0.3636,0.4348,0.8261,Ring-billed Gull (Adult) (4)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,12,23,18,0.3429,0.4000,0.3692,0.4000,0.7667,Swainson's Hawk (Light morph ) (7)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,12,24,17,0.3333,0.4138,0.3692,0.4138,0.8966,"Calliope Hummingbird (Female, immature) (10)"
353,Cave Swallow,Cave Swallow,Perching Birds,34,11,14,23,0.4400,0.3235,0.3729,0.3235,0.6471,Cliff Swallow (10)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,13,16,25,0.4483,0.3421,0.3881,0.3421,0.7105,Double-crested Cormorant (Immature) (7)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,14,21,22,0.4000,0.3889,0.3944,0.3889,0.8333,Blue-headed Vireo (8)
267,Purple Gallinule (Immature),Purple Gallinule,Cranes and Rails,11,3,1,8,0.7500,0.2727,0.4000,0.2727,0.7273,Purple Gallinule (Adult) (2)
484,Bell's Vireo,Bell's Vireo,Perching Birds,29,9,6,20,0.6000,0.3103,0.4091,0.3103,0.6552,Brewer's Sparrow (2)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,8,12,11,0.4000,0.4211,0.4103,0.4211,0.8421,American Crow (5)
356,Black-capped Chickadee,Black-capped Chickadee,Perching Birds,60,20,16,40,0.5556,0.3333,0.4167,0.3333,0.9167,Carolina Chickadee (32)
5,Snow Goose (White morph),Snow Goose,"Ducks, Geese, and Swans",26,10,12,16,0.4545,0.3846,0.4167,0.3846,0.9231,Ross's Goose (10)
457,Boat-tailed Grackle,Boat-tailed Grackle,Perching Birds,60,25,30,35,0.4545,0.4167,0.4348,0.4167,0.6833,Great-tailed Grackle (12)
362,Juniper Titmouse,Juniper Titmouse,Perching Birds,25,12,18,13,0.4000,0.4800,0.4364,0.4800,0.8400,Oak Titmouse (8)
217,Gadwall (Female/Eclipse male),Gadwall,"Ducks, Geese, and Swans",19,10,16,9,0.3846,0.5263,0.4444,0.5263,0.9474,Northern Shoveler (Female/Eclipse male) (4)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,12,16,14,0.4286,0.4615,0.4444,0.4615,0.8077,Scarlet Tanager (Female/Nonbreeding Male) (3)
261,Red-shouldered Hawk (Immature),Red-shouldered Hawk,"Hawks, Kites, Eagles, and Allies",38,17,21,21,0.4474,0.4474,0.4474,0.4474,0.8421,Red-shouldered Hawk (Adult ) (5)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,11,14,13,0.4400,0.4583,0.4490,0.4583,0.7500,"Bald Eagle (Immature, juvenile) (5)"
346,Common Raven,Common Raven,Perching Birds,57,32,53,25,0.3765,0.5614,0.4507,0.5614,0.9474,American Crow (10)
381,Black-tailed Gnatcatcher,Black-tailed Gnatcatcher,Perching Birds,22,12,19,10,0.3871,0.5455,0.4528,0.5455,0.7727,Purple Gallinule (Immature) (1)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,12,13,15,0.4800,0.4444,0.4615,0.4444,0.8889,Common Loon (Nonbreeding/juvenile) (10)
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,6,0,14,1.0000,0.3000,0.4615,0.3000,0.7500,Gadwall (Female/Eclipse male) (3)
535,Hooded Oriole (Female/Immature male),Hooded Oriole,Perching Birds,35,13,8,22,0.6190,0.3714,0.4643,0.3714,0.9143,Orchard Oriole (Female/Juvenile) (10)
527,Lazuli Bunting (Female/juvenile),Lazuli Bunting,Perching Birds,22,9,7,13,0.5625,0.4091,0.4737,0.4091,0.9091,Blue Grosbeak (Female/juvenile) (3)
440,Brewer's Sparrow,Brewer's Sparrow,Perching Birds,35,18,23,17,0.4390,0.5143,0.4737,0.5143,0.8571,Clay-colored Sparrow (5)
52,Broad-winged Hawk (Adult),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",26,14,19,12,0.4242,0.5385,0.4746,0.5385,0.8846,Swainson's Hawk (Dark morph ) (2)
