order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6040,0.6286,0.5835,0.5963,0.9120
"Gulls, Terns, and Allies",26,1038,0.6358,0.6070,0.6061,0.5999,0.9085
Skuas and Alcids,4,91,0.6374,0.6535,0.5552,0.5783,0.9011
"Hawks, Kites, Eagles, and Allies",29,1260,0.6389,0.6229,0.6154,0.6106,0.8754
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6609,0.5781,0.6180,0.5861,0.9238
Caracaras and Falcons,7,346,0.7168,0.7603,0.6949,0.7240,0.8613
Loons,6,226,0.7345,0.7426,0.6969,0.7136,0.8982
Woodpeckers,16,843,0.7794,0.7700,0.7771,0.7697,0.9739
Perching Birds,265,12539,0.7800,0.7679,0.7552,0.7557,0.9358
"Ducks, Geese, and Swans",70,2420,0.7872,0.7691,0.7525,0.7477,0.9413
Pigeons and Doves,7,359,0.7911,0.8522,0.7961,0.8195,0.9192
Cuckoos,3,113,0.7965,0.7503,0.7909,0.7683,0.9292
Grebes,9,375,0.7973,0.8166,0.7883,0.7994,0.9333
Storks,1,56,0.8036,0.8491,0.8036,0.8257,0.9286
Nightjars,1,39,0.8205,0.7805,0.8205,0.8000,0.9487
Owls,9,426,0.8357,0.8075,0.8263,0.8151,0.9531
"Pelicans, Herons, Ibises, and Allies",21,983,0.8433,0.8358,0.8308,0.8314,0.9705
Cranes and Rails,6,200,0.8500,0.8446,0.7582,0.7813,0.9300
"Plovers, Sandpipers, and Allies",32,1573,0.8665,0.8865,0.8626,0.8709,0.9765
Kingfishers and Allies,1,60,0.9167,0.9821,0.9167,0.9483,0.9500
"Grouse, Quail, and Allies",10,342,0.9181,0.9045,0.8999,0.9014,0.9620
Parrots,1,28,0.9643,1.0000,0.9643,0.9818,1.0000
