species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.1111,0.2143,0.1111,0.1463,0.7407
Bank Swallow,1,27,0.1111,0.5000,0.1111,0.1818,0.3704
Black Tern,1,35,0.2286,0.5000,0.2286,0.3137,0.6286
California Gull,2,66,0.2576,0.3696,0.2620,0.3021,0.7273
Pacific Wren,1,21,0.2857,0.4615,0.2857,0.3529,0.6667
Fish Crow,1,30,0.3000,0.3214,0.3000,0.3103,0.8333
Greater Scaup,2,73,0.3014,0.5893,0.2709,0.3509,0.7260
Bell's Vireo,1,29,0.3103,0.6000,0.3103,0.4091,0.6552
Cave Swallow,1,34,0.3235,0.4400,0.3235,0.3729,0.6471
American Crow,1,57,0.3333,0.2836,0.3333,0.3065,0.8070
Black-capped Chickadee,1,60,0.3333,0.5556,0.3333,0.4167,0.9167
Neotropic Cormorant,1,38,0.3421,0.4483,0.3421,0.3881,0.7105
Black Guillemot,2,32,0.3438,0.6474,0.3583,0.4596,0.8125
Western Wood-Pewee,1,49,0.3673,0.3529,0.3673,0.3600,0.7755
Mourning Warbler,1,52,0.3846,0.6667,0.3846,0.4878,0.7308
Cassin's Vireo,1,36,0.3889,0.4000,0.3889,0.3944,0.8333
Great Cormorant,2,64,0.3906,0.4171,0.3458,0.3753,0.8594
Boat-tailed Grackle,1,60,0.4167,0.4545,0.4167,0.4348,0.6833
Northwestern Crow,1,19,0.4211,0.4000,0.4211,0.4103,0.8421
Allen's Hummingbird,2,101,0.4257,0.6309,0.3970,0.4752,0.9505
Vaux's Swift,1,28,0.4286,0.6667,0.4286,0.5217,0.8214
Mew Gull,1,23,0.4348,0.3125,0.4348,0.3636,0.8261
Mississippi Kite,1,50,0.4400,0.6286,0.4400,0.5176,0.7200
Barrow's Goldeneye,2,60,0.4500,0.8194,0.4029,0.4905,0.8833
Brandt's Cormorant,1,33,0.4545,0.7143,0.4545,0.5556,0.9091
Broad-winged Hawk,2,55,0.4545,0.5559,0.4589,0.4817,0.8000
Swainson's Hawk,3,93,0.4624,0.4228,0.4303,0.4244,0.7634
Tundra Swan,1,28,0.4643,0.6500,0.4643,0.5417,0.8929
Western Screech-Owl,1,34,0.4706,0.5333,0.4706,0.5000,0.9118
Western Gull,2,59,0.4746,0.4696,0.4365,0.4513,0.8475
Boreal Chickadee,1,42,0.4762,1.0000,0.4762,0.6452,0.7857
Rusty Blackbird,1,48,0.4792,0.6970,0.4792,0.5679,0.7708
Juniper Titmouse,1,25,0.4800,0.4000,0.4800,0.4364,0.8400
Common Tern,1,60,0.4833,0.6444,0.4833,0.5524,0.9500
Least Flycatcher,1,60,0.4833,0.5686,0.4833,0.5225,0.8000
Red-naped Sapsucker,1,54,0.5000,0.6923,0.5000,0.5806,0.9630
MacGillivray's Warbler,1,46,0.5000,0.6216,0.5000,0.5542,0.8478
Eastern Meadowlark,1,40,0.5000,0.6061,0.5000,0.5479,0.9500
Black-chinned Hummingbird,2,109,0.5046,0.5448,0.5286,0.5356,0.8349
Trumpeter Swan,1,37,0.5135,0.5429,0.5135,0.5278,0.9730
Brewer's Sparrow,1,35,0.5143,0.4390,0.5143,0.4737,0.8571
Sharp-shinned Hawk,2,116,0.5172,0.5542,0.5172,0.5347,0.9224
Snow Goose,2,54,0.5185,0.6558,0.5137,0.5757,0.8889
Brown-capped Rosy-Finch,1,34,0.5294,0.6429,0.5294,0.5806,0.9412
Glaucous-winged Gull,2,60,0.5333,0.5588,0.5263,0.5419,0.9167
Oak Titmouse,1,37,0.5405,0.5556,0.5405,0.5479,0.8649
Black-tailed Gnatcatcher,1,22,0.5455,0.3871,0.5455,0.4528,0.7727
Cordilleran Flycatcher,1,31,0.5484,0.4722,0.5484,0.5075,0.8710
Brewer's Blackbird,2,91,0.5495,0.6267,0.5804,0.5992,0.8462
Costa's Hummingbird,2,58,0.5517,0.5394,0.4633,0.4976,0.8966
Red-shouldered Hawk,2,76,0.5526,0.6025,0.5526,0.5758,0.8684
Pacific-slope Flycatcher,1,59,0.5593,0.6226,0.5593,0.5893,0.8814
Common Raven,1,57,0.5614,0.3765,0.5614,0.4507,0.9474
Rough-legged Hawk,2,64,0.5625,0.5672,0.5417,0.5534,0.8594
Peregrine Falcon,2,77,0.5714,0.6150,0.5572,0.5845,0.7403
Rufous Hummingbird,2,87,0.5747,0.5132,0.5668,0.5386,0.9540
Red Crossbill,2,59,0.5763,0.6812,0.5953,0.6269,0.8305
Golden Eagle,2,72,0.5833,0.6071,0.5714,0.5754,0.8889
Hairy Woodpecker,1,60,0.5833,0.7292,0.5833,0.6481,0.9833
Plumbeous Vireo,1,41,0.5854,0.6316,0.5854,0.6076,0.8293
Hoary Redpoll,1,29,0.5862,0.7727,0.5862,0.6667,0.8276
Lark Bunting,2,51,0.5882,0.9117,0.6077,0.7273,0.7843
Black-billed Cuckoo,1,32,0.5938,0.6552,0.5938,0.6230,0.8438
Herring Gull,2,101,0.5941,0.4705,0.5937,0.5247,0.9505
Violet-green Swallow,1,37,0.5946,0.9167,0.5946,0.7213,0.7838
Black-legged Kittiwake,2,42,0.5952,0.5663,0.5938,0.5793,0.9048
Pacific Loon,2,47,0.5957,0.7400,0.6222,0.6752,0.8723
Cliff Swallow,1,30,0.6000,0.4186,0.6000,0.4932,0.7667
Tennessee Warbler,1,60,0.6000,0.5538,0.6000,0.5760,0.8333
Great-tailed Grackle,1,60,0.6000,0.5373,0.6000,0.5669,0.8667
Northern Harrier,2,120,0.6000,0.8043,0.6000,0.6686,0.7750
Broad-tailed Hummingbird,2,73,0.6027,0.6111,0.5705,0.5846,0.9315
Chimney Swift,1,33,0.6061,0.6452,0.6061,0.6250,0.9091
Eastern Wood-Pewee,1,49,0.6122,0.4839,0.6122,0.5405,0.9388
Bay-breasted Warbler,2,62,0.6129,0.8083,0.6008,0.6794,0.8548
White-winged Scoter,2,57,0.6140,0.5901,0.6130,0.5973,0.9649
White-tailed Kite,1,13,0.6154,0.4211,0.6154,0.5000,0.8462
White-faced Ibis,1,34,0.6176,0.5833,0.6176,0.6000,0.9706
Calliope Hummingbird,2,89,0.6180,0.6929,0.6280,0.6579,0.8876
American Black Duck,1,37,0.6216,0.7667,0.6216,0.6866,0.8649
Canyon Towhee,1,46,0.6304,0.6905,0.6304,0.6591,0.9565
Ruby-throated Hummingbird,2,114,0.6316,0.5884,0.6343,0.6040,0.9035
Red-tailed Hawk,3,150,0.6333,0.6266,0.6167,0.6154,0.8467
Clay-colored Sparrow,1,60,0.6333,0.6552,0.6333,0.6441,0.9333
Cape May Warbler,1,60,0.6333,0.9268,0.6333,0.7525,0.8500
Hooded Oriole,2,78,0.6410,0.7117,0.6159,0.6479,0.9487
Cackling Goose,1,14,0.6429,0.6429,0.6429,0.6429,0.9286
Northern Rough-winged Swallow,1,42,0.6429,0.6429,0.6429,0.6429,0.8571
Prairie Falcon,1,42,0.6429,0.7105,0.6429,0.6750,0.8810
Louisiana Waterthrush,1,42,0.6429,0.5745,0.6429,0.6067,0.9762
Greater Yellowlegs,1,59,0.6441,0.6333,0.6441,0.6387,0.9831
Canada Goose,1,31,0.6452,0.8333,0.6452,0.7273,0.8387
Pine Warbler,1,48,0.6458,0.7209,0.6458,0.6813,0.8750
Western Sandpiper,1,51,0.6471,0.7674,0.6471,0.7021,0.9608
Lesser Yellowlegs,1,60,0.6500,0.5735,0.6500,0.6094,1.0000
Merlin,1,58,0.6552,0.6667,0.6552,0.6609,0.8621
Abert's Towhee,1,29,0.6552,0.7600,0.6552,0.7037,0.8966
Orchard Oriole,3,93,0.6559,0.6675,0.6021,0.6280,0.9032
Cassin's Kingbird,1,35,0.6571,0.8214,0.6571,0.7302,0.9143
Pygmy Nuthatch,1,38,0.6579,0.7353,0.6579,0.6944,0.8421
Royal Tern,1,38,0.6579,0.7143,0.6579,0.6849,0.9211
Black-crested Titmouse,1,33,0.6667,0.7333,0.6667,0.6984,0.9091
Cooper's Hawk,2,117,0.6667,0.5524,0.6658,0.6038,0.9145
Great Black-backed Gull,2,73,0.6712,0.7321,0.6764,0.7027,0.9041
Ladder-backed Woodpecker,1,50,0.6800,0.6667,0.6800,0.6733,1.0000
Glossy Ibis,1,44,0.6818,0.6818,0.6818,0.6818,0.9773
Hermit Thrush,1,60,0.6833,0.8039,0.6833,0.7387,0.9500
Eastern Phoebe,1,60,0.6833,0.7593,0.6833,0.7193,0.8333
Carolina Chickadee,1,58,0.6897,0.5063,0.6897,0.5839,0.9310
Hutton's Vireo,1,39,0.6923,0.5510,0.6923,0.6136,0.9744
Lesser Goldfinch,2,95,0.6947,0.6717,0.6730,0.6723,0.8842
Northern Flicker,2,118,0.6949,0.7217,0.6949,0.7001,0.9576
Ross's Goose,1,23,0.6957,0.4848,0.6957,0.5714,0.9565
Vesper Sparrow,1,60,0.7000,0.6269,0.7000,0.6614,0.9167
Eastern Screech-Owl,1,50,0.7000,0.5932,0.7000,0.6422,1.0000
Crested Caracara,1,54,0.7037,0.9268,0.7037,0.8000,0.8333
Purple Martin,2,71,0.7042,0.7939,0.7040,0.7460,0.8873
Black Scoter,2,41,0.7073,0.6663,0.7237,0.6905,0.8780
White-winged Crossbill,2,52,0.7115,0.7802,0.7188,0.7452,0.9615
Warbling Vireo,1,60,0.7167,0.8431,0.7167,0.7748,0.9167
Lesser Scaup,2,79,0.7215,0.5657,0.7266,0.6329,0.9620
Long-tailed Duck,3,65,0.7231,0.7583,0.6995,0.7277,0.8769
Mottled Duck,1,29,0.7241,0.7778,0.7241,0.7500,0.9655
Band-tailed Pigeon,1,40,0.7250,0.9355,0.7250,0.8169,0.9250
White-throated Swift,1,40,0.7250,0.6905,0.7250,0.7073,0.8750
Northern Gannet,2,80,0.7250,0.6379,0.6833,0.6592,0.9125
Blackburnian Warbler,1,51,0.7255,0.8605,0.7255,0.7872,0.8824
Yellow-bellied Sapsucker,1,59,0.7288,0.5584,0.7288,0.6324,0.9322
Gray-crowned Rosy-Finch,1,37,0.7297,0.7500,0.7297,0.7397,0.9730
Florida Scrub-Jay,1,26,0.7308,0.6129,0.7308,0.6667,1.0000
Mexican Jay,1,26,0.7308,0.7917,0.7308,0.7600,1.0000
Ruby-crowned Kinglet,1,60,0.7333,0.7586,0.7333,0.7458,0.9667
Great Blue Heron,1,60,0.7333,0.8980,0.7333,0.8073,0.9667
Loggerhead Shrike,1,60,0.7333,0.7586,0.7333,0.7458,0.9500
Nuttall's Woodpecker,1,45,0.7333,0.7021,0.7333,0.7174,1.0000
Brown-headed Nuthatch,1,38,0.7368,0.7778,0.7368,0.7568,0.9474
Yellow-rumped Warbler,4,214,0.7383,0.7064,0.7288,0.7168,0.9626
Summer Tanager,3,100,0.7400,0.7535,0.6975,0.7209,0.9400
Cassin's Finch,2,62,0.7419,0.7611,0.6897,0.7230,0.9194
Eurasian Collared-Dove,1,59,0.7458,0.8462,0.7458,0.7928,0.9153
Red-throated Loon,2,59,0.7458,0.6864,0.6853,0.6809,0.9153
Gadwall,2,75,0.7467,0.6105,0.6739,0.6366,0.9467
Bullock's Oriole,2,87,0.7471,0.8715,0.7353,0.7951,0.9195
Northern Mockingbird,1,60,0.7500,0.8491,0.7500,0.7965,0.9167
Common Redpoll,1,40,0.7500,0.6667,0.7500,0.7059,0.9750
Lazuli Bunting,2,68,0.7500,0.7696,0.6611,0.7088,0.9559
Ring-billed Gull,2,96,0.7500,0.6099,0.7278,0.6629,0.9062
Blue-headed Vireo,1,52,0.7500,0.7091,0.7500,0.7290,0.9615
Yellow Warbler,1,60,0.7500,0.8824,0.7500,0.8108,0.9333
Bushtit,1,60,0.7500,0.6716,0.7500,0.7087,0.9333
Verdin,1,32,0.7500,0.8889,0.7500,0.8136,0.8750
White-winged Dove,1,57,0.7544,0.7288,0.7544,0.7414,0.9123
Chipping Sparrow,2,106,0.7547,0.7181,0.7326,0.7252,0.9340
Caspian Tern,1,49,0.7551,0.6607,0.7551,0.7048,0.9796
Mountain Bluebird,1,49,0.7551,0.8043,0.7551,0.7789,0.9592
Western Tanager,2,86,0.7558,0.7714,0.7104,0.7367,0.9767
Ash-throated Flycatcher,1,41,0.7561,0.7949,0.7561,0.7750,0.9512
Golden-fronted Woodpecker,1,33,0.7576,0.7353,0.7576,0.7463,0.9697
Swallow-tailed Kite,1,29,0.7586,0.6875,0.7586,0.7213,0.9655
Rock Pigeon,1,58,0.7586,0.9565,0.7586,0.8462,0.8621
Orange-crowned Warbler,1,58,0.7586,0.6567,0.7586,0.7040,0.9655
Sandhill Crane,1,25,0.7600,0.7917,0.7600,0.7755,0.8800
Cinnamon Teal,2,75,0.7600,0.9722,0.6136,0.6987,0.9067
Curve-billed Thrasher,1,46,0.7609,0.8333,0.7609,0.7955,0.9565
Wood Thrush,1,46,0.7609,0.8537,0.7609,0.8046,0.8913
Western Grebe,1,42,0.7619,0.8649,0.7619,0.8101,0.9762
Eared Grebe,2,80,0.7625,0.8331,0.7588,0.7931,0.9125
Yellow-throated Vireo,1,38,0.7632,0.8529,0.7632,0.8056,0.9211
Anna's Hummingbird,2,106,0.7642,0.6247,0.7621,0.6851,0.9717
Marsh Wren,1,60,0.7667,0.8364,0.7667,0.8000,0.9167
Northern Parula,1,60,0.7667,0.8070,0.7667,0.7863,0.9167
Red-necked Grebe,2,60,0.7667,0.8037,0.7653,0.7770,0.8500
Forster's Tern,1,60,0.7667,0.5897,0.7667,0.6667,0.9833
Western Scrub-Jay,1,60,0.7667,0.7667,0.7667,0.7667,1.0000
Blackpoll Warbler,2,103,0.7670,0.7272,0.7769,0.7513,0.9515
Black Rosy-Finch,1,26,0.7692,0.8000,0.7692,0.7843,0.9615
Laughing Gull,2,104,0.7692,0.7714,0.7518,0.7531,0.9615
Surf Scoter,2,61,0.7705,0.7067,0.7303,0.7182,0.9344
California Towhee,1,44,0.7727,0.6800,0.7727,0.7234,0.9545
Redhead,2,44,0.7727,0.6595,0.7603,0.7062,0.8864
Northern Pintail,2,66,0.7727,0.8055,0.7589,0.7815,0.8788
Fox Sparrow,3,119,0.7731,0.7771,0.6404,0.6496,0.9748
Snowy Egret,1,49,0.7755,0.8636,0.7755,0.8172,1.0000
Bonaparte's Gull,1,58,0.7759,0.7377,0.7759,0.7563,0.9138
Gray Jay,1,54,0.7778,0.9130,0.7778,0.8400,0.8889
Yellow-billed Magpie,1,27,0.7778,0.9545,0.7778,0.8571,1.0000
Horned Grebe,2,95,0.7789,0.7933,0.7714,0.7815,0.9579
Blue-winged Teal,2,59,0.7797,0.7792,0.6702,0.7170,0.9492
Rufous-crowned Sparrow,1,41,0.7805,0.7442,0.7805,0.7619,0.9024
Bronzed Cowbird,1,32,0.7812,0.6944,0.7812,0.7353,0.9375
Willet,1,60,0.7833,0.7833,0.7833,0.7833,0.9500
Swamp Sparrow,1,60,0.7833,0.8246,0.7833,0.8034,0.9333
Mourning Dove,1,60,0.7833,0.8393,0.7833,0.8103,0.9500
Semipalmated Sandpiper,1,60,0.7833,0.6912,0.7833,0.7344,1.0000
Northern Shrike,1,60,0.7833,0.6438,0.7833,0.7068,0.9667
Common Loon,2,120,0.7833,0.8015,0.7833,0.7846,0.9000
Downy Woodpecker,1,60,0.7833,0.6812,0.7833,0.7287,0.9667
Scissor-tailed Flycatcher,1,37,0.7838,0.8056,0.7838,0.7945,0.9189
Townsend's Solitaire,1,37,0.7838,0.6304,0.7838,0.6988,0.9459
