true_class,pred_class,count,same_species,same_order
Red-naped Sapsucker,Yellow-bellied Sapsucker,25,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),24,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",22,False,True
Hairy Woodpecker,Downy Woodpecker,21,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),19,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),19,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),17,True,True
Greater Yellowlegs,Lesser Yellowlegs,17,False,True
Western Screech-Owl,Eastern Screech-Owl,17,False,True
Western Wood-Pewee,Eastern Wood-Pewee,16,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,16,False,True
Eastern Meadowlark,Western Meadowlark,16,False,True
Eastern Wood-Pewee,Western Wood-Pewee,16,False,True
Pacific Wren,Winter Wren,16,False,True
Cave Swallow,Cliff Swallow,15,False,True
Chihuahuan Raven,Common Raven,15,False,True
Lesser Yellowlegs,Greater Yellowlegs,15,False,True
Black-capped Chickadee,Carolina Chickadee,15,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),15,False,True
Boreal Chickadee,Chestnut-backed Chickadee,15,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",15,False,True
Hooded Oriole (Female/Immature male),Orchard Oriole (Female/Juvenile),14,False,True
Tundra Swan,Trumpeter Swan,14,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),14,False,True
Great-tailed Grackle,Boat-tailed Grackle,14,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),14,True,True
Common Tern,Forster's Tern,14,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),13,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),13,False,True
Western Sandpiper,Semipalmated Sandpiper,13,False,True
Cassin's Vireo,Blue-headed Vireo,13,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),13,False,True
Golden Eagle (Immature),Golden Eagle (Adult),12,True,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),12,False,True
Eastern Screech-Owl,Western Screech-Owl,12,False,True
Hoary Redpoll,Common Redpoll,12,False,True
Chimney Swift,Vaux's Swift,12,False,True
Boat-tailed Grackle,Great-tailed Grackle,11,False,True
White-faced Ibis,Glossy Ibis,11,False,True
Carolina Chickadee,Black-capped Chickadee,11,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",11,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",11,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),11,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),11,False,True
Plumbeous Vireo,Cassin's Vireo,11,False,True
Yellow-rumped Warbler (Winter/juvenile Myrtle),Yellow-rumped Warbler (Winter/juvenile Audubon's),10,True,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",10,False,True
American Crow,Fish Crow,9,False,True
Bank Swallow,Northern Rough-winged Swallow,9,False,True
Mourning Warbler,Nashville Warbler,9,False,True
Broad-tailed Hummingbird (Adult Male),Ruby-throated Hummingbird (Adult Male),9,False,True
Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow (Sooty),9,True,True
European Starling (Breeding Adult),European Starling (Nonbreeding Adult),9,True,True
Glaucous-winged Gull (Immature),Herring Gull (Immature),8,False,True
Lesser Scaup (Breeding male),Greater Scaup (Breeding male),8,False,True
Snow Goose (White morph),Ross's Goose,8,False,True
Black-crested Titmouse,Tufted Titmouse,8,False,True
Northwestern Crow,American Crow,8,False,True
Hermit Thrush,Swainson's Thrush,8,False,True
Northern Harrier (Adult male),"Northern Harrier (Female, immature)",8,True,True
