class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,2,8,25,0.2000,0.0741,0.1081,0.0741,0.9259,Common Raven (15)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,2,3,28,0.4000,0.0667,0.1143,0.0667,0.7333,Lesser Scaup (Female/Eclipse male) (24)
351,Bank Swallow,Bank Swallow,Perching Birds,27,2,0,25,1.0000,0.0741,0.1379,0.0741,0.5926,Northern Rough-winged Swallow (9)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,2,0,23,1.0000,0.0800,0.1481,0.0800,0.9200,Common Goldeneye (Female/Eclipse male) (19)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,4,2,37,0.6667,0.0976,0.1702,0.0976,0.8049,"Rufous Hummingbird (Female, immature) (22)"
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,4,10,22,0.2857,0.1538,0.2000,0.1538,0.6154,Herring Gull (Immature) (7)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,0,8,1.0000,0.1111,0.2000,0.1111,0.8889,Dark-eyed Junco (Slate-colored) (7)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,4,10,20,0.2857,0.1667,0.2105,0.1667,0.5833,Red-tailed Hawk (Light morph immature) (7)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,5,15,16,0.2500,0.2381,0.2439,0.2381,0.8095,"Anna's Hummingbird (Female, immature) (6)"
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,9,22,27,0.2903,0.2500,0.2687,0.2500,0.8611,Blue-headed Vireo (13)
377,Pacific Wren,Pacific Wren,Perching Birds,21,4,1,17,0.8000,0.1905,0.3077,0.1905,0.8571,Winter Wren (16)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,3,0,13,1.0000,0.1875,0.3158,0.1875,0.8750,Fox Sparrow (Sooty) (9)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,8,14,17,0.3636,0.3200,0.3404,0.3200,0.8400,California Gull (Adult) (5)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,19,31,40,0.3800,0.3220,0.3486,0.3220,0.7966,"Ruby-throated Hummingbird (Female, immature) (15)"
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,12,26,17,0.3158,0.4138,0.3582,0.4138,0.8966,"Calliope Hummingbird (Female, immature) (11)"
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,7,7,17,0.5000,0.2917,0.3684,0.2917,0.7917,Double-crested Cormorant (Immature) (13)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,9,4,26,0.6923,0.2571,0.3750,0.2571,0.7429,Forster's Tern (6)
217,Gadwall (Female/Eclipse male),Gadwall,"Ducks, Geese, and Swans",19,7,10,12,0.4118,0.3684,0.3889,0.3684,0.8421,Mallard (Female/Eclipse male) (5)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,20,29,29,0.4082,0.4082,0.4082,0.4082,0.8980,Eastern Wood-Pewee (16)
344,Fish Crow,Fish Crow,Perching Birds,30,14,24,16,0.3684,0.4667,0.4118,0.4667,0.8000,American Crow (6)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,8,9,11,0.4706,0.4211,0.4444,0.4211,0.9474,American Crow (8)
353,Cave Swallow,Cave Swallow,Perching Birds,34,13,11,21,0.5417,0.3824,0.4483,0.3824,0.8529,Cliff Swallow (15)
553,Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler,Perching Birds,44,21,27,23,0.4375,0.4773,0.4565,0.4773,0.9545,Yellow-rumped Warbler (Breeding Audubon's) (14)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,14,9,24,0.6087,0.3684,0.4590,0.3684,0.7368,Double-crested Cormorant (Immature) (7)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,12,10,18,0.5455,0.4000,0.4615,0.4000,0.8000,Swainson's Hawk (Dark morph ) (4)
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,9,8,13,0.5294,0.4091,0.4615,0.4091,0.8636,Herring Gull (Immature) (8)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,10,5,18,0.6667,0.3571,0.4651,0.3571,1.0000,Trumpeter Swan (14)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,17,24,14,0.4146,0.5484,0.4722,0.5484,0.9355,Pacific-slope Flycatcher (7)
535,Hooded Oriole (Female/Immature male),Hooded Oriole,Perching Birds,35,13,6,22,0.6842,0.3714,0.4815,0.3714,0.9714,Orchard Oriole (Female/Juvenile) (14)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,23,22,25,0.5111,0.4792,0.4946,0.4792,0.8958,"Broad-tailed Hummingbird (Female, immature) (11)"
468,Eastern Wood-Pewee,Eastern Wood-Pewee,Perching Birds,49,28,35,21,0.4444,0.5714,0.5000,0.5714,0.9592,Western Wood-Pewee (16)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,17,20,13,0.4595,0.5667,0.5075,0.5667,0.8667,Swainson's Hawk (Light morph ) (4)
177,Western Screech-Owl,Western Screech-Owl,Owls,34,16,13,18,0.5517,0.4706,0.5079,0.4706,0.9706,Eastern Screech-Owl (17)
501,American Crow,American Crow,Perching Birds,57,29,27,28,0.5179,0.5088,0.5133,0.5088,0.8772,Fish Crow (9)
210,Herring Gull (Immature),Herring Gull,"Gulls, Terns, and Allies",44,26,31,18,0.4561,0.5909,0.5149,0.5909,0.9318,Western Gull (Immature) (6)
281,"Rufous Hummingbird (Female, immature)",Rufous Hummingbird,Swifts and Hummingbirds,37,24,31,13,0.4364,0.6486,0.5217,0.6486,0.9459,"Calliope Hummingbird (Female, immature) (4)"
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,16,17,12,0.4848,0.5714,0.5246,0.5714,0.9643,Chimney Swift (7)
266,Peregrine Falcon (Immature),Peregrine Falcon,Caracaras and Falcons,31,15,11,16,0.5769,0.4839,0.5263,0.4839,0.7742,Merlin (3)
262,Broad-winged Hawk (Immature),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",29,13,7,16,0.6500,0.4483,0.5306,0.4483,0.7586,Red-shouldered Hawk (Immature) (6)
