order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6502,0.6506,0.6259,0.6224,0.9340
"Hawks, Kites, Eagles, and Allies",29,1260,0.7167,0.6999,0.6856,0.6857,0.9119
"Gulls, Terns, and Allies",26,1038,0.7235,0.7070,0.6901,0.6908,0.9412
Skuas and Alcids,4,91,0.7253,0.7703,0.6759,0.7141,0.9231
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7592,0.7035,0.7066,0.6914,0.9312
Caracaras and Falcons,7,346,0.7717,0.8452,0.7453,0.7876,0.9075
Loons,6,226,0.8097,0.8308,0.7616,0.7831,0.9469
"Ducks, Geese, and Swans",70,2420,0.8248,0.8236,0.7907,0.7913,0.9636
Woodpeckers,16,843,0.8458,0.8546,0.8390,0.8416,0.9775
Perching Birds,265,12539,0.8520,0.8468,0.8292,0.8294,0.9642
Cranes and Rails,6,200,0.8650,0.9074,0.7691,0.8132,0.9450
Owls,9,426,0.8709,0.8534,0.8577,0.8534,0.9648
Grebes,9,375,0.8747,0.8757,0.8671,0.8694,0.9627
Cuckoos,3,113,0.8761,0.9199,0.8708,0.8924,0.9558
"Pelicans, Herons, Ibises, and Allies",21,983,0.8911,0.8867,0.8767,0.8786,0.9827
"Plovers, Sandpipers, and Allies",32,1573,0.9078,0.9082,0.9046,0.9035,0.9879
Pigeons and Doves,7,359,0.9081,0.9258,0.9048,0.9146,0.9833
Storks,1,56,0.9286,0.9630,0.9286,0.9455,1.0000
"Grouse, Quail, and Allies",10,342,0.9474,0.9633,0.9223,0.9409,0.9912
Nightjars,1,39,0.9487,0.9250,0.9487,0.9367,0.9744
Parrots,1,28,0.9643,0.9643,0.9643,0.9643,1.0000
Kingfishers and Allies,1,60,0.9667,0.9355,0.9667,0.9508,0.9833
