species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0741,0.2000,0.0741,0.1081,0.9259
Bank Swallow,1,27,0.0741,1.0000,0.0741,0.1379,0.5926
Pacific Wren,1,21,0.1905,0.8000,0.1905,0.3077,0.8571
Cassin's Vireo,1,36,0.2500,0.2903,0.2500,0.2687,0.8611
Black Tern,1,35,0.2571,0.6923,0.2571,0.3750,0.7429
Greater Scaup,2,73,0.3151,0.5387,0.2775,0.3409,0.7945
Tundra Swan,1,28,0.3571,0.6667,0.3571,0.4651,1.0000
Barrow's Goldeneye,2,60,0.3667,0.9762,0.3257,0.4312,0.9333
Neotropic Cormorant,1,38,0.3684,0.6087,0.3684,0.4590,0.7368
Cave Swallow,1,34,0.3824,0.5417,0.3824,0.4483,0.8529
Western Wood-Pewee,1,49,0.4082,0.4082,0.4082,0.4082,0.8980
Northwestern Crow,1,19,0.4211,0.4706,0.4211,0.4444,0.9474
Great Cormorant,2,64,0.4375,0.6250,0.4083,0.4930,0.8438
Bell's Vireo,1,29,0.4483,0.6842,0.4483,0.5417,0.7586
California Gull,2,66,0.4545,0.4961,0.4283,0.4597,0.9091
Mourning Warbler,1,52,0.4615,0.8000,0.4615,0.5854,0.8077
Fish Crow,1,30,0.4667,0.3684,0.4667,0.4118,0.8000
Western Screech-Owl,1,34,0.4706,0.5517,0.4706,0.5079,0.9706
Boreal Chickadee,1,42,0.4762,1.0000,0.4762,0.6452,0.8095
Allen's Hummingbird,2,101,0.4851,0.6742,0.4238,0.4422,0.9208
Cackling Goose,1,14,0.5000,1.0000,0.5000,0.6667,1.0000
Boat-tailed Grackle,1,60,0.5000,0.5660,0.5000,0.5310,0.8500
Red-naped Sapsucker,1,54,0.5000,0.6923,0.5000,0.5806,0.9815
Swainson's Hawk,3,93,0.5054,0.4706,0.4667,0.4616,0.8065
American Crow,1,57,0.5088,0.5179,0.5088,0.5133,0.8772
Hoary Redpoll,1,29,0.5172,0.6818,0.5172,0.5882,0.9310
Mew Gull,1,23,0.5217,0.6316,0.5217,0.5714,0.8261
Broad-winged Hawk,2,55,0.5273,0.5831,0.5318,0.5460,0.8364
Black Guillemot,2,32,0.5312,0.7098,0.5583,0.6206,0.9062
Broad-tailed Hummingbird,2,73,0.5479,0.6246,0.5251,0.5575,0.8904
Cordilleran Flycatcher,1,31,0.5484,0.4146,0.5484,0.4722,0.9355
Black-chinned Hummingbird,2,109,0.5505,0.6262,0.5710,0.5970,0.8716
Golden Eagle,2,72,0.5556,0.5833,0.5429,0.5511,0.8889
Plumbeous Vireo,1,41,0.5610,0.6053,0.5610,0.5823,0.9268
Vaux's Swift,1,28,0.5714,0.4848,0.5714,0.5246,0.9643
Eastern Wood-Pewee,1,49,0.5714,0.4444,0.5714,0.5000,0.9592
Eastern Meadowlark,1,40,0.5750,0.7419,0.5750,0.6479,0.9750
Chimney Swift,1,33,0.5758,0.6129,0.5758,0.5938,0.9697
Black-crested Titmouse,1,33,0.5758,0.8261,0.5758,0.6786,0.9697
Western Gull,2,59,0.5763,0.5714,0.5315,0.5412,0.8305
Pacific-slope Flycatcher,1,59,0.5763,0.7083,0.5763,0.6355,0.9153
Hairy Woodpecker,1,60,0.5833,0.8140,0.5833,0.6796,0.9833
Glaucous-winged Gull,2,60,0.5833,0.6471,0.5467,0.5919,0.9333
Rufous Hummingbird,2,87,0.5862,0.5250,0.5943,0.5481,0.9655
Western Sandpiper,1,51,0.5882,0.8108,0.5882,0.6818,1.0000
Peregrine Falcon,2,77,0.5974,0.7074,0.5789,0.6367,0.8571
Mississippi Kite,1,50,0.6200,0.7381,0.6200,0.6739,0.8400
Costa's Hummingbird,2,58,0.6207,0.5125,0.5380,0.5245,0.9138
Brewer's Blackbird,2,91,0.6264,0.6548,0.6075,0.6288,0.9121
Red-shouldered Hawk,2,76,0.6316,0.6644,0.6316,0.6446,0.9211
Lesser Yellowlegs,1,60,0.6333,0.6441,0.6333,0.6387,0.9833
Great-tailed Grackle,1,60,0.6333,0.6333,0.6333,0.6333,0.9500
Red Crossbill,2,59,0.6441,0.8500,0.6647,0.7333,0.8644
White-faced Ibis,1,34,0.6471,0.7586,0.6471,0.6984,0.9706
Common Tern,1,60,0.6500,0.7500,0.6500,0.6964,0.9333
Hooded Oriole,2,78,0.6538,0.8055,0.6276,0.6931,0.9744
Greater Yellowlegs,1,59,0.6610,0.6842,0.6610,0.6724,1.0000
Calliope Hummingbird,2,89,0.6629,0.7171,0.6786,0.6973,0.9213
Least Flycatcher,1,60,0.6667,0.6667,0.6667,0.6667,0.9333
Black-capped Chickadee,1,60,0.6667,0.7143,0.6667,0.6897,0.9167
Prairie Falcon,1,42,0.6667,0.9032,0.6667,0.7671,0.8810
White-winged Scoter,2,57,0.6667,0.7338,0.6648,0.6898,0.8596
Rough-legged Hawk,2,64,0.6719,0.7680,0.6292,0.6893,0.9062
MacGillivray's Warbler,1,46,0.6739,0.8158,0.6739,0.7381,1.0000
Cooper's Hawk,2,117,0.6752,0.6274,0.6754,0.6505,0.9573
Trumpeter Swan,1,37,0.6757,0.6098,0.6757,0.6410,0.9459
Juniper Titmouse,1,25,0.6800,0.7727,0.6800,0.7234,0.8800
Brewer's Sparrow,1,35,0.6857,0.7742,0.6857,0.7273,0.8857
