class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,3,9,23,0.2500,0.1154,0.1579,0.1154,0.6923,Herring Gull (Immature) (6)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,0,8,1.0000,0.1111,0.2000,0.1111,0.8889,Dark-eyed Junco (Slate-colored) (8)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,4,0,21,1.0000,0.1600,0.2759,0.1600,1.0000,Common Goldeneye (Female/Eclipse male) (17)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,6,8,19,0.4286,0.2400,0.3077,0.2400,0.8800,Ring-billed Gull (Immature) (5)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,7,9,20,0.4375,0.2593,0.3256,0.2593,0.9259,Common Raven (16)
377,Pacific Wren,Pacific Wren,Perching Birds,21,5,0,16,1.0000,0.2381,0.3846,0.2381,0.9524,Winter Wren (15)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,13,21,16,0.3824,0.4483,0.4127,0.4483,0.8621,"Calliope Hummingbird (Female, immature) (9)"
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,8,9,11,0.4706,0.4211,0.4444,0.4211,1.0000,American Crow (8)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,10,4,20,0.7143,0.3333,0.4545,0.3333,0.8333,Lesser Scaup (Female/Eclipse male) (15)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,22,26,26,0.4583,0.4583,0.4583,0.4583,0.9375,"Broad-tailed Hummingbird (Female, immature) (15)"
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,9,8,12,0.5294,0.4286,0.4737,0.4286,1.0000,"Black-chinned Hummingbird (Female, immature) (6)"
344,Fish Crow,Fish Crow,Perching Birds,30,13,11,17,0.5417,0.4333,0.4815,0.4333,0.9000,American Crow (7)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,12,8,16,0.6000,0.4286,0.5000,0.4286,1.0000,Trumpeter Swan (16)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,33,35,26,0.4853,0.5593,0.5197,0.5593,0.8475,"Ruby-throated Hummingbird (Female, immature) (8)"
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,17,10,21,0.6296,0.4474,0.5231,0.4474,0.9211,Double-crested Cormorant (Immature) (9)
351,Bank Swallow,Bank Swallow,Perching Birds,27,10,1,17,0.9091,0.3704,0.5263,0.3704,0.9630,Northern Rough-winged Swallow (7)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,11,6,13,0.6471,0.4583,0.5366,0.4583,0.9167,Red-tailed Hawk (Light morph immature) (5)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,11,6,13,0.6471,0.4583,0.5366,0.4583,0.8750,Double-crested Cormorant (Immature) (7)
281,"Rufous Hummingbird (Female, immature)",Rufous Hummingbird,Swifts and Hummingbirds,37,24,28,13,0.4615,0.6486,0.5393,0.6486,1.0000,"Calliope Hummingbird (Female, immature) (7)"
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,17,5,24,0.7727,0.4146,0.5397,0.4146,0.9756,"Rufous Hummingbird (Female, immature) (19)"
177,Western Screech-Owl,Western Screech-Owl,Owls,34,17,11,17,0.6071,0.5000,0.5484,0.5000,1.0000,Eastern Screech-Owl (17)
262,Broad-winged Hawk (Immature),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",29,13,5,16,0.7222,0.4483,0.5532,0.4483,0.8966,Red-shouldered Hawk (Immature) (6)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,19,13,17,0.5938,0.5278,0.5588,0.5278,0.9722,Blue-headed Vireo (10)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,19,21,9,0.4750,0.6786,0.5588,0.6786,0.9643,Chimney Swift (7)
501,American Crow,American Crow,Perching Birds,57,33,28,24,0.5410,0.5789,0.5593,0.5789,0.9474,Common Raven (11)
41,Great Cormorant (Adult),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",40,20,10,20,0.6667,0.5000,0.5714,0.5000,0.9000,Double-crested Cormorant (Adult) (9)
553,Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler,Perching Birds,44,27,23,17,0.5400,0.6136,0.5745,0.6136,1.0000,Yellow-rumped Warbler (Breeding Audubon's) (9)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,23,26,8,0.4694,0.7419,0.5750,0.7419,0.9677,Least Flycatcher (3)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,15,11,11,0.5769,0.5769,0.5769,0.5769,0.9615,Hooded Oriole (Female/Immature male) (6)
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,13,10,9,0.5652,0.5909,0.5778,0.5909,0.9545,Herring Gull (Immature) (6)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,7,1,9,0.8750,0.4375,0.5833,0.4375,1.0000,Fox Sparrow (Sooty) (8)
346,Common Raven,Common Raven,Perching Birds,57,38,32,19,0.5429,0.6667,0.5984,0.6667,0.9474,American Crow (9)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,18,12,12,0.6000,0.6000,0.6000,0.6000,0.9667,Swainson's Hawk (Light morph ) (5)
18,Greater Scaup (Breeding male),Greater Scaup,"Ducks, Geese, and Swans",43,19,1,24,0.9500,0.4419,0.6032,0.4419,0.9535,Lesser Scaup (Breeding male) (22)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,29,16,20,0.6444,0.5918,0.6170,0.5918,1.0000,Eastern Wood-Pewee (17)
362,Juniper Titmouse,Juniper Titmouse,Perching Birds,25,13,4,12,0.7647,0.5200,0.6190,0.5200,0.9600,Oak Titmouse (8)
186,Chimney Swift,Chimney Swift,Swifts and Hummingbirds,33,19,9,14,0.6786,0.5758,0.6230,0.5758,1.0000,Vaux's Swift (14)
535,Hooded Oriole (Female/Immature male),Hooded Oriole,Perching Birds,35,20,8,15,0.7143,0.5714,0.6349,0.5714,1.0000,Orchard Oriole (Female/Juvenile) (9)
275,"Ruby-throated Hummingbird (Female, immature)",Ruby-throated Hummingbird,Swifts and Hummingbirds,60,35,15,25,0.7000,0.5833,0.6364,0.5833,0.9667,"Black-chinned Hummingbird (Female, immature) (15)"
468,Eastern Wood-Pewee,Eastern Wood-Pewee,Perching Birds,49,33,21,16,0.6111,0.6735,0.6408,0.6735,0.9796,Western Wood-Pewee (11)
261,Red-shouldered Hawk (Immature),Red-shouldered Hawk,"Hawks, Kites, Eagles, and Allies",38,27,19,11,0.5870,0.7105,0.6429,0.7105,0.9737,Red-shouldered Hawk (Adult ) (4)
195,Red-naped Sapsucker,Red-naped Sapsucker,Woodpeckers,54,29,6,25,0.8286,0.5370,0.6517,0.5370,1.0000,Yellow-bellied Sapsucker (22)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,26,12,15,0.6842,0.6341,0.6582,0.6341,0.9512,Ring-billed Gull (Adult) (8)
210,Herring Gull (Immature),Herring Gull,"Gulls, Terns, and Allies",44,30,17,14,0.6383,0.6818,0.6593,0.6818,0.9091,Ring-billed Gull (Immature) (6)
457,Boat-tailed Grackle,Boat-tailed Grackle,Perching Birds,60,37,14,23,0.7255,0.6167,0.6667,0.6167,0.9333,Great-tailed Grackle (15)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,19,8,11,0.7037,0.6333,0.6667,0.6333,0.9667,Rough-legged Hawk (Dark morph) (5)
