order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.7184,0.7091,0.7032,0.6998,0.9703
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7961,0.7790,0.7648,0.7647,0.9656
Skuas and Alcids,4,91,0.8022,0.8080,0.7433,0.7611,0.9560
"Hawks, Kites, Eagles, and Allies",29,1260,0.8151,0.8107,0.7947,0.7972,0.9802
"Gulls, Terns, and Allies",26,1038,0.8285,0.8003,0.7985,0.7948,0.9721
Loons,6,226,0.8584,0.8537,0.8352,0.8414,0.9823
"Ducks, Geese, and Swans",70,2420,0.8967,0.9004,0.8751,0.8765,0.9913
Caracaras and Falcons,7,346,0.9017,0.9059,0.8839,0.8931,0.9740
Grebes,9,375,0.9120,0.9158,0.9021,0.9069,0.9893
Woodpeckers,16,843,0.9134,0.9194,0.9159,0.9148,0.9964
Perching Birds,265,12539,0.9155,0.9125,0.8981,0.8998,0.9901
Owls,9,426,0.9225,0.9137,0.9090,0.9102,0.9930
Cranes and Rails,6,200,0.9300,0.9205,0.8620,0.8788,0.9950
"Plovers, Sandpipers, and Allies",32,1573,0.9402,0.9491,0.9388,0.9422,0.9949
"Pelicans, Herons, Ibises, and Allies",21,983,0.9522,0.9531,0.9420,0.9459,0.9929
Cuckoos,3,113,0.9558,0.9568,0.9479,0.9486,1.0000
"Grouse, Quail, and Allies",10,342,0.9708,0.9514,0.9559,0.9533,0.9942
Pigeons and Doves,7,359,0.9721,0.9778,0.9732,0.9753,0.9972
Nightjars,1,39,0.9744,1.0000,0.9744,0.9870,0.9744
Kingfishers and Allies,1,60,0.9833,1.0000,0.9833,0.9916,1.0000
Storks,1,56,1.0000,0.9655,1.0000,0.9825,1.0000
Parrots,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
