species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Pacific Wren,1,21,0.2381,1.0000,0.2381,0.3846,0.9524
Chihuahuan Raven,1,27,0.2593,0.4375,0.2593,0.3256,0.9259
Bank Swallow,1,27,0.3704,0.9091,0.3704,0.5263,0.9630
Greater Scaup,2,73,0.3973,0.8321,0.3876,0.5289,0.9041
Northwestern Crow,1,19,0.4211,0.4706,0.4211,0.4444,1.0000
Tundra Swan,1,28,0.4286,0.6000,0.4286,0.5000,1.0000
Barrow's Goldeneye,2,60,0.4333,1.0000,0.3943,0.5239,1.0000
Fish Crow,1,30,0.4333,0.5417,0.4333,0.4815,0.9000
Neotropic Cormorant,1,38,0.4474,0.6296,0.4474,0.5231,0.9211
Great Cormorant,2,64,0.4844,0.6569,0.4792,0.5540,0.8906
California Gull,2,66,0.4848,0.5564,0.4371,0.4830,0.9242
Western Screech-Owl,1,34,0.5000,0.6071,0.5000,0.5484,1.0000
Juniper Titmouse,1,25,0.5200,0.7647,0.5200,0.6190,0.9600
Cassin's Vireo,1,36,0.5278,0.5938,0.5278,0.5588,0.9722
Red-naped Sapsucker,1,54,0.5370,0.8286,0.5370,0.6517,1.0000
Broad-winged Hawk,2,55,0.5455,0.7307,0.5511,0.6235,0.9273
Chimney Swift,1,33,0.5758,0.6786,0.5758,0.6230,1.0000
Western Gull,2,59,0.5763,0.5947,0.5274,0.5486,0.8644
American Crow,1,57,0.5789,0.5410,0.5789,0.5593,0.9474
Western Wood-Pewee,1,49,0.5918,0.6444,0.5918,0.6170,1.0000
Allen's Hummingbird,2,101,0.5941,0.7845,0.5657,0.6470,0.9901
Mourning Warbler,1,52,0.5962,0.9118,0.5962,0.7209,0.9423
Black-capped Chickadee,1,60,0.6000,0.9231,0.6000,0.7273,0.9500
Boat-tailed Grackle,1,60,0.6167,0.7255,0.6167,0.6667,0.9333
Swainson's Hawk,3,93,0.6237,0.6701,0.6006,0.6299,0.9677
Greater Yellowlegs,1,59,0.6441,0.7451,0.6441,0.6909,1.0000
Brown-capped Rosy-Finch,1,34,0.6471,0.8462,0.6471,0.7333,0.9706
Western Sandpiper,1,51,0.6471,0.8250,0.6471,0.7253,0.9804
Calliope Hummingbird,2,89,0.6517,0.6907,0.6682,0.6792,0.9663
Mew Gull,1,23,0.6522,0.8333,0.6522,0.7317,0.9130
Black Guillemot,2,32,0.6562,0.7830,0.6750,0.7098,0.9062
Pacific-slope Flycatcher,1,59,0.6610,0.7959,0.6610,0.7222,0.9831
Common Raven,1,57,0.6667,0.5429,0.6667,0.5984,0.9474
Least Flycatcher,1,60,0.6667,0.8000,0.6667,0.7273,0.9500
Eastern Wood-Pewee,1,49,0.6735,0.6111,0.6735,0.6408,0.9796
Vaux's Swift,1,28,0.6786,0.4750,0.6786,0.5588,0.9643
Black-chinned Hummingbird,2,109,0.6881,0.6544,0.6997,0.6757,0.8991
Costa's Hummingbird,2,58,0.6897,0.6522,0.6332,0.6394,1.0000
