true_class,pred_class,count,same_species,same_order
Hairy Woodpecker,Downy Woodpecker,29,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),28,False,True
Black-capped Chickadee,Carolina Chickadee,23,False,True
Greater Yellowlegs,Lesser Yellowlegs,20,False,True
Western Wood-Pewee,Eastern Wood-Pewee,18,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),17,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),17,False,True
Western Grebe,Clark's Grebe,16,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),16,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),16,False,True
Caspian Tern,Royal Tern,15,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),15,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,15,False,True
Eastern Meadowlark,Western Meadowlark,14,False,True
Common Raven,American Crow,14,False,True
Fish Crow,American Crow,14,False,True
Louisiana Waterthrush,Northern Waterthrush,14,False,True
Western Sandpiper,Semipalmated Sandpiper,14,False,True
Boat-tailed Grackle,Great-tailed Grackle,14,False,True
Northern Flicker (Yellow-shafted),Northern Flicker (Red-shafted),13,True,True
Tundra Swan,Trumpeter Swan,13,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),13,True,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),13,False,True
Boreal Chickadee,Chestnut-backed Chickadee,13,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",13,False,True
Common Tern,Forster's Tern,13,False,True
Chihuahuan Raven,Common Raven,13,False,True
Pacific Wren,Winter Wren,12,False,True
Forster's Tern,Common Tern,12,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),12,True,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",12,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),12,False,True
Cave Swallow,Cliff Swallow,12,False,True
Cassin's Vireo,Blue-headed Vireo,12,False,True
California Gull (Adult),Herring Gull (Adult),12,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),12,True,True
Trumpeter Swan,Mute Swan,11,False,True
Mourning Warbler,MacGillivray's Warbler,11,False,True
Gray-crowned Rosy-Finch,Brown-capped Rosy-Finch,11,False,True
White-faced Ibis,Glossy Ibis,11,False,True
Ladder-backed Woodpecker,Nuttall's Woodpecker,11,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",11,False,True
Glaucous-winged Gull (Immature),Herring Gull (Immature),11,False,True
American Crow,Common Raven,11,False,True
Hooded Oriole (Female/Immature male),Orchard Oriole (Female/Juvenile),11,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),10,False,True
Lesser Yellowlegs,Greater Yellowlegs,10,False,True
Great-tailed Grackle,Boat-tailed Grackle,10,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",10,False,True
Northwestern Crow,American Crow,10,False,True
Golden-fronted Woodpecker,Red-bellied Woodpecker,10,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),10,False,True
"Anna's Hummingbird (Female, immature)","Costa's Hummingbird (Female, immature)",10,False,True
Red-bellied Woodpecker,Golden-fronted Woodpecker,10,False,True
Eastern Screech-Owl,Western Screech-Owl,10,False,True
Western Screech-Owl,Eastern Screech-Owl,10,False,True
MacGillivray's Warbler,Nashville Warbler,10,False,True
Gila Woodpecker,Golden-fronted Woodpecker,9,False,True
Juniper Titmouse,Oak Titmouse,9,False,True
Brandt's Cormorant,Pelagic Cormorant,9,False,True
