class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,1,9,26,0.1000,0.0370,0.0541,0.0370,0.8148,Common Raven (13)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,2,2,28,0.5000,0.0667,0.1176,0.0667,0.6667,Lesser Scaup (Female/Eclipse male) (17)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,3,14,23,0.1765,0.1154,0.1395,0.1154,0.6538,Herring Gull (Immature) (8)
344,Fish Crow,Fish Crow,Perching Birds,30,4,17,26,0.1905,0.1333,0.1569,0.1333,0.8000,American Crow (14)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,4,19,21,0.1739,0.1600,0.1667,0.1600,0.5600,Ring-billed Gull (Immature) (5)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,4,19,17,0.1739,0.1905,0.1818,0.1905,0.9048,"Ruby-throated Hummingbird (Female, immature) (5)"
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,3,11,16,0.2143,0.1579,0.1818,0.1579,0.9474,American Crow (10)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,0,8,1.0000,0.1111,0.2000,0.1111,0.8889,Dark-eyed Junco (Slate-colored) (6)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,8,31,33,0.2051,0.1951,0.2000,0.1951,0.6098,Herring Gull (Adult) (12)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,6,17,30,0.2609,0.1667,0.2034,0.1667,0.8611,Blue-headed Vireo (12)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,4,11,20,0.2667,0.1667,0.2051,0.1667,0.7083,Red-tailed Hawk (Light morph immature) (7)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,2,0,14,1.0000,0.1250,0.2222,0.1250,0.7500,Fox Sparrow (Sooty) (9)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,6,9,29,0.4000,0.1714,0.2400,0.1714,0.6000,American Crow (3)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,5,12,19,0.2941,0.2083,0.2439,0.2083,0.7500,Double-crested Cormorant (Immature) (10)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,7,19,23,0.2692,0.2333,0.2500,0.2333,0.6000,Swainson's Hawk (Dark morph ) (5)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,9,32,17,0.2195,0.3462,0.2687,0.3462,0.8846,Hooded Oriole (Female/Immature male) (4)
351,Bank Swallow,Bank Swallow,Perching Birds,27,5,5,22,0.5000,0.1852,0.2703,0.1852,0.5556,Northern Rough-winged Swallow (3)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,9,26,20,0.2571,0.3103,0.2812,0.3103,0.8621,"Calliope Hummingbird (Female, immature) (11)"
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,7,17,17,0.2917,0.2917,0.2917,0.2917,0.6667,"Bald Eagle (Immature, juvenile) (4)"
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,8,18,19,0.3077,0.2963,0.3019,0.2963,0.8519,Common Loon (Nonbreeding/juvenile) (10)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,10,18,28,0.3571,0.2632,0.3030,0.2632,0.7632,Double-crested Cormorant (Immature) (8)
274,"Broad-billed Hummingbird (Female, immature)",Broad-billed Hummingbird,Swifts and Hummingbirds,22,5,6,17,0.4545,0.2273,0.3030,0.2273,0.9091,Broad-billed Hummingbird (Adult Male) (5)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,15,34,34,0.3061,0.3061,0.3061,0.3061,0.8163,Eastern Wood-Pewee (18)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,6,10,17,0.3750,0.2609,0.3077,0.2609,0.8261,California Gull (Adult) (4)
501,American Crow,American Crow,Perching Birds,57,23,64,34,0.2644,0.4035,0.3194,0.4035,0.7719,Common Raven (11)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,17,29,42,0.3696,0.2881,0.3238,0.2881,0.7288,"Ruby-throated Hummingbird (Female, immature) (12)"
377,Pacific Wren,Pacific Wren,Perching Birds,21,5,4,16,0.5556,0.2381,0.3333,0.2381,0.8095,Winter Wren (12)
381,Black-tailed Gnatcatcher,Black-tailed Gnatcatcher,Perching Birds,22,12,38,10,0.2400,0.5455,0.3333,0.5455,0.7273,Common Gallinule (Immature) (1)
202,"Black Guillemot (Nonbreeding, juvenile)",Black Guillemot,Skuas and Alcids,12,4,7,8,0.3636,0.3333,0.3478,0.3333,0.6667,"Pigeon Guillemot (Nonbreeding, juvenile) (3)"
353,Cave Swallow,Cave Swallow,Perching Birds,34,12,23,22,0.3429,0.3529,0.3478,0.3529,0.8824,Cliff Swallow (12)
267,Purple Gallinule (Immature),Purple Gallinule,Cranes and Rails,11,3,3,8,0.5000,0.2727,0.3529,0.2727,0.8182,Purple Gallinule (Adult) (2)
