order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
"Hawks, Kites, Eagles, and Allies",29,1260,0.5563,0.5403,0.5392,0.5319,0.8381
Swifts and Hummingbirds,21,909,0.5633,0.5482,0.5390,0.5365,0.9120
Skuas and Alcids,4,91,0.5714,0.5406,0.5177,0.5263,0.8791
"Gulls, Terns, and Allies",26,1038,0.5790,0.5355,0.5491,0.5352,0.8873
Nightjars,1,39,0.5897,0.7931,0.5897,0.6765,0.8974
Parrots,1,28,0.6071,0.9444,0.6071,0.7391,0.9286
Caracaras and Falcons,7,346,0.6185,0.7535,0.5935,0.6620,0.8266
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6216,0.5511,0.5565,0.5388,0.9042
Loons,6,226,0.6593,0.6686,0.6139,0.6319,0.8540
Woodpeckers,16,843,0.7177,0.7097,0.7132,0.7033,0.9478
Cuckoos,3,113,0.7257,0.6832,0.7261,0.7036,0.8761
Perching Birds,265,12539,0.7352,0.7272,0.7105,0.7106,0.9211
Grebes,9,375,0.7360,0.7951,0.7296,0.7549,0.9440
"Ducks, Geese, and Swans",70,2420,0.7430,0.7331,0.7071,0.7054,0.9215
Storks,1,56,0.7679,0.8600,0.7679,0.8113,0.9464
Pigeons and Doves,7,359,0.7744,0.8189,0.7694,0.7896,0.9109
"Pelicans, Herons, Ibises, and Allies",21,983,0.7782,0.7898,0.7639,0.7722,0.9532
Cranes and Rails,6,200,0.8200,0.7719,0.7279,0.7427,0.9250
Owls,9,426,0.8216,0.7992,0.8183,0.8068,0.9413
"Plovers, Sandpipers, and Allies",32,1573,0.8449,0.8501,0.8399,0.8398,0.9727
Kingfishers and Allies,1,60,0.8833,0.8833,0.8833,0.8833,0.9500
"Grouse, Quail, and Allies",10,342,0.8889,0.8456,0.8550,0.8487,0.9561
