species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0370,0.1000,0.0370,0.0541,0.8148
Fish Crow,1,30,0.1333,0.1905,0.1333,0.1569,0.8000
Northwestern Crow,1,19,0.1579,0.2143,0.1579,0.1818,0.9474
Cassin's Vireo,1,36,0.1667,0.2609,0.1667,0.2034,0.8611
Black Tern,1,35,0.1714,0.4000,0.1714,0.2400,0.6000
California Gull,2,66,0.1818,0.1895,0.1776,0.1833,0.5909
Bank Swallow,1,27,0.1852,0.5000,0.1852,0.2703,0.5556
Greater Scaup,2,73,0.2055,0.5326,0.1845,0.2558,0.7671
Pacific Wren,1,21,0.2381,0.5556,0.2381,0.3333,0.8095
Mew Gull,1,23,0.2609,0.3750,0.2609,0.3077,0.8261
Neotropic Cormorant,1,38,0.2632,0.3571,0.2632,0.3030,0.7632
Western Wood-Pewee,1,49,0.3061,0.3061,0.3061,0.3061,0.8163
Boreal Chickadee,1,42,0.3095,1.0000,0.3095,0.4727,0.8571
Bell's Vireo,1,29,0.3448,0.4545,0.3448,0.3922,0.6552
Hairy Woodpecker,1,60,0.3500,0.7000,0.3500,0.4667,0.9667
Cave Swallow,1,34,0.3529,0.3429,0.3529,0.3478,0.8824
Tundra Swan,1,28,0.3571,0.4762,0.3571,0.4082,0.8929
Great Cormorant,2,64,0.3594,0.4042,0.3292,0.3620,0.8281
Mississippi Kite,1,50,0.3600,0.4390,0.3600,0.3956,0.7400
Mourning Warbler,1,52,0.3654,0.6129,0.3654,0.4578,0.7115
Black Guillemot,2,32,0.3750,0.3923,0.3667,0.3790,0.7812
Glaucous-winged Gull,2,60,0.3833,0.4722,0.3696,0.4107,0.9000
Boat-tailed Grackle,1,60,0.3833,0.5227,0.3833,0.4423,0.8667
Swainson's Hawk,3,93,0.3871,0.3300,0.3598,0.3367,0.7742
Vaux's Swift,1,28,0.3929,0.4231,0.3929,0.4074,0.9286
Juniper Titmouse,1,25,0.4000,0.4762,0.4000,0.4348,0.8400
American Crow,1,57,0.4035,0.2644,0.4035,0.3194,0.7719
Allen's Hummingbird,2,101,0.4059,0.5438,0.4073,0.4632,0.9010
MacGillivray's Warbler,1,46,0.4130,0.6129,0.4130,0.4935,0.8913
Cordilleran Flycatcher,1,31,0.4194,0.3824,0.4194,0.4000,0.7742
Mexican Jay,1,26,0.4231,0.7333,0.4231,0.5366,0.9231
Brandt's Cormorant,1,33,0.4242,0.5185,0.4242,0.4667,0.8788
Trumpeter Swan,1,37,0.4324,0.3902,0.4324,0.4103,1.0000
Broad-winged Hawk,2,55,0.4364,0.5211,0.4357,0.4715,0.7818
Broad-tailed Hummingbird,2,73,0.4384,0.4995,0.4165,0.4473,0.9041
Peregrine Falcon,2,77,0.4545,0.5949,0.4330,0.5012,0.7273
Golden Eagle,2,72,0.4583,0.4878,0.4548,0.4628,0.8333
Black-chinned Hummingbird,2,109,0.4679,0.5465,0.4841,0.5124,0.8073
