true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,24,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,20,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),20,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",19,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),19,False,True
Greater Yellowlegs,Lesser Yellowlegs,19,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),18,False,True
Boreal Chickadee,Chestnut-backed Chickadee,18,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),18,False,True
Western Wood-Pewee,Eastern Wood-Pewee,17,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),17,False,True
Lesser Yellowlegs,Greater Yellowlegs,16,False,True
White-faced Ibis,Glossy Ibis,16,False,True
Hairy Woodpecker,Downy Woodpecker,16,False,True
Hooded Oriole (Female/Immature male),Orchard Oriole (Female/Juvenile),15,False,True
Common Tern,Forster's Tern,15,False,True
Mourning Warbler,MacGillivray's Warbler,15,False,True
Louisiana Waterthrush,Northern Waterthrush,14,False,True
Pacific Wren,Winter Wren,14,False,True
Eastern Meadowlark,Western Meadowlark,14,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),13,False,True
Western Screech-Owl,Eastern Screech-Owl,13,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",13,False,True
Downy Woodpecker,Hairy Woodpecker,13,False,True
Cassin's Vireo,Blue-headed Vireo,13,False,True
Great-tailed Grackle,Boat-tailed Grackle,13,False,True
Chihuahuan Raven,Common Raven,13,False,True
Glossy Ibis,White-faced Ibis,12,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),12,False,True
Common Raven,American Crow,12,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),12,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),12,True,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),12,True,True
Ladder-backed Woodpecker,Nuttall's Woodpecker,12,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),12,False,True
Fish Crow,American Crow,11,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),11,False,True
Eastern Screech-Owl,Western Screech-Owl,11,False,True
Chimney Swift,Vaux's Swift,11,False,True
Yellow-bellied Sapsucker,Red-naped Sapsucker,11,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),11,True,True
Lesser Scaup (Breeding male),Greater Scaup (Breeding male),11,False,True
Yellow-rumped Warbler (Winter/juvenile Myrtle),Yellow-rumped Warbler (Winter/juvenile Audubon's),11,True,True
MacGillivray's Warbler,Mourning Warbler,11,False,True
Northern Flicker (Yellow-shafted),Northern Flicker (Red-shafted),10,True,True
Trumpeter Swan,Tundra Swan,10,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",10,False,True
American Crow,Fish Crow,10,False,True
Gray-crowned Rosy-Finch,Brown-capped Rosy-Finch,10,False,True
Western Sandpiper,Semipalmated Sandpiper,9,False,True
"Anna's Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",9,False,True
American Crow,Common Raven,9,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,9,False,True
Least Flycatcher,Pacific-slope Flycatcher,9,False,True
Bonaparte's Gull,Black-legged Kittiwake (Immature),9,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),9,False,True
Neotropic Cormorant,Double-crested Cormorant (Immature),9,False,True
Golden Eagle (Immature),Golden Eagle (Adult),9,True,True
Forster's Tern,Common Tern,9,False,True
Mottled Duck,Mallard (Female/Eclipse male),8,False,True
