class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,4,12,22,0.2500,0.1538,0.1905,0.1538,0.6538,Herring Gull (Immature) (6)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,5,19,20,0.2083,0.2000,0.2041,0.2000,0.7200,Ring-billed Gull (Immature) (4)
344,Fish Crow,Fish Crow,Perching Birds,30,8,23,22,0.2581,0.2667,0.2623,0.2667,0.8667,American Crow (11)
351,Bank Swallow,Bank Swallow,Perching Birds,27,5,3,22,0.6250,0.1852,0.2857,0.1852,0.7778,Northern Rough-winged Swallow (6)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,10,16,31,0.3846,0.2439,0.2985,0.2439,0.6829,Herring Gull (Adult) (7)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,9,15,27,0.3750,0.2500,0.3000,0.2500,0.7500,Blue-headed Vireo (13)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,6,9,18,0.4000,0.2500,0.3077,0.2500,0.8333,Double-crested Cormorant (Immature) (12)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,5,6,16,0.4545,0.2381,0.3125,0.2381,0.7619,"Ruby-throated Hummingbird (Female, immature) (6)"
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,8,16,19,0.3333,0.2963,0.3137,0.2963,0.8889,Common Raven (13)
501,American Crow,American Crow,Perching Birds,57,21,48,36,0.3043,0.3684,0.3333,0.3684,0.8246,Fish Crow (10)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,7,4,23,0.6364,0.2333,0.3415,0.2333,0.8333,Lesser Scaup (Female/Eclipse male) (18)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,7,15,12,0.3182,0.3684,0.3415,0.3684,0.9474,American Crow (7)
484,Bell's Vireo,Bell's Vireo,Perching Birds,29,7,4,22,0.6364,0.2414,0.3500,0.2414,0.6207,Pacific-slope Flycatcher (3)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,8,2,27,0.8000,0.2286,0.3556,0.2286,0.6286,Forster's Tern (7)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,2,0,7,1.0000,0.2222,0.3636,0.2222,1.0000,Dark-eyed Junco (Slate-colored) (5)
535,Hooded Oriole (Female/Immature male),Hooded Oriole,Perching Birds,35,9,5,26,0.6429,0.2571,0.3673,0.2571,0.9143,Orchard Oriole (Female/Juvenile) (15)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,11,17,18,0.3929,0.3793,0.3860,0.3793,0.8621,"Calliope Hummingbird (Female, immature) (10)"
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,12,12,26,0.5000,0.3158,0.3871,0.3158,0.7105,Double-crested Cormorant (Immature) (9)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,8,8,16,0.5000,0.3333,0.4000,0.3333,0.6667,Swainson's Hawk (Light morph ) (3)
266,Peregrine Falcon (Immature),Peregrine Falcon,Caracaras and Falcons,31,10,9,21,0.5263,0.3226,0.4000,0.3226,0.7097,Merlin (5)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,11,17,16,0.3929,0.4074,0.4000,0.4074,1.0000,Common Loon (Nonbreeding/juvenile) (12)
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,8,10,14,0.4444,0.3636,0.4000,0.3636,0.9091,Herring Gull (Immature) (6)
377,Pacific Wren,Pacific Wren,Perching Birds,21,6,3,15,0.6667,0.2857,0.4000,0.2857,0.9524,Winter Wren (14)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,11,12,19,0.4783,0.3667,0.4151,0.3667,0.6333,Rough-legged Hawk (Dark morph) (6)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,5,1,11,0.8333,0.3125,0.4545,0.3125,0.8125,Fox Sparrow (Sooty) (6)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,22,25,27,0.4681,0.4490,0.4583,0.4490,0.8776,Eastern Wood-Pewee (17)
362,Juniper Titmouse,Juniper Titmouse,Perching Birds,25,10,8,15,0.5556,0.4000,0.4651,0.4000,0.8800,Oak Titmouse (8)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,16,20,15,0.4444,0.5161,0.4776,0.5161,0.8710,Pacific-slope Flycatcher (8)
353,Cave Swallow,Cave Swallow,Perching Birds,34,16,17,18,0.4848,0.4706,0.4776,0.4706,0.8235,Cliff Swallow (5)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,13,18,10,0.4194,0.5652,0.4815,0.5652,0.8696,Glaucous-winged Gull (Adult) (2)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,16,24,10,0.4000,0.6154,0.4848,0.6154,0.9615,Hooded Oriole (Female/Immature male) (2)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,27,24,32,0.5294,0.4576,0.4909,0.4576,0.8644,"Ruby-throated Hummingbird (Female, immature) (13)"
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,15,5,26,0.7500,0.3659,0.4918,0.3659,0.9268,"Rufous Hummingbird (Female, immature) (19)"
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,16,19,14,0.4571,0.5333,0.4923,0.5333,0.8667,Swainson's Hawk (Light morph ) (7)
281,"Rufous Hummingbird (Female, immature)",Rufous Hummingbird,Swifts and Hummingbirds,37,21,26,16,0.4468,0.5676,0.5000,0.5676,1.0000,"Calliope Hummingbird (Female, immature) (6)"
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,8,4,12,0.6667,0.4000,0.5000,0.4000,0.7500,Northern Pintail (Female/Eclipse male) (4)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,13,15,11,0.4643,0.5417,0.5000,0.5417,0.9167,"Bald Eagle (Immature, juvenile) (3)"
346,Common Raven,Common Raven,Perching Birds,57,32,38,25,0.4571,0.5614,0.5039,0.5614,0.9474,American Crow (12)
414,Mourning Warbler,Mourning Warbler,Perching Birds,52,23,15,29,0.6053,0.4423,0.5111,0.4423,0.8077,MacGillivray's Warbler (15)
249,Northern Gannet (Immature/Juvenile),Northern Gannet,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",20,9,6,11,0.6000,0.4500,0.5143,0.4500,0.7500,Whimbrel (2)
553,Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler,Perching Birds,44,25,28,19,0.4717,0.5682,0.5155,0.5682,0.9545,Yellow-rumped Warbler (Breeding Audubon's) (12)
259,Sharp-shinned Hawk (Immature),Sharp-shinned Hawk,"Hawks, Kites, Eagles, and Allies",58,29,25,29,0.5370,0.5000,0.5179,0.5000,0.9483,Cooper's Hawk (Immature) (20)
