order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
"Hawks, Kites, Eagles, and Allies",29,1260,0.6516,0.6713,0.6441,0.6472,0.8802
Swifts and Hummingbirds,21,909,0.6700,0.6606,0.6517,0.6458,0.9384
"Gulls, Terns, and Allies",26,1038,0.6811,0.6439,0.6532,0.6376,0.9123
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6929,0.6342,0.6319,0.6225,0.9042
Skuas and Alcids,4,91,0.7033,0.6515,0.6320,0.6362,0.9451
Caracaras and Falcons,7,346,0.7283,0.7579,0.6967,0.7220,0.8960
Loons,6,226,0.7434,0.7598,0.7221,0.7379,0.9469
Woodpeckers,16,843,0.7948,0.7899,0.7903,0.7877,0.9727
"Ducks, Geese, and Swans",70,2420,0.8248,0.8174,0.8019,0.8031,0.9591
Perching Birds,265,12539,0.8260,0.8160,0.8043,0.8038,0.9567
"Pelicans, Herons, Ibises, and Allies",21,983,0.8413,0.8417,0.8246,0.8303,0.9776
Nightjars,1,39,0.8462,0.8049,0.8462,0.8250,0.9231
Cuckoos,3,113,0.8584,0.8333,0.8512,0.8405,0.9823
Grebes,9,375,0.8640,0.8517,0.8546,0.8484,0.9707
Owls,9,426,0.8662,0.8693,0.8582,0.8628,0.9695
Cranes and Rails,6,200,0.8750,0.9105,0.8318,0.8625,0.9500
Storks,1,56,0.8750,0.9074,0.8750,0.8909,0.9821
Pigeons and Doves,7,359,0.8830,0.9019,0.8854,0.8921,0.9499
"Plovers, Sandpipers, and Allies",32,1573,0.9021,0.9085,0.8992,0.9012,0.9841
"Grouse, Quail, and Allies",10,342,0.9211,0.9210,0.9009,0.9104,0.9737
Kingfishers and Allies,1,60,0.9500,0.9828,0.9500,0.9661,0.9833
Parrots,1,28,0.9643,1.0000,0.9643,0.9818,1.0000
