species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Bank Swallow,1,27,0.1852,0.6250,0.1852,0.2857,0.7778
California Gull,2,66,0.2273,0.2965,0.2220,0.2513,0.6970
Black Tern,1,35,0.2286,0.8000,0.2286,0.3556,0.6286
Bell's Vireo,1,29,0.2414,0.6364,0.2414,0.3500,0.6207
Cassin's Vireo,1,36,0.2500,0.3750,0.2500,0.3000,0.7500
Fish Crow,1,30,0.2667,0.2581,0.2667,0.2623,0.8667
Pacific Wren,1,21,0.2857,0.6667,0.2857,0.4000,0.9524
Chihuahuan Raven,1,27,0.2963,0.3333,0.2963,0.3137,0.8889
Neotropic Cormorant,1,38,0.3158,0.5000,0.3158,0.3871,0.7105
Northwestern Crow,1,19,0.3684,0.3182,0.3684,0.3415,0.9474
American Crow,1,57,0.3684,0.3043,0.3684,0.3333,0.8246
Greater Scaup,2,73,0.3836,0.6364,0.3609,0.4470,0.8493
Juniper Titmouse,1,25,0.4000,0.5556,0.4000,0.4651,0.8800
Boreal Chickadee,1,42,0.4286,1.0000,0.4286,0.6000,0.7857
Mourning Warbler,1,52,0.4423,0.6053,0.4423,0.5111,0.8077
Western Wood-Pewee,1,49,0.4490,0.4681,0.4490,0.4583,0.8776
Black-capped Chickadee,1,60,0.4500,0.7714,0.4500,0.5684,0.9167
Great Cormorant,2,64,0.4531,0.5594,0.4125,0.4733,0.8438
Mississippi Kite,1,50,0.4600,0.8846,0.4600,0.6053,0.6800
Glaucous-winged Gull,2,60,0.4667,0.4925,0.4450,0.4667,0.9000
Cave Swallow,1,34,0.4706,0.4848,0.4706,0.4776,0.8235
Black Guillemot,2,32,0.5000,0.6275,0.5000,0.5560,0.9062
Swainson's Hawk,3,93,0.5054,0.5060,0.4855,0.4891,0.8172
Trumpeter Swan,1,37,0.5135,0.5938,0.5135,0.5507,0.9459
Chimney Swift,1,33,0.5152,0.6800,0.5152,0.5862,0.9091
Cordilleran Flycatcher,1,31,0.5161,0.4444,0.5161,0.4776,0.8710
White-faced Ibis,1,34,0.5294,0.5806,0.5294,0.5538,1.0000
Common Tern,1,60,0.5333,0.6400,0.5333,0.5818,0.9000
Red-naped Sapsucker,1,54,0.5370,0.6170,0.5370,0.5743,0.9259
Brandt's Cormorant,1,33,0.5455,0.5806,0.5455,0.5625,0.8182
Rufous Hummingbird,2,87,0.5517,0.5527,0.5538,0.5467,0.9885
Sharp-shinned Hawk,2,116,0.5517,0.5082,0.5517,0.5261,0.9569
Red-tailed Hawk,3,150,0.5533,0.6614,0.5222,0.5816,0.7867
Peregrine Falcon,2,77,0.5584,0.6142,0.5200,0.5548,0.8442
Common Raven,1,57,0.5614,0.4571,0.5614,0.5039,0.9474
