true_class,pred_class,count,same_species,same_order
Hairy Woodpecker,Downy Woodpecker,27,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,24,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),22,False,True
Black-capped Chickadee,Carolina Chickadee,22,False,True
Eastern Meadowlark,Western Meadowlark,21,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),20,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),20,False,True
Greater Yellowlegs,Lesser Yellowlegs,20,False,True
Western Wood-Pewee,Eastern Wood-Pewee,19,False,True
Boreal Chickadee,Chestnut-backed Chickadee,19,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),17,True,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),17,False,True
Western Bluebird,Eastern Bluebird,16,False,True
Louisiana Waterthrush,Northern Waterthrush,16,False,True
Common Tern,Forster's Tern,16,False,True
Chihuahuan Raven,Common Raven,16,False,True
American Crow,Common Raven,16,False,True
Pacific Wren,Winter Wren,15,False,True
Western Screech-Owl,Eastern Screech-Owl,15,False,True
Eastern Screech-Owl,Western Screech-Owl,15,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",14,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),14,True,True
Western Sandpiper,Semipalmated Sandpiper,14,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),13,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),13,False,True
Western Grebe,Clark's Grebe,13,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",13,False,True
Boat-tailed Grackle,Great-tailed Grackle,13,False,True
Carolina Chickadee,Black-capped Chickadee,12,False,True
Great-tailed Grackle,Boat-tailed Grackle,12,False,True
Hermit Thrush,Swainson's Thrush,12,False,True
Common Tern,Caspian Tern,12,False,True
Ladder-backed Woodpecker,Nuttall's Woodpecker,12,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),12,False,True
Brown-capped Rosy-Finch,Gray-crowned Rosy-Finch,12,False,True
Lesser Yellowlegs,Greater Yellowlegs,12,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",11,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",11,False,True
Cassin's Vireo,Blue-headed Vireo,11,False,True
Eastern Wood-Pewee,Western Wood-Pewee,11,False,True
Downy Woodpecker,Hairy Woodpecker,11,False,True
Mourning Warbler,MacGillivray's Warbler,11,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),11,False,True
Cassin's Finch (Adult Male),Purple Finch (Adult Male),11,False,True
Fish Crow,American Crow,10,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",10,False,True
Great Cormorant (Adult),Double-crested Cormorant (Adult),10,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,10,False,True
Glossy Ibis,White-faced Ibis,10,False,True
Black-crested Titmouse,Tufted Titmouse,10,False,True
Mourning Warbler,Nashville Warbler,10,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Winter/juvenile Myrtle),10,True,True
Bohemian Waxwing,Cedar Waxwing,10,False,True
Chimney Swift,Vaux's Swift,10,False,True
Hooded Oriole (Female/Immature male),Baltimore Oriole (Female/Immature male),10,False,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),10,True,True
Herring Gull (Adult),Glaucous-winged Gull (Adult),10,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),10,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),10,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),10,False,True
