class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,0,7,27,0.0000,0.0000,0.0000,0.0000,0.5556,Common Raven (16)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,0,3,30,0.0000,0.0000,0.0000,0.0000,0.3000,Lesser Scaup (Female/Eclipse male) (13)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,1,8,20,0.1111,0.0476,0.0667,0.0476,0.6667,"Anna's Hummingbird (Female, immature) (6)"
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,2,16,24,0.1111,0.0769,0.0909,0.0769,0.5000,Herring Gull (Immature) (7)
220,Blue-winged Teal (Female/juvenile),Blue-winged Teal,"Ducks, Geese, and Swans",17,1,2,16,0.3333,0.0588,0.1000,0.0588,0.7059,Northern Shoveler (Female/Eclipse male) (4)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,1,0,15,1.0000,0.0625,0.1176,0.0625,0.5625,Fox Sparrow (Sooty) (9)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,2,2,23,0.5000,0.0800,0.1379,0.0800,0.6400,Common Goldeneye (Female/Eclipse male) (11)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,3,11,21,0.2143,0.1250,0.1579,0.1250,0.6667,Double-crested Cormorant (Immature) (12)
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,2,2,18,0.5000,0.1000,0.1667,0.1000,0.6000,Northern Shoveler (Female/Eclipse male) (7)
344,Fish Crow,Fish Crow,Perching Birds,30,5,24,25,0.1724,0.1667,0.1695,0.1667,0.7667,American Crow (10)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,10,43,49,0.1887,0.1695,0.1786,0.1695,0.5932,"Ruby-throated Hummingbird (Female, immature) (11)"
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,1,8,0.5000,0.1111,0.1818,0.1111,0.7778,Dark-eyed Junco (Slate-colored) (4)
351,Bank Swallow,Bank Swallow,Perching Birds,27,3,2,24,0.6000,0.1111,0.1875,0.1111,0.1852,Northern Rough-winged Swallow (4)
484,Bell's Vireo,Bell's Vireo,Perching Birds,29,4,8,25,0.3333,0.1379,0.1951,0.1379,0.3793,Hutton's Vireo (3)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,4,10,20,0.2857,0.1667,0.2105,0.1667,0.4167,Red-tailed Hawk (Light morph immature) (5)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,6,24,19,0.2000,0.2400,0.2182,0.2400,0.4800,Herring Gull (Immature) (7)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,6,6,35,0.5000,0.1463,0.2264,0.1463,0.6585,"Rufous Hummingbird (Female, immature) (11)"
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,7,25,22,0.2188,0.2414,0.2295,0.2414,0.7931,"Calliope Hummingbird (Female, immature) (13)"
230,Harlequin Duck (Female/juvenile),Harlequin Duck,"Ducks, Geese, and Swans",22,3,1,19,0.7500,0.1364,0.2308,0.1364,0.6364,Lesser Scaup (Female/Eclipse male) (4)
