order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.5237,0.5163,0.5005,0.4983,0.8636
Skuas and Alcids,4,91,0.5275,0.4812,0.4462,0.4599,0.8132
"Hawks, Kites, Eagles, and Allies",29,1260,0.5341,0.5475,0.5091,0.5186,0.8008
"Gulls, Terns, and Allies",26,1038,0.5626,0.5175,0.5377,0.5204,0.8430
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.5921,0.4880,0.5244,0.4928,0.8649
Loons,6,226,0.6239,0.6778,0.5854,0.6090,0.8319
Caracaras and Falcons,7,346,0.6272,0.6199,0.6063,0.6111,0.8035
Nightjars,1,39,0.6923,0.7297,0.6923,0.7105,0.9231
Perching Birds,265,12539,0.6934,0.6843,0.6657,0.6650,0.8801
"Ducks, Geese, and Swans",70,2420,0.6963,0.6674,0.6505,0.6430,0.8847
Pigeons and Doves,7,359,0.7075,0.7828,0.7077,0.7391,0.8552
Woodpeckers,16,843,0.7153,0.6980,0.7076,0.6991,0.9312
Cuckoos,3,113,0.7168,0.7095,0.7129,0.7101,0.8850
Grebes,9,375,0.7227,0.7340,0.7146,0.7203,0.9147
Owls,9,426,0.7512,0.7354,0.7436,0.7363,0.9178
"Pelicans, Herons, Ibises, and Allies",21,983,0.7518,0.7642,0.7450,0.7511,0.9278
Storks,1,56,0.7679,0.8113,0.7679,0.7890,0.9286
Cranes and Rails,6,200,0.7950,0.8206,0.6952,0.7347,0.9100
"Plovers, Sandpipers, and Allies",32,1573,0.7985,0.8036,0.7966,0.7959,0.9447
Parrots,1,28,0.8571,0.9231,0.8571,0.8889,0.9643
Kingfishers and Allies,1,60,0.8667,0.8814,0.8667,0.8739,0.9500
"Grouse, Quail, and Allies",10,342,0.8947,0.8680,0.8684,0.8653,0.9591
