species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0000,0.0000,0.0000,0.0000,0.5556
Bank Swallow,1,27,0.1111,0.6000,0.1111,0.1875,0.1852
Bell's Vireo,1,29,0.1379,0.3333,0.1379,0.1951,0.3793
Fish Crow,1,30,0.1667,0.1724,0.1667,0.1695,0.7667
Pacific Wren,1,21,0.1905,0.4000,0.1905,0.2581,0.7143
Barrow's Goldeneye,2,60,0.2167,0.6731,0.1971,0.2981,0.8000
Greater Scaup,2,73,0.2192,0.2857,0.1860,0.2254,0.5342
California Gull,2,66,0.2273,0.2875,0.2298,0.2476,0.6061
Black Tern,1,35,0.2286,0.3636,0.2286,0.2807,0.4571
Cave Swallow,1,34,0.2353,0.3200,0.2353,0.2712,0.6765
Boreal Chickadee,1,42,0.2381,0.9091,0.2381,0.3774,0.6905
Black-crested Titmouse,1,33,0.2424,0.4706,0.2424,0.3200,0.7576
Cassin's Vireo,1,36,0.2500,0.2308,0.2500,0.2400,0.6944
Neotropic Cormorant,1,38,0.2632,0.5556,0.2632,0.3571,0.6579
Brandt's Cormorant,1,33,0.2727,0.3103,0.2727,0.2903,0.7879
Mississippi Kite,1,50,0.2800,0.6087,0.2800,0.3836,0.5600
White-winged Scoter,2,57,0.2807,0.3795,0.2833,0.3237,0.7544
Western Wood-Pewee,1,49,0.2857,0.3684,0.2857,0.3218,0.6735
Great Cormorant,2,64,0.2969,0.3496,0.2625,0.2981,0.7812
White-tailed Kite,1,13,0.3077,0.2353,0.3077,0.2667,0.6154
Black Guillemot,2,32,0.3125,0.3625,0.3000,0.3250,0.6875
Tundra Swan,1,28,0.3214,0.4286,0.3214,0.3673,0.8929
Eastern Meadowlark,1,40,0.3250,0.5652,0.3250,0.4127,0.8750
Mourning Warbler,1,52,0.3269,0.6071,0.3269,0.4250,0.6346
American Crow,1,57,0.3333,0.3016,0.3333,0.3167,0.6667
Plumbeous Vireo,1,41,0.3415,0.3333,0.3415,0.3373,0.7317
Rusty Blackbird,1,48,0.3542,0.7083,0.3542,0.4722,0.5833
Swainson's Hawk,3,93,0.3548,0.3739,0.3291,0.3461,0.6559
Cackling Goose,1,14,0.3571,0.4545,0.3571,0.4000,0.9286
Clay-colored Sparrow,1,60,0.3667,0.5641,0.3667,0.4444,0.7500
Boat-tailed Grackle,1,60,0.3667,0.3548,0.3667,0.3607,0.6667
Northwestern Crow,1,19,0.3684,0.4667,0.3684,0.4118,0.7368
MacGillivray's Warbler,1,46,0.3696,0.5312,0.3696,0.4359,0.8043
Oak Titmouse,1,37,0.3784,0.3784,0.3784,0.3784,0.8108
Least Flycatcher,1,60,0.3833,0.4510,0.3833,0.4144,0.7000
Allen's Hummingbird,2,101,0.3861,0.5205,0.3482,0.3859,0.8515
Juniper Titmouse,1,25,0.4000,0.4348,0.4000,0.4167,0.6800
Brewer's Sparrow,1,35,0.4000,0.5000,0.4000,0.4444,0.7429
Common Tern,1,60,0.4000,0.6000,0.4000,0.4800,0.9333
Glaucous-winged Gull,2,60,0.4000,0.4571,0.3732,0.4087,0.8000
Violet-green Swallow,1,37,0.4054,0.8333,0.4054,0.5455,0.6757
Rough-legged Hawk,2,64,0.4062,0.4753,0.3750,0.4175,0.7188
Western Sandpiper,1,51,0.4118,0.5833,0.4118,0.4828,0.9412
Black-chinned Hummingbird,2,109,0.4128,0.4443,0.4347,0.4393,0.7431
Hoary Redpoll,1,29,0.4138,0.5000,0.4138,0.4528,0.7931
Sharp-shinned Hawk,2,116,0.4224,0.5026,0.4224,0.4584,0.8276
Western Gull,2,59,0.4237,0.3431,0.3869,0.3605,0.7627
Broad-tailed Hummingbird,2,73,0.4247,0.5094,0.3934,0.4391,0.8219
Snow Goose,2,54,0.4259,0.6287,0.4203,0.5034,0.8148
Cassin's Kingbird,1,35,0.4286,0.5172,0.4286,0.4688,0.8286
Trumpeter Swan,1,37,0.4324,0.4444,0.4324,0.4384,0.9189
Mew Gull,1,23,0.4348,0.2857,0.4348,0.3448,0.7391
Brown-capped Rosy-Finch,1,34,0.4412,0.6000,0.4412,0.5085,0.9118
Hairy Woodpecker,1,60,0.4500,0.5870,0.4500,0.5094,0.9167
Great-tailed Grackle,1,60,0.4500,0.3913,0.4500,0.4186,0.7500
Cordilleran Flycatcher,1,31,0.4516,0.3333,0.4516,0.3836,0.8387
Cassin's Finch,2,62,0.4516,0.5797,0.4375,0.4969,0.8710
Red-naped Sapsucker,1,54,0.4630,0.6250,0.4630,0.5319,0.9630
Vaux's Swift,1,28,0.4643,0.3421,0.4643,0.3939,0.8214
Black-capped Chickadee,1,60,0.4667,0.5833,0.4667,0.5185,0.9000
Eastern Wood-Pewee,1,49,0.4694,0.3333,0.4694,0.3898,0.7143
