class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
377,Pacific Wren,Pacific Wren,Perching Birds,21,2,5,19,0.2857,0.0952,0.1429,0.0952,0.9524,Winter Wren (19)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,5,20,21,0.2000,0.1923,0.1961,0.1923,0.8077,Herring Gull (Immature) (7)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,6,4,24,0.6000,0.2000,0.3000,0.2000,0.9000,Lesser Scaup (Female/Eclipse male) (20)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,7,11,14,0.3889,0.3333,0.3590,0.3333,0.9048,"Black-chinned Hummingbird (Female, immature) (8)"
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,8,11,17,0.4211,0.3200,0.3636,0.3200,0.7600,Western Gull (Immature) (4)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,4,1,12,0.8000,0.2500,0.3810,0.2500,0.9375,Fox Sparrow (Sooty) (11)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,11,5,30,0.6875,0.2683,0.3860,0.2683,0.9268,"Rufous Hummingbird (Female, immature) (22)"
344,Fish Crow,Fish Crow,Perching Birds,30,11,16,19,0.4074,0.3667,0.3860,0.3667,0.9333,American Crow (9)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,11,16,18,0.4074,0.3793,0.3929,0.3793,0.8621,"Calliope Hummingbird (Female, immature) (10)"
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,7,4,17,0.6364,0.2917,0.4000,0.2917,0.9167,Double-crested Cormorant (Immature) (12)
351,Bank Swallow,Bank Swallow,Perching Birds,27,7,0,20,1.0000,0.2593,0.4118,0.2593,0.9630,Northern Rough-winged Swallow (8)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,13,16,15,0.4483,0.4643,0.4561,0.4643,0.9286,Chimney Swift (8)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,22,43,9,0.3385,0.7097,0.4583,0.7097,0.9677,Pacific-slope Flycatcher (4)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,12,13,15,0.4800,0.4444,0.4615,0.4444,0.9630,Common Raven (10)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,31,43,28,0.4189,0.5254,0.4662,0.5254,0.8814,"Anna's Hummingbird (Female, immature) (7)"
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,20,28,16,0.4167,0.5556,0.4762,0.5556,1.0000,Blue-headed Vireo (10)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,11,8,16,0.5789,0.4074,0.4783,0.4074,0.9259,Common Loon (Nonbreeding/juvenile) (13)
186,Chimney Swift,Chimney Swift,Swifts and Hummingbirds,33,15,13,18,0.5357,0.4545,0.4918,0.4545,1.0000,Vaux's Swift (14)
501,American Crow,American Crow,Perching Birds,57,31,36,26,0.4627,0.5439,0.5000,0.5439,1.0000,Northwestern Crow (10)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,12,11,11,0.5217,0.5217,0.5217,0.5217,0.8696,Ring-billed Gull (Adult) (3)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,12,15,7,0.4444,0.6316,0.5217,0.6316,1.0000,American Crow (6)
281,"Rufous Hummingbird (Female, immature)",Rufous Hummingbird,Swifts and Hummingbirds,37,24,31,13,0.4364,0.6486,0.5217,0.6486,1.0000,"Calliope Hummingbird (Female, immature) (7)"
41,Great Cormorant (Adult),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",40,18,10,22,0.6429,0.4500,0.5294,0.4500,0.9750,Double-crested Cormorant (Adult) (9)
346,Common Raven,Common Raven,Perching Birds,57,28,20,29,0.5833,0.4912,0.5333,0.4912,0.9123,American Crow (15)
18,Greater Scaup (Breeding male),Greater Scaup,"Ducks, Geese, and Swans",43,18,5,25,0.7826,0.4186,0.5455,0.4186,0.8372,Lesser Scaup (Breeding male) (19)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,17,14,13,0.5484,0.5667,0.5574,0.5667,0.8667,Swainson's Hawk (Light morph ) (6)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,11,4,13,0.7333,0.4583,0.5641,0.4583,0.7500,Red-tailed Hawk (Light morph immature) (4)
262,Broad-winged Hawk (Immature),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",29,13,4,16,0.7647,0.4483,0.5652,0.4483,0.8966,Red-shouldered Hawk (Immature) (5)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,25,20,16,0.5556,0.6098,0.5814,0.6098,0.9512,Ring-billed Gull (Adult) (4)
71,Rufous Hummingbird (Adult Male),Rufous Hummingbird,Swifts and Hummingbirds,50,32,28,18,0.5333,0.6400,0.5818,0.6400,0.9800,Allen's Hummingbird (Adult Male) (13)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,30,25,18,0.5455,0.6250,0.5825,0.6250,0.9375,"Black-chinned Hummingbird (Female, immature) (8)"
210,Herring Gull (Immature),Herring Gull,"Gulls, Terns, and Allies",44,27,20,17,0.5745,0.6136,0.5934,0.6136,0.9318,Western Gull (Immature) (9)
535,Hooded Oriole (Female/Immature male),Hooded Oriole,Perching Birds,35,18,7,17,0.7200,0.5143,0.6000,0.5143,1.0000,Orchard Oriole (Female/Juvenile) (6)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,14,8,10,0.6364,0.5833,0.6087,0.5833,0.9583,Red-tailed Hawk (Dark morph) (3)
72,Allen's Hummingbird (Adult Male),Allen's Hummingbird,Swifts and Hummingbirds,60,33,15,27,0.6875,0.5500,0.6111,0.5500,0.9833,Rufous Hummingbird (Adult Male) (26)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,4,0,5,1.0000,0.4444,0.6154,0.4444,0.8889,Dark-eyed Junco (Slate-colored) (4)
457,Boat-tailed Grackle,Boat-tailed Grackle,Perching Birds,60,37,23,23,0.6167,0.6167,0.6167,0.6167,0.9500,Great-tailed Grackle (17)
486,Plumbeous Vireo,Plumbeous Vireo,Perching Birds,41,21,6,20,0.7778,0.5122,0.6176,0.5122,0.9756,Cassin's Vireo (15)
553,Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler,Perching Birds,44,26,14,18,0.6500,0.5909,0.6190,0.5909,1.0000,Yellow-rumped Warbler (Breeding Audubon's) (10)
414,Mourning Warbler,Mourning Warbler,Perching Birds,52,27,8,25,0.7714,0.5192,0.6207,0.5192,0.9038,MacGillivray's Warbler (8)
470,Pacific-slope Flycatcher,Pacific-slope Flycatcher,Perching Birds,59,29,5,30,0.8529,0.4915,0.6237,0.4915,0.9492,Cordilleran Flycatcher (23)
277,"Anna's Hummingbird (Female, immature)",Anna's Hummingbird,Swifts and Hummingbirds,52,32,18,20,0.6400,0.6154,0.6275,0.6154,0.9615,"Black-chinned Hummingbird (Female, immature) (8)"
229,Lesser Scaup (Female/Eclipse male),Lesser Scaup,"Ducks, Geese, and Swans",35,27,24,8,0.5294,0.7714,0.6279,0.7714,0.9714,Redhead (Female/Eclipse male) (3)
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,13,6,9,0.6842,0.5909,0.6341,0.5909,1.0000,Western Gull (Immature) (6)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,35,26,14,0.5738,0.7143,0.6364,0.7143,0.9592,Eastern Wood-Pewee (9)
160,Western Sandpiper,Western Sandpiper,"Plovers, Sandpipers, and Allies",51,28,9,23,0.7568,0.5490,0.6364,0.5490,0.9804,Semipalmated Sandpiper (16)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,23,11,15,0.6765,0.6053,0.6389,0.6053,0.9211,Double-crested Cormorant (Immature) (8)
52,Broad-winged Hawk (Adult),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",26,19,14,7,0.5758,0.7308,0.6441,0.7308,1.0000,Cooper's Hawk (Adult) (2)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,20,12,10,0.6250,0.6667,0.6452,0.6667,0.9333,Rough-legged Hawk (Dark morph) (3)
230,Harlequin Duck (Female/juvenile),Harlequin Duck,"Ducks, Geese, and Swans",22,11,1,11,0.9167,0.5000,0.6471,0.5000,0.8182,White-winged Scoter (Female/juvenile) (5)
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,12,5,8,0.7059,0.6000,0.6486,0.6000,1.0000,Blue-winged Teal (Male) (2)
261,Red-shouldered Hawk (Immature),Red-shouldered Hawk,"Hawks, Kites, Eagles, and Allies",38,27,18,11,0.6000,0.7105,0.6506,0.7105,0.9211,Red-shouldered Hawk (Adult ) (5)
362,Juniper Titmouse,Juniper Titmouse,Perching Birds,25,14,4,11,0.7778,0.5600,0.6512,0.5600,0.9600,Oak Titmouse (6)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,17,8,9,0.6800,0.6538,0.6667,0.6538,0.9615,Hooded Oriole (Female/Immature male) (4)
266,Peregrine Falcon (Immature),Peregrine Falcon,Caracaras and Falcons,31,17,3,14,0.8500,0.5484,0.6667,0.5484,0.9677,Peregrine Falcon (Adult) (8)
204,Black-legged Kittiwake (Immature),Black-legged Kittiwake,"Gulls, Terns, and Allies",19,13,7,6,0.6500,0.6842,0.6667,0.6842,0.8947,Black-legged Kittiwake (Adult) (4)
114,Brandt's Cormorant,Brandt's Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",33,19,4,14,0.8261,0.5758,0.6786,0.5758,0.9394,Pelagic Cormorant (6)
5,Snow Goose (White morph),Snow Goose,"Ducks, Geese, and Swans",26,18,9,8,0.6667,0.6923,0.6792,0.6923,1.0000,Ross's Goose (8)
274,"Broad-billed Hummingbird (Female, immature)",Broad-billed Hummingbird,Swifts and Hummingbirds,22,14,5,8,0.7368,0.6364,0.6829,0.6364,1.0000,Broad-billed Hummingbird (Adult Male) (3)
352,Cliff Swallow,Cliff Swallow,Perching Birds,30,22,12,8,0.6471,0.7333,0.6875,0.7333,0.8667,Cave Swallow (2)
353,Cave Swallow,Cave Swallow,Perching Birds,34,22,8,12,0.7333,0.6471,0.6875,0.6471,0.7941,Cliff Swallow (4)
469,Least Flycatcher,Least Flycatcher,Perching Birds,60,40,16,20,0.7143,0.6667,0.6897,0.6667,0.9167,Cordilleran Flycatcher (9)
484,Bell's Vireo,Bell's Vireo,Perching Birds,29,19,7,10,0.7308,0.6552,0.6909,0.6552,0.8966,Cassin's Vireo (3)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,18,6,10,0.7500,0.6429,0.6923,0.6429,1.0000,Trumpeter Swan (8)
150,Greater Yellowlegs,Greater Yellowlegs,"Plovers, Sandpipers, and Allies",59,36,9,23,0.8000,0.6102,0.6923,0.6102,0.9492,Lesser Yellowlegs (20)
264,Golden Eagle (Immature),Golden Eagle,"Hawks, Kites, Eagles, and Allies",30,17,2,13,0.8947,0.5667,0.6939,0.5667,0.9000,Golden Eagle (Adult) (5)
195,Red-naped Sapsucker,Red-naped Sapsucker,Woodpeckers,54,33,8,21,0.8049,0.6111,0.6947,0.6111,1.0000,Yellow-bellied Sapsucker (21)
33,Red-throated Loon (Breeding),Red-throated Loon,Loons,12,8,3,4,0.7273,0.6667,0.6957,0.6667,0.9167,Pacific Loon (Nonbreeding/juvenile) (2)
232,White-winged Scoter (Female/juvenile),White-winged Scoter,"Ducks, Geese, and Swans",30,23,13,7,0.6389,0.7667,0.6970,0.7667,0.9667,Surf Scoter (Female/immature) (4)
202,"Black Guillemot (Nonbreeding, juvenile)",Black Guillemot,Skuas and Alcids,12,7,1,5,0.8750,0.5833,0.7000,0.5833,0.8333,"Pigeon Guillemot (Nonbreeding, juvenile) (2)"
90,Common Tern,Common Tern,"Gulls, Terns, and Allies",60,35,5,25,0.8750,0.5833,0.7000,0.5833,0.9833,Forster's Tern (18)
50,Cooper's Hawk (Adult),Cooper's Hawk,"Hawks, Kites, Eagles, and Allies",57,39,15,18,0.7222,0.6842,0.7027,0.6842,1.0000,Sharp-shinned Hawk (Adult ) (15)
200,Hairy Woodpecker,Hairy Woodpecker,Woodpeckers,60,39,12,21,0.7647,0.6500,0.7027,0.6500,1.0000,Downy Woodpecker (19)
