order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6700,0.6670,0.6493,0.6499,0.9582
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7715,0.7431,0.7256,0.7186,0.9705
"Gulls, Terns, and Allies",26,1038,0.7717,0.7484,0.7462,0.7427,0.9692
"Hawks, Kites, Eagles, and Allies",29,1260,0.7905,0.7891,0.7700,0.7726,0.9540
Skuas and Alcids,4,91,0.8132,0.7873,0.7589,0.7625,0.9560
Loons,6,226,0.8142,0.7944,0.7729,0.7802,0.9558
Caracaras and Falcons,7,346,0.8613,0.8828,0.8392,0.8552,0.9595
"Ducks, Geese, and Swans",70,2420,0.8694,0.8588,0.8471,0.8444,0.9789
Woodpeckers,16,843,0.8743,0.8754,0.8745,0.8724,0.9917
Perching Birds,265,12539,0.8852,0.8808,0.8681,0.8696,0.9804
Grebes,9,375,0.8960,0.9147,0.8906,0.9017,0.9813
"Plovers, Sandpipers, and Allies",32,1573,0.9142,0.9249,0.9116,0.9147,0.9886
Owls,9,426,0.9155,0.9124,0.9109,0.9107,0.9859
Pigeons and Doves,7,359,0.9220,0.9351,0.9187,0.9263,0.9777
"Pelicans, Herons, Ibises, and Allies",21,983,0.9257,0.9176,0.9159,0.9148,0.9888
Cranes and Rails,6,200,0.9350,0.9335,0.8944,0.9054,0.9700
Cuckoos,3,113,0.9381,0.9199,0.9371,0.9282,0.9823
Nightjars,1,39,0.9487,0.9024,0.9487,0.9250,0.9744
Parrots,1,28,0.9643,1.0000,0.9643,0.9818,1.0000
"Grouse, Quail, and Allies",10,342,0.9737,0.9592,0.9593,0.9586,0.9912
Storks,1,56,0.9821,0.9483,0.9821,0.9649,1.0000
Kingfishers and Allies,1,60,0.9833,0.9833,0.9833,0.9833,0.9833
