species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Pacific Wren,1,21,0.0952,0.2857,0.0952,0.1429,0.9524
Bank Swallow,1,27,0.2593,1.0000,0.2593,0.4118,0.9630
Greater Scaup,2,73,0.3288,0.6913,0.3093,0.4227,0.8630
Fish Crow,1,30,0.3667,0.4074,0.3667,0.3860,0.9333
Great Cormorant,2,64,0.3906,0.6396,0.3708,0.4647,0.9531
Allen's Hummingbird,2,101,0.4356,0.6875,0.4091,0.4985,0.9604
Chihuahuan Raven,1,27,0.4444,0.4800,0.4444,0.4615,0.9630
Chimney Swift,1,33,0.4545,0.5357,0.4545,0.4918,1.0000
Vaux's Swift,1,28,0.4643,0.4483,0.4643,0.4561,0.9286
Common Raven,1,57,0.4912,0.5833,0.4912,0.5333,0.9123
Pacific-slope Flycatcher,1,59,0.4915,0.8529,0.4915,0.6237,0.9492
California Gull,2,66,0.5000,0.4883,0.4649,0.4725,0.8788
Plumbeous Vireo,1,41,0.5122,0.7778,0.5122,0.6176,0.9756
Mourning Warbler,1,52,0.5192,0.7714,0.5192,0.6207,0.9038
Mew Gull,1,23,0.5217,0.5217,0.5217,0.5217,0.8696
American Crow,1,57,0.5439,0.4627,0.5439,0.5000,1.0000
Western Sandpiper,1,51,0.5490,0.7568,0.5490,0.6364,0.9804
Cassin's Vireo,1,36,0.5556,0.4167,0.5556,0.4762,1.0000
Western Gull,2,59,0.5593,0.4784,0.5204,0.4980,0.9153
Juniper Titmouse,1,25,0.5600,0.7778,0.5600,0.6512,0.9600
Barrow's Goldeneye,2,60,0.5667,0.9688,0.5714,0.7177,0.9667
Brandt's Cormorant,1,33,0.5758,0.8261,0.5758,0.6786,0.9394
Broad-winged Hawk,2,55,0.5818,0.6702,0.5895,0.6046,0.9455
Common Tern,1,60,0.5833,0.8750,0.5833,0.7000,0.9833
Neotropic Cormorant,1,38,0.6053,0.6765,0.6053,0.6389,0.9211
Greater Yellowlegs,1,59,0.6102,0.8000,0.6102,0.6923,0.9492
Red-naped Sapsucker,1,54,0.6111,0.8049,0.6111,0.6947,1.0000
Boat-tailed Grackle,1,60,0.6167,0.6167,0.6167,0.6167,0.9500
Costa's Hummingbird,2,58,0.6207,0.5972,0.5586,0.5767,0.9310
Northwestern Crow,1,19,0.6316,0.4444,0.6316,0.5217,1.0000
Swainson's Hawk,3,93,0.6344,0.6471,0.6066,0.6141,0.8817
Pacific Loon,2,47,0.6383,0.7645,0.6787,0.7141,0.9574
Tundra Swan,1,28,0.6429,0.7500,0.6429,0.6923,1.0000
Rufous Hummingbird,2,87,0.6437,0.4848,0.6443,0.5518,0.9885
Cave Swallow,1,34,0.6471,0.7333,0.6471,0.6875,0.7941
Hairy Woodpecker,1,60,0.6500,0.7647,0.6500,0.7027,1.0000
Bell's Vireo,1,29,0.6552,0.7308,0.6552,0.6909,0.8966
Black Guillemot,2,32,0.6562,0.8264,0.6417,0.7184,0.9062
Mississippi Kite,1,50,0.6600,0.8250,0.6600,0.7333,0.8800
Black-capped Chickadee,1,60,0.6667,0.7843,0.6667,0.7207,0.9667
Least Flycatcher,1,60,0.6667,0.7143,0.6667,0.6897,0.9167
Black-crested Titmouse,1,33,0.6667,0.8800,0.6667,0.7586,1.0000
Black-chinned Hummingbird,2,109,0.6697,0.5983,0.6827,0.6369,0.9174
Broad-tailed Hummingbird,2,73,0.6712,0.6080,0.6215,0.6140,0.9452
White-faced Ibis,1,34,0.6765,0.8519,0.6765,0.7541,0.9412
Great Black-backed Gull,2,73,0.6849,0.8929,0.6886,0.7746,0.9863
Calliope Hummingbird,2,89,0.6854,0.7571,0.6905,0.7159,0.9326
Eastern Wood-Pewee,1,49,0.6939,0.7391,0.6939,0.7158,0.9592
Golden Eagle,2,72,0.6944,0.8224,0.6762,0.7307,0.9444
White-winged Scoter,2,57,0.7018,0.7444,0.6981,0.7102,0.9474
Anna's Hummingbird,2,106,0.7075,0.7978,0.7058,0.7481,0.9623
Cordilleran Flycatcher,1,31,0.7097,0.3385,0.7097,0.4583,0.9677
Western Wood-Pewee,1,49,0.7143,0.5738,0.7143,0.6364,0.9592
Hutton's Vireo,1,39,0.7179,0.8750,0.7179,0.7887,0.9744
Snow Goose,2,54,0.7222,0.7899,0.7212,0.7514,1.0000
Cooper's Hawk,2,117,0.7265,0.7793,0.7254,0.7514,0.9658
Cliff Swallow,1,30,0.7333,0.6471,0.7333,0.6875,0.8667
Brewer's Blackbird,2,91,0.7363,0.8591,0.7610,0.7981,0.9341
