true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,30,False,True
Greater Yellowlegs,Lesser Yellowlegs,28,False,True
Hairy Woodpecker,Downy Woodpecker,25,False,True
Common Tern,Forster's Tern,20,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),20,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,20,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),19,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),19,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",18,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),18,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),18,False,True
Chihuahuan Raven,Common Raven,17,False,True
Great-tailed Grackle,Boat-tailed Grackle,17,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),16,False,True
Common Raven,American Crow,16,False,True
Lesser Yellowlegs,Greater Yellowlegs,15,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),15,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,15,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),15,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",15,False,True
Tundra Swan,Trumpeter Swan,15,False,True
Northwestern Crow,American Crow,14,False,True
Western Screech-Owl,Eastern Screech-Owl,14,False,True
American Crow,Common Raven,14,False,True
Pacific Wren,Winter Wren,14,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),14,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),13,False,True
Chimney Swift,Vaux's Swift,13,False,True
Downy Woodpecker,Hairy Woodpecker,13,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),13,True,True
Black Guillemot (Breeding),Pigeon Guillemot (Breeding),12,False,True
Bank Swallow,Northern Rough-winged Swallow,12,False,True
Fish Crow,American Crow,12,False,True
Western Wood-Pewee,Eastern Wood-Pewee,12,False,True
Bonaparte's Gull,Black-legged Kittiwake (Immature),12,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",12,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),11,False,True
Plumbeous Vireo,Cassin's Vireo,11,False,True
Boat-tailed Grackle,Great-tailed Grackle,11,False,True
Louisiana Waterthrush,Northern Waterthrush,11,False,True
Cassin's Vireo,Blue-headed Vireo,11,False,True
Eastern Wood-Pewee,Western Wood-Pewee,11,False,True
Neotropic Cormorant,Double-crested Cormorant (Immature),10,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",10,False,True
Cassin's Kingbird,Western Kingbird,10,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",10,False,True
Eastern Screech-Owl,Western Screech-Owl,10,False,True
Western Sandpiper,Semipalmated Sandpiper,10,False,True
Ladder-backed Woodpecker,Nuttall's Woodpecker,10,False,True
Eastern Meadowlark,Western Meadowlark,10,False,True
White-faced Ibis,Glossy Ibis,10,False,True
Hoary Redpoll,Common Redpoll,10,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),10,True,True
Mourning Warbler,MacGillivray's Warbler,10,False,True
Mourning Warbler,Nashville Warbler,10,False,True
Yellow-crowned Night-Heron (Immature),Black-crowned Night-Heron (Immature),9,False,True
Yellow-rumped Warbler (Winter/juvenile Myrtle),Yellow-rumped Warbler (Winter/juvenile Audubon's),9,True,True
Glaucous-winged Gull (Adult),Herring Gull (Adult),9,False,True
Juniper Titmouse,Oak Titmouse,9,False,True
Western Gull (Immature),Herring Gull (Immature),9,False,True
