class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,1,8,26,0.1111,0.0370,0.0556,0.0370,0.8889,Common Raven (17)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,1,8,18,0.1111,0.0526,0.0714,0.0526,0.9474,American Crow (14)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,2,15,25,0.1176,0.0741,0.0909,0.0741,0.9630,Common Loon (Nonbreeding/juvenile) (18)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,2,11,24,0.1538,0.0769,0.1026,0.0769,0.6923,Herring Gull (Immature) (9)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,2,15,19,0.1176,0.0952,0.1053,0.0952,0.8571,"Anna's Hummingbird (Female, immature) (6)"
351,Bank Swallow,Bank Swallow,Perching Birds,27,2,5,25,0.2857,0.0741,0.1176,0.0741,0.6667,Northern Rough-winged Swallow (12)
377,Pacific Wren,Pacific Wren,Perching Birds,21,3,8,18,0.2727,0.1429,0.1875,0.1429,0.8571,Winter Wren (14)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,0,8,1.0000,0.1111,0.2000,0.1111,0.7778,Dark-eyed Junco (Slate-colored) (6)
344,Fish Crow,Fish Crow,Perching Birds,30,4,6,26,0.4000,0.1333,0.2000,0.1333,0.8000,American Crow (12)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,8,14,33,0.3636,0.1951,0.2540,0.1951,0.8293,"Rufous Hummingbird (Female, immature) (18)"
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,6,9,24,0.4000,0.2000,0.2667,0.2000,0.7333,Lesser Scaup (Female/Eclipse male) (11)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,6,11,19,0.3529,0.2400,0.2857,0.2400,0.6800,Ring-billed Gull (Immature) (5)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,5,10,15,0.3333,0.2500,0.2857,0.2500,1.0000,Pigeon Guillemot (Breeding) (12)
52,Broad-winged Hawk (Adult),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",26,7,15,19,0.3182,0.2692,0.2917,0.2692,0.6538,Broad-winged Hawk (Immature) (4)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,17,36,42,0.3208,0.2881,0.3036,0.2881,0.7119,"Ruby-throated Hummingbird (Female, immature) (10)"
362,Juniper Titmouse,Juniper Titmouse,Perching Birds,25,6,6,19,0.5000,0.2400,0.3243,0.2400,0.8800,Oak Titmouse (9)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,4,4,12,0.5000,0.2500,0.3333,0.2500,0.9375,Fox Sparrow (Sooty) (8)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,5,0,20,1.0000,0.2000,0.3333,0.2000,0.9600,Common Goldeneye (Female/Eclipse male) (15)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,10,20,19,0.3333,0.3448,0.3390,0.3448,0.8276,"Calliope Hummingbird (Female, immature) (12)"
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,13,26,23,0.3333,0.3611,0.3467,0.3611,0.8611,Blue-headed Vireo (11)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,11,21,19,0.3438,0.3667,0.3548,0.3667,0.8000,Red-tailed Hawk (Dark morph) (5)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,8,11,16,0.4211,0.3333,0.3721,0.3333,0.7083,Red-tailed Hawk (Light morph immature) (3)
346,Common Raven,Common Raven,Perching Birds,57,30,60,27,0.3333,0.5263,0.4082,0.5263,0.9123,American Crow (16)
26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,"Ducks, Geese, and Swans",35,10,4,25,0.7143,0.2857,0.4082,0.2857,0.9429,Common Goldeneye (Breeding male) (20)
501,American Crow,American Crow,Perching Birds,57,30,59,27,0.3371,0.5263,0.4110,0.5263,0.8772,Common Raven (14)
